train/actor_loss,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate
28143.015625,460000,1052.84130859375,114974,930.75,2757,574,-0.9908944368362427,166,-74790.56404432001,16.39183235168457,0.0003
36957.16015625,470000,1099.5623779296875,117474,913.43,2818,587,0.14406824111938477,166,-84552.53446481,14.723597526550293,0.0003
25827.451171875,480000,1276.3516845703125,119974,891.14,2878,598,-0.6372173428535461,166,-88980.87668906,14.293045997619629,0.0003
38248.3671875,490000,1205.2939453125,122474,891.14,2939,607,-1.2170276641845703,166,-95205.59766021,17.185842514038086,0.0003
31804.224609375,500000,984.5817260742188,124974,891.14,2999,618,0.16731500625610352,166,-99886.27904584,15.32356071472168,0.0003
25743.357421875,510000,931.5451049804688,127474,891.14,3060,627,-0.5863332748413086,166,-101384.82857565001,15.022895812988281,0.0003
32638.033203125,520000,957.5804443359375,129974,891.14,3120,638,-0.09029781818389893,166,-86394.44715322001,15.188163757324219,0.0003
25525.1328125,530000,1154.1700439453125,132474,891.14,3180,647,1.810032606124878,166,-85514.30931037999,14.411286354064941,0.0003
42003.5390625,540000,1506.920166015625,134974,891.14,3240,658,-2.90725040435791,166,-88619.40384782001,14.465431213378906,0.0003
27675.330078125,550000,1093.49169921875,137474,914.64,3301,667,0.1742134392261505,166,-95836.84090816001,13.372941017150879,0.0003
27969.447265625,560000,950.41064453125,139974,962.89,3362,678,1.7713825702667236,166,-93222.79699311999,12.971159934997559,0.0003
31348.51171875,570000,1144.141357421875,142474,977.71,3424,687,0.7334554195404053,166,-85807.19855085999,11.25550365447998,0.0003
34630.9296875,580000,1878.7210693359375,144974,1000.0,3485,698,-1.5572867393493652,166,-83963.88139629998,11.205059051513672,0.0003
28271.73828125,590000,933.222412109375,147474,1000.0,3547,707,-3.1810495853424072,166,-85767.86080637999,12.367281913757324,0.0003
35031.796875,600000,1610.0130615234375,149974,1000.0,3608,718,0.7995198965072632,166,-86683.74584990002,11.452317237854004,0.0003
27101.34375,610000,1010.6083984375,152474,1000.0,3669,727,-1.396484136581421,166,-83371.77437816,11.520834922790527,0.0003
21186.791015625,620000,1047.6873779296875,154974,1000.0,3730,738,1.2209229469299316,166,-85919.8159079,12.750243186950684,0.0003
26779.3984375,630000,1147.8798828125,157474,960.75,3792,753,0.3092362880706787,166,-93513.36275819,11.496858596801758,0.0003
18890.7734375,640000,959.3499145507812,159974,892.89,3853,770,-0.4151097536087036,166,-77994.56001855,12.880043029785156,0.0003
23886.48828125,650000,860.7161865234375,162474,874.76,3915,781,-0.8191102743148804,166,-86625.1409764,12.7977933883667,0.0003
23024.6484375,660000,1231.2861328125,164974,362.5,3977,844,0.7580140233039856,165,-96279.4181366,12.082067489624023,0.0003
33579.953125,670000,1337.6121826171875,167474,48.83,4038,1013,-0.6013720035552979,165,-98032.19750458,10.871927261352539,0.0003
34927.8671875,680000,1369.85498046875,169974,63.29,4099,1177,-0.527478814125061,165,-100090.87991007997,10.708107948303223,0.0003
27479.19140625,690000,1539.614501953125,172474,46.77,4161,1386,-2.0155980587005615,165,-96112.86972300001,11.078136444091797,0.0003
18960.08203125,700000,1221.7205810546875,174974,61.63,4222,1566,-0.026237398386001587,165,-95009.80613491,12.889649391174316,0.0003
25618.6875,710000,1543.5008544921875,177474,86.15,4284,1681,0.39202848076820374,165,-96375.59811612003,12.496496200561523,0.0003
24837.26171875,720000,1449.204345703125,179974,119.95,4345,1762,0.591766357421875,165,-96920.12508839002,12.047124862670898,0.0003
29805.689453125,730000,1129.2703857421875,182474,186.35,4406,1792,-0.13885608315467834,165,-98873.38332421,10.930543899536133,0.0003
26405.4765625,740000,1415.7786865234375,184974,251.88,4467,1828,-0.30810630321502686,165,-98197.91606266,10.835474014282227,0.0003
27395.65625,750000,798.3612670898438,187474,335.67,4528,1840,-0.6929014921188354,165,-95632.95687145,11.897004127502441,0.0003
16170.28125,760000,602.298828125,189974,434.19,4589,1851,0.1974816620349884,165,-93392.82634118998,11.042840003967285,0.0003
28335.37890625,770000,651.575439453125,192474,499.24,4650,1860,-0.43456825613975525,165,-94288.37314062998,9.571518898010254,0.0003
17469.462890625,780000,617.78515625,194974,544.33,4711,1871,-0.8422863483428955,165,-88125.33123420001,9.783738136291504,0.0003
12945.2705078125,790000,443.8594970703125,197474,608.59,4772,1880,1.323672890663147,165,-82833.40298845997,12.459811210632324,0.0003
17285.166015625,800000,557.7900390625,199974,693.08,4834,1891,-0.2168748378753662,165,-76226.48496207,9.405096054077148,0.0003
12286.189453125,810000,767.8729248046875,202474,767.14,4895,1900,0.6493901014328003,165,-71040.47104039999,8.65114688873291,0.0003
12152.9658203125,820000,559.8689575195312,204974,862.26,4955,1911,-0.5036545991897583,165,-65856.43467791,9.262166976928711,0.0003
12907.087890625,830000,640.0905151367188,207474,934.38,5016,1920,1.4392160177230835,165,-61727.189479919994,7.623844623565674,0.0003
16743.884765625,840000,516.6520385742188,209974,990.62,5076,1931,-0.7415251731872559,165,-59362.064825049994,7.442859172821045,0.0003
9120.4189453125,850000,548.4952392578125,212474,1000.0,5136,1940,-0.34307217597961426,165,-54900.93202963,8.54931926727295,0.0003
16101.3583984375,860000,680.7808837890625,214974,1000.0,5197,1951,1.0660768747329712,165,-49356.505356370006,7.135586261749268,0.0003
13212.8427734375,870000,769.4094848632812,217474,1000.0,5257,1960,-1.0810405015945435,165,-42182.92071533,6.990077972412109,0.0003
11142.7021484375,880000,516.4131469726562,219974,1000.0,5316,1971,-0.030033573508262634,165,-38472.953113610005,7.234687805175781,0.0003
6545.92578125,890000,483.3570556640625,222474,1000.0,5376,1980,0.747422456741333,165,-36673.74867348,7.1034135818481445,0.0003
9390.4306640625,900000,618.8939208984375,224974,1000.0,5435,1991,-0.12278246879577637,165,-36608.85155507,7.344076633453369,0.0003
15231.837890625,910000,767.6489868164062,227474,1000.0,5499,2000,-0.8335119485855103,165,-34173.699599600004,7.033989429473877,0.0003
5617.24365234375,920000,682.25732421875,229974,1000.0,5564,2011,1.5022735595703125,165,-30984.61635683,7.311001300811768,0.0003
15477.9267578125,930000,548.2101440429688,232474,1000.0,5626,2020,-1.8876690864562988,165,-28457.652293700005,7.235319137573242,0.0003
8322.119140625,940000,533.556396484375,234974,1000.0,5691,2031,-0.8220887184143066,165,-25962.24363198,7.109446048736572,0.0003
5537.3505859375,950000,604.14111328125,237474,1000.0,5756,2040,0.7229542136192322,165,-26710.782477660003,7.445413112640381,0.0003
11097.203125,960000,602.80078125,239974,1000.0,5821,2051,0.1668538898229599,164,-27816.074238150002,7.095263481140137,0.0003
6758.3515625,970000,515.1919555664062,242474,1000.0,5885,2060,0.5934489965438843,164,-28263.56212454,7.3784661293029785,0.0003
11821.359375,980000,1104.7142333984375,244974,1000.0,5950,2071,0.4469982385635376,164,-29499.259389280003,7.298496723175049,0.0003
17656.06640625,990000,769.0048828125,247474,1000.0,6015,2080,0.05683518946170807,164,-29116.562456350002,7.201949596405029,0.0003
8257.927734375,1000000,711.794677734375,249974,1000.0,6079,2091,0.6421552896499634,164,-27732.9499929,7.189421653747559,0.0003
