rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/step_size,train/delta_std,train/iterations,rollout/return_std
-49920761.672479495,1000.0,10000,2345,4,,,,,
-33465703.627519835,677.0,20000,2499,8,,,,,
-29054732.883673504,591.75,30000,2551,11,,,,,
-29898533.337697003,607.6,40000,2582,15,,,,,
-16715409.9081985,342.0,50000,2599,19,0.02,1.0131535194135566e-10,0.05,0,24675430.0
-24887907.664370377,506.5,60000,2615,22,,,,,
-24970641.926556643,507.35714285714283,70000,2627,26,,,,,
-25390815.0,517.0,80000,2636,30,0.02,9.78436984211406e-11,0.05,1,25550956.0
-25007965.738731876,508.5,90000,2642,34,,,,,
-25001702.41615033,506.8333333333333,100000,2647,37,,,,,
-10096417.7273166,209.4,110000,2652,41,0.02,9.807199496947305e-11,0.05,2,25491476.0
-21463138.561979856,435.2857142857143,120000,2655,45,,,,,
-20041820.011753734,406.0,130000,2658,48,,,,,
-25004747.157114,504.5,140000,2661,52,0.02,9.825863733770035e-11,0.05,3,25443056.0
-28564149.45925914,576.0,150000,2663,56,,,,,
-21490254.08082872,434.7142857142857,160000,2665,60,,,,,
-16711343.291497,343.3333333333333,170000,2667,63,0.02,9.823727942226412e-11,0.05,4,25448586.0
-28561589.38839314,577.2857142857143,180000,2668,67,,,,,
-33317601.843616776,671.2222222222222,190000,2670,71,,,,,
-30025030.172324937,605.9333333333333,200000,2671,74,,,,,
-8504595.015410332,180.5,210000,2673,78,0.02,1.0085603185938652e-10,0.05,5,24787808.0
-15454297.87594631,320.0,220000,2674,82,,,,,
-186995.710443,8.0,230000,2674,85,0.02,1.0099169417410181e-10,0.05,6,24754510.0
-25023936.58384383,503.3333333333333,240000,2675,89,,,,,
-31183206.425832,627.5,250000,2675,93,,,,,
-33261870.028003752,668.9166666666666,260000,2675,97,,,,,
-33271816.63935847,669.5333333333333,270000,2676,100,,,,,
-49698398.575277,1000.0,280000,2677,104,0.02,1.0520276316761112e-10,0.05,7,23763634.0
-33194894.507006336,670.1666666666666,290000,2679,108,,,,,
-24915390.2457265,502.5,300000,2680,111,0.02,1.0079949375185748e-10,0.05,8,24801712.0
-18851382.55447175,384.0,310000,2680,115,,,,,
-25002609.5776048,507.2,320000,2680,119,,,,,
-12624474.843781251,254.5,330000,2680,123,0.02,9.87712550637454e-11,0.05,9,25311008.0
-15711105.67400733,342.3333333333333,340000,2681,126,,,,,
-20794491.089763213,435.57142857142856,350000,2681,130,,,,,
,,360000,2681,134,0.02,9.965491626351408e-11,0.05,10,25086570.0
-25092728.358271003,506.6666666666667,370000,2681,137,,,,,
-22838477.633659545,462.45454545454544,380000,2682,141,,,,,
-157206.3143704286,8.571428571428571,390000,2682,145,0.02,9.774838577447653e-11,0.05,11,25575870.0
-49745985.079807,1000.0,400000,2682,149,0.02,2.0072109252478043e-10,0.05,12,12455094.0
-28568771.37856072,579.0,410000,2682,152,,,,,
-27264001.24963945,551.9090909090909,420000,2683,156,,,,,
-26682683.081824467,539.7333333333333,430000,2683,160,,,,,
-25151937.245562747,511.25,440000,2684,163,0.02,9.849825816088398e-11,0.05,13,25381160.0
-18326724.154303,372.6363636363636,450000,2684,167,,,,,
-10117855.9162362,208.2,460000,2684,171,0.02,1.0074364953371884e-10,0.05,14,24815458.0
-135970.891724,9.0,470000,2684,175,0.02,1.2560856521570685e-10,0.05,15,19903100.0
-12578841.04171525,257.9166666666667,480000,2682,178,,,,,
-17912840.49878043,363.92857142857144,490000,2679,182,,,,,
-25063158.8184915,504.5,500000,2677,186,0.02,9.827032243503453e-11,0.05,16,25440030.0
-13686772.058839457,280.1818181818182,510000,2675,190,,,,,
-17876716.77338657,363.7142857142857,520000,2673,194,,,,,
-49840875.275381505,1000.0,530000,2671,198,0.02,1.0097315344959057e-10,0.05,17,24759056.0
-24988174.096418876,505.375,540000,2670,202,,,,,
-49888683.951186,1000.0,550000,2668,206,0.02,1.0067134625924012e-10,0.05,18,24833282.0
-49886912.322701,1000.0,560000,2666,209,,,,,
-274679.113882,17.0,570000,2660,214,0.02,1.0074278217198085e-10,0.05,19,24815674.0
-33508146.353523333,672.3333333333334,580000,2659,218,,,,,
-31364581.7971855,630.125,590000,2658,221,,,,,
-29224653.337125745,588.0833333333334,600000,2657,225,,,,,
-189086.49294428574,12.142857142857142,610000,2656,229,0.02,1.005638558537747e-10,0.05,20,24859826.0
-8463923.737492166,176.5,620000,2655,233,,,,,
-164538.17544983333,9.5,630000,2654,237,0.02,1.050625905718583e-10,0.05,21,23795340.0
-6724023.237502599,141.26666666666668,640000,2653,241,,,,,
-10079917.686331999,206.0,650000,2651,245,0.02,1.252687537034447e-10,0.05,22,19957092.0
-49929380.2001365,1000.0,660000,2650,248,0.02,1.4693997407722037e-10,0.05,23,17013750.0
-15482510.889789771,315.2307692307692,670000,2649,252,,,,,
-11224666.398833,227.88888888888889,680000,2648,256,0.02,1.0513537263001638e-10,0.05,24,23778866.0
-150872.6838045,7.5,690000,2649,260,0.02,1.1220865209216058e-10,0.05,25,22279922.0
-246286.79736466668,11.0,700000,2649,264,0.02,1.4692767835722265e-10,0.05,26,17015174.0
-13794416.691822367,279.45454545454544,710000,2650,267,,,,,
-16805632.658321537,339.3333333333333,720000,2651,271,,,,,
-12614969.684549876,256.25,730000,2652,275,0.02,1.0041169284935592e-10,0.05,27,24897498.0
-18262381.94353473,368.8181818181818,740000,2652,278,,,,,
,,750000,2653,282,0.02,9.78873856971596e-11,0.05,28,25539552.0
-14427130.390220571,292.2857142857143,760000,2654,286,,,,,
-25071010.0823972,504.6,770000,2654,290,,,,,
-27002679.11576623,542.8461538461538,780000,2655,293,,,,,
-25055196.390313,504.0,790000,2656,297,0.02,9.720047683403621e-11,0.05,29,25720038.0
-28581846.905285288,575.2857142857143,800000,2656,301,,,,,
-23372423.24858513,470.93333333333334,810000,2657,304,,,,,
-16684995.960034,338.6666666666667,820000,2658,308,0.02,9.726880412230798e-11,0.05,30,25701970.0
-16733733.327204831,338.3333333333333,830000,2659,312,,,,,
-108943.25901600001,7.666666666666667,840000,2659,315,0.02,1.0033904263018201e-10,0.05,31,24915526.0
-13693216.956419181,277.54545454545456,850000,2660,319,,,,,
-19256227.903319154,388.6923076923077,860000,2661,323,,,,,
-25080374.508017,505.5,870000,2661,326,0.02,9.792914396067331e-11,0.05,32,25528660.0
-21506658.526732426,435.0,880000,2662,330,,,,,
-25028874.8669637,505.2,890000,2662,334,,,,,
,,900000,2663,337,0.02,9.731669636803275e-11,0.05,33,25689322.0
-25077445.084116004,503.5,910000,2663,341,,,,,
-27795099.792493,558.5555555555555,920000,2664,345,,,,,
-31826561.33552982,638.8181818181819,930000,2664,349,,,,,
-25020756.399175502,505.5,940000,2665,352,0.02,9.805731920886629e-11,0.05,34,25495292.0
-16735454.170591112,340.22222222222223,950000,2665,356,,,,,
-25071440.673335,503.5,960000,2665,360,0.02,1.0497194780079155e-10,0.05,35,23815886.0
-21462923.004788715,434.57142857142856,970000,2666,363,,,,,
,,980000,2666,367,0.02,1.0048505777460193e-10,0.05,36,24879320.0
-20029611.8932854,406.4,990000,2666,371,,,,,
-17906633.03974457,363.14285714285717,1000000,2667,374,,,,,
