train/critic_loss,time/total_timesteps,train/ent_coef_loss,time/episodes,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef,time/fps,train/learning_rate
5463.3876953125,10000,-18.605382919311523,59,2474,-4259602.159366627,121.67796610169492,58,358913.125,1.8539575338363647,172,0.0003
5918.23779296875,20000,-14.404336929321289,87,4974,-8259514.645985243,217.7816091954023,115,749221.5625,3.723435878753662,172,0.0003
3207.173095703125,30000,-11.078935623168945,114,7474,-11030167.73483359,289.59,175,1093400.25,6.542660236358643,170,0.0003
3838.03271484375,40000,-7.551321983337402,195,9974,-6007272.431642749,162.63,235,1383168.75,6.870458602905273,170,0.0003
9501.3876953125,50000,-7.252837181091309,229,12474,-6967683.823647811,181.32,295,1641734.5,11.886573791503906,169,0.0003
8373.1318359375,60000,0.46330153942108154,243,14974,-9387352.47714727,249.05,355,1861312.125,12.491676330566406,168,0.0003
16206.494140625,70000,-1.5324281454086304,261,17474,-12928203.08375047,346.68,415,2061298.5,15.78632926940918,168,0.0003
8969.392578125,80000,3.241438865661621,277,19974,-14803170.84263772,400.85,475,2248162.0,20.15506935119629,168,0.0003
9619.5361328125,90000,2.0512073040008545,297,22474,-17355327.44860053,481.31,533,2393420.25,28.232131958007812,168,0.0003
5596.63037109375,100000,-1.3155417442321777,342,24974,-13834800.40650468,406.03,591,2516795.5,44.765995025634766,168,0.0003
15096.73046875,110000,-4.835880756378174,400,27474,-6409008.599926558,192.08,651,2627826.75,46.1435546875,168,0.0003
26607.794921875,120000,-4.062483787536621,435,29974,-8077218.935846651,224.82,711,2722285.0,38.25739669799805,168,0.0003
16315.9619140625,130000,-5.724290370941162,470,32474,-6705858.13003788,204.49,771,2776980.5,53.301692962646484,168,0.0003
11122.572265625,140000,-3.3707168102264404,484,34974,-9449524.988611879,297.4,828,2823365.25,52.63376998901367,168,0.0003
5742.419921875,150000,0.872704267501831,504,37474,-12063519.023013853,383.86,888,2873184.5,52.271331787109375,168,0.0003
5462.8115234375,160000,0.5784811973571777,522,39974,-14920185.725685038,475.75,948,2901513.0,52.44454574584961,168,0.0003
5183.34033203125,170000,-1.8716686964035034,533,42474,-15763856.674132688,506.81,1006,2922730.5,51.00017166137695,168,0.0003
11194.5322265625,180000,-3.9143288135528564,594,44974,-11135091.905053342,359.78,1064,2945953.25,76.2483901977539,169,0.0003
16972.26171875,190000,0.23146799206733704,725,47474,-2871100.8097205097,84.64,1124,2941768.5,70.1161117553711,169,0.0003
5325.64892578125,200000,-0.05066831409931183,820,49974,-2138352.3875799696,84.8,1184,2938956.0,72.46730041503906,168,0.0003
10793.79296875,210000,-5.7339019775390625,859,52474,-3970651.8781294506,171.15,1243,2920128.5,90.53472900390625,168,0.0003
10648.00390625,220000,0.012495651841163635,910,54974,-5309291.84789857,226.03,1303,2899156.75,92.57551574707031,168,0.0003
5282.37353515625,230000,-0.4593849182128906,947,57474,-6161908.825633661,248.07,1364,2862038.0,86.77046966552734,168,0.0003
5403.9375,240000,1.6132705211639404,1022,59974,-3316745.0314529706,145.51,1423,2839795.5,94.12165069580078,168,0.0003
10684.4453125,250000,1.7757198810577393,1126,62474,-2008112.73030849,98.51,1482,2810770.5,106.19398498535156,168,0.0003
5592.09716796875,260000,-0.511000394821167,1207,64974,-2632874.43505293,127.54,1543,2774818.0,112.50049591064453,168,0.0003
21715.927734375,270000,0.5343784093856812,1293,67474,-2298589.84580165,111.14,1604,2710405.0,121.68612670898438,168,0.0003
5917.94775390625,280000,0.4143735468387604,1348,69974,-3167580.79947815,149.81,1665,2651608.75,119.58011627197266,168,0.0003
5796.013671875,290000,1.8283339738845825,1371,72474,-4564983.744470109,213.87,1726,2612112.5,113.35916900634766,167,0.0003
5542.6328125,300000,-0.5113987922668457,1388,74974,-6243888.585795781,291.06,1786,2579895.5,112.22445678710938,167,0.0003
5559.72265625,310000,1.3671410083770752,1401,77474,-8098930.90113121,375.55,1846,2544985.5,103.01663970947266,167,0.0003
5342.640625,320000,-0.15238040685653687,1432,79974,-8711132.78878366,406.6,1906,2507238.0,96.73126220703125,167,0.0003
5278.82421875,330000,-1.6339277029037476,1449,82474,-10413863.94429999,488.95,1967,2491200.0,89.3415298461914,167,0.0003
9611.7099609375,340000,-0.6765504479408264,1461,84974,-11442366.263672687,532.15,2028,2477681.0,83.96378326416016,167,0.0003
4658.58056640625,350000,4.979203701019287,1480,87474,-11135144.51708478,521.57,2090,2444498.75,79.3958740234375,167,0.0003
13735.45703125,360000,-0.734279990196228,1595,89974,-967903.33114923,60.0,2153,2418889.0,76.77100372314453,167,0.0003
8925.7421875,370000,-0.5136879682540894,1818,92474,-657522.56268938,43.03,2215,2390452.0,85.67218017578125,166,0.0003
4437.95068359375,380000,0.3677101135253906,2084,94974,-660811.29694402,42.37,2278,2355204.25,93.68119049072266,166,0.0003
13453.8134765625,390000,0.9489932060241699,2381,97474,-405062.54847711994,28.19,2340,2304934.0,101.52664184570312,166,0.0003
9071.0361328125,400000,0.804602324962616,2553,99974,-983082.46852677,61.34,2402,2254740.75,105.15310668945312,166,0.0003
8920.9990234375,410000,-0.29251667857170105,2607,102474,-2913124.662470409,155.4,2462,2202355.0,105.31101989746094,166,0.0003
8622.1337890625,420000,-0.8394725918769836,2738,104974,-1093439.62688969,61.11,2524,2160708.75,105.32603454589844,166,0.0003
16662.658203125,430000,0.11154192686080933,2837,107474,-1711180.40725065,98.14,2585,2117583.75,106.06822967529297,166,0.0003
4836.54248046875,440000,1.360489010810852,3100,109974,-565737.35836415,46.16,2648,2090940.5,111.77291870117188,166,0.0003
8738.67578125,450000,3.6060142517089844,3215,112474,-1207891.6947069298,86.8,2708,2044430.25,114.3856201171875,166,0.0003
16503.77734375,460000,-0.39824575185775757,3308,114974,-1793988.9675629803,110.78,2769,2028133.0,112.3167495727539,166,0.0003
11980.8212890625,470000,0.2602176368236542,3414,117474,-1667170.81509097,92.6,2832,1988322.25,110.52093505859375,165,0.0003
8450.83984375,480000,-1.9997384548187256,3506,119974,-2362060.16339313,108.42,2895,1977541.375,106.73698425292969,165,0.0003
5239.83544921875,490000,0.8436782956123352,3713,122474,-436185.49510709004,36.01,2958,1955216.5,104.7557373046875,165,0.0003
12222.013671875,500000,-2.360591173171997,4091,124974,-341697.2491212301,22.7,3022,1921868.75,106.77995300292969,165,0.0003
12036.185546875,510000,-0.0766264796257019,4457,127474,-516348.2479561,28.51,3084,1908634.375,109.73529052734375,165,0.0003
11930.5771484375,520000,1.053877830505371,4517,129974,-1916748.3892042595,97.32,3146,1890397.625,108.14522552490234,165,0.0003
5505.4609375,530000,1.2664892673492432,4530,132474,-4000665.2006721795,194.8,3207,1886810.75,107.0302963256836,165,0.0003
19001.75,540000,-0.47473978996276855,4588,134974,-5910789.671282009,286.63,3269,1880663.875,103.53302764892578,165,0.0003
8891.546875,550000,1.472480297088623,4708,137474,-1698228.3349430799,89.23,3331,1868373.5,102.58121490478516,165,0.0003
12093.830078125,560000,2.034087896347046,4925,139974,-624569.14637116,42.8,3393,1865235.0,104.03929901123047,165,0.0003
8633.1826171875,570000,0.1268618255853653,5220,142474,-523644.9491047,34.15,3456,1859900.625,108.1463623046875,164,0.0003
8679.38671875,580000,-1.826321005821228,5434,144974,-880929.0291472499,51.49,3519,1853007.0,110.10165405273438,164,0.0003
12568.1044921875,590000,-2.0484352111816406,5596,147474,-857219.88793684,51.68,3580,1829036.5,108.48729705810547,164,0.0003
5474.6494140625,600000,-1.1449286937713623,5750,149974,-889223.0376494799,58.69,3640,1829537.25,107.16439819335938,164,0.0003
9284.6240234375,610000,0.9644535779953003,5908,152474,-1028421.58973378,69.29,3699,1802018.0,108.52698516845703,164,0.0003
12362.1259765625,620000,2.293670654296875,6058,154974,-909849.8905778198,59.68,3760,1796852.625,112.2976303100586,164,0.0003
25276.578125,630000,-0.9869828820228577,6252,157474,-818458.08240469,46.73,3820,1800880.0,113.90425872802734,164,0.0003
12206.4921875,640000,-0.7657415866851807,6461,159974,-754798.4000928301,44.05,3880,1774051.875,118.5230941772461,164,0.0003
