time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/fps,train/policy_loss,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/value_loss
10000,-249506.96341382957,499,1680,-75780.015625,1.0284684896469116,-8.684392929077148,0.0,0.0007,110.3409090909091,5,1410951168.0
20000,-153318.31203946995,999,1672,-10195.7822265625,1.0322586297988892,-8.705978393554688,0.0,0.0007,64.55,11,10422251.0
30000,-119631.78058764,1499,1669,-60212.6484375,1.0329467058181763,-8.706277847290039,5.960464477539063e-08,0.0007,61.79,17,138618592.0
40000,-123746.07849254,1999,1661,-32264.41015625,1.029007077217102,-8.683465003967285,0.0,0.0007,78.02,24,35231588.0
50000,-120374.95265025999,2499,1649,-52313.1171875,1.024857759475708,-8.654784202575684,-1.1920928955078125e-07,0.0007,50.94,30,129672168.0
60000,-106525.13679888999,2999,1648,5413.287109375,1.0196484327316284,-8.618542671203613,1.1920928955078125e-07,0.0007,63.6,36,941422.1875
70000,-115181.21323744001,3499,1650,3114.393798828125,1.010987639427185,-8.568726539611816,0.0,0.0007,99.76,42,569642.8125
80000,-118352.73044838,3999,1653,-499.2420959472656,1.0051497220993042,-8.538877487182617,0.0,0.0007,111.91,48,3809.893310546875
90000,-118910.52108187,4499,1656,-490.82171630859375,0.9981271624565125,-8.495682716369629,-1.1920928955078125e-07,0.0007,187.67,54,3762.35400390625
100000,-111757.22885633,4999,1650,-10150.541015625,0.9920793175697327,-8.457151412963867,1.7881393432617188e-07,0.0007,197.95,60,22136880.0
110000,-123985.57046645999,5499,1643,-560.6101684570312,0.9848225712776184,-8.412605285644531,1.7881393432617188e-07,0.0007,237.28,66,7146.4443359375
120000,-122139.81096265,5999,1639,-6716.7314453125,0.9911093711853027,-8.45361614227295,0.0,0.0007,203.98,73,16003490.0
130000,-127912.3158074,6499,1636,-200657.828125,1.0039706230163574,-8.527807235717773,0.0,0.0007,162.66,79,895726400.0
140000,-172414.80423602,6999,1632,-22532.423828125,1.005061149597168,-8.536065101623535,-2.384185791015625e-07,0.0007,237.39,85,20372596.0
150000,-194482.1966144,7499,1629,-28419.44921875,1.0127986669540405,-8.579683303833008,0.0,0.0007,271.86,92,30250500.0
160000,-102062.95122339,7999,1627,-443.4971618652344,1.0043057203292847,-8.525403022766113,1.7881393432617188e-07,0.0007,99.68,98,3388.28857421875
170000,-89927.11280609001,8499,1625,-861.7721557617188,1.0134798288345337,-8.581622123718262,-2.384185791015625e-07,0.0007,106.12,104,18449.470703125
180000,-119257.02699016001,8999,1623,-38194.7265625,1.0046358108520508,-8.527917861938477,-1.1920928955078125e-07,0.0007,133.93,110,114780176.0
190000,-157695.21179135996,9499,1622,-470.8853454589844,1.0006532669067383,-8.50599479675293,0.0,0.0007,209.66,117,3293.800048828125
200000,-111203.40731299999,9999,1622,-716.3318481445312,1.0108094215393066,-8.562193870544434,0.0,0.0007,150.04,123,14258.0673828125
210000,-113924.04395713,10499,1622,17783.5390625,1.0121232271194458,-8.572303771972656,5.960464477539063e-08,0.0007,204.87,129,16131834.0
220000,-116777.10903605001,10999,1623,-80653.8359375,1.0206798315048218,-8.623246192932129,0.0,0.0007,245.09,135,248798496.0
