time/total_timesteps,time/fps,train/value_loss,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
10000,1224,1644983040.0,8,0.0007,-21.426847457885742,0.0,499,-481158.5,1.0095404386520386,-344086.05731888994,57.42
20000,1228,659192256.0,16,0.0007,-21.412944793701172,1.7881393432617188e-07,999,-349450.03125,1.0091675519943237,-346253.32973993005,53.51
30000,1234,134180968.0,24,0.0007,-21.515260696411133,1.1920928955078125e-07,1499,-161440.34375,1.0158226490020752,-307629.65826758003,47.28
40000,1235,250278400.0,32,0.0007,-21.575971603393555,0.0,1999,-286865.9375,1.0200787782669067,-230308.83931242005,43.26
50000,1230,2739162880.0,40,0.0007,-21.591005325317383,-3.5762786865234375e-07,2499,-632335.875,1.0209723711013794,-190610.05544542,33.97
60000,1229,2669858048.0,48,0.0007,-21.61213493347168,0.0,2999,-653261.625,1.0226292610168457,-217368.52753465006,36.03
70000,1228,61246456.0,56,0.0007,-21.664403915405273,5.960464477539063e-08,3499,-79463.3984375,1.0262254476547241,-182175.01089793994,32.11
80000,1226,311761728.0,65,0.0007,-21.644329071044922,5.960464477539063e-08,3999,-237412.703125,1.024823784828186,-215238.10537394,36.65
90000,1226,2240121856.0,73,0.0007,-21.69963264465332,5.960464477539063e-08,4499,-540799.5,1.0284430980682373,-213856.12258648,37.0
100000,1227,38266768.0,81,0.0007,-21.784255981445312,0.0,4999,-87312.140625,1.0347071886062622,-225968.72333061,41.63
110000,1228,40319032.0,89,0.0007,-21.859607696533203,0.0,5499,-24600.154296875,1.0403026342391968,-273542.7442404599,45.35
120000,1231,1502560384.0,97,0.0007,-21.89048957824707,0.0,5999,-455366.40625,1.0428872108459473,-187036.77531896997,34.37
130000,1233,2455582720.0,105,0.0007,-21.985170364379883,-1.1920928955078125e-07,6499,-639742.1875,1.0501047372817993,-223337.09027197998,30.93
140000,1236,242917408.0,113,0.0007,-22.08309555053711,-1.1920928955078125e-07,6999,-193903.53125,1.0571023225784302,-265224.17524719,35.59
150000,1239,1101904640.0,121,0.0007,-22.189207077026367,5.960464477539063e-08,7499,-603204.625,1.0643986463546753,-315445.96504473995,41.19
160000,1242,2479813632.0,128,0.0007,-22.239587783813477,1.1920928955078125e-07,7999,-773112.5625,1.0685784816741943,-310993.12792628,50.61
170000,1245,1114093312.0,136,0.0007,-22.335338592529297,0.0,8499,-390574.46875,1.0751553773880005,-234972.67909969998,39.91
180000,1246,78089456.0,144,0.0007,-22.258087158203125,0.0,8999,-115717.328125,1.0691872835159302,-220668.82619624998,37.07
190000,1248,106600616.0,152,0.0007,-22.48749351501465,0.0,9499,-149975.640625,1.0861396789550781,-296347.8842696,38.48
200000,1248,213006304.0,160,0.0007,-22.5892333984375,0.0,9999,-259115.15625,1.0935577154159546,-200251.80963631996,31.54
210000,1247,674740608.0,168,0.0007,-22.70114517211914,0.0,10499,-428252.15625,1.1020091772079468,-188883.67326998003,35.9
220000,1247,110296688.0,176,0.0007,-22.796398162841797,-1.1920928955078125e-07,10999,-135479.4375,1.1090314388275146,-184574.32272231003,32.3
