rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef,time/total_timesteps,train/critic_loss,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
3.0,0.0055,526,52.04286193847656,290000,37445016.0,72474,76277,550,114077.875,-116690.61124302003,5.796777725219727
7.68,0.0055,544,107.8039321899414,300000,76388432.0,74974,79087,550,145594.46875,-299213.39538444,-2.394087791442871
3.43,0.0055,562,82.7741470336914,310000,83516240.0,77474,81682,551,109734.5625,-120790.92544294,14.292577743530273
5.7,0.0055,580,92.09748840332031,320000,159112576.0,79974,84468,551,133926.109375,-162693.70141018,1.7102479934692383
3.0,0.0055,598,55.21919250488281,330000,64552808.0,82474,87551,551,120536.765625,-116816.53359839,9.569051742553711
5.61,0.0055,616,67.31076049804688,340000,147112960.0,84974,90651,551,123542.671875,-179797.52248467,-106.4749526977539
3.24,0.0055,634,57.95830154418945,350000,21604778.0,87474,93176,551,119412.875,-119233.14994301002,6.918402194976807
3.87,0.0055,652,179.07635498046875,360000,419578912.0,89974,95876,552,148917.6875,-127001.53611593,-71.15284729003906
3.01,0.0055,669,105.74502563476562,370000,109093896.0,92474,98540,552,132060.28125,-117054.01328389,20.67702865600586
3.01,0.0055,687,54.90017318725586,380000,40830280.0,94974,101806,552,111983.96875,-117033.2293967,2.15932035446167
3.0,0.0055,705,60.05152130126953,390000,18997436.0,97474,104743,552,121246.7109375,-117262.52626345001,15.636356353759766
3.07,0.0055,723,136.243408203125,400000,49968896.0,99974,107683,552,115314.5078125,-118207.49827779998,26.274391174316406
3.0,0.0055,743,41.357177734375,410000,8144475.5,102474,110779,551,110011.9609375,-116916.64115161002,1.2339510917663574
3.0,0.0055,762,32.320743560791016,420000,3784654.5,104974,114102,550,106381.546875,-116745.67468002,6.81721305847168
3.02,0.0055,782,97.70614624023438,430000,10986792.0,107474,117118,549,115631.859375,-117189.72934098,-15.314035415649414
5.05,0.0055,801,106.91940307617188,440000,28948892.0,109974,120201,548,117108.171875,-174618.36383716002,7.600432872772217
3.0,0.0055,821,31.613813400268555,450000,27429708.0,112474,123175,548,119082.265625,-116765.01352938,-6.771073341369629
3.02,0.0055,840,490.5281677246094,460000,206130608.0,114974,125612,547,146005.890625,-117522.62630392,31.74062156677246
3.0,0.0055,860,27.468719482421875,470000,8206219.0,117474,128632,546,112615.6484375,-116626.49444327998,7.7129621505737305
3.0,0.0055,879,18.835206985473633,480000,6061774.0,119974,131966,545,108851.2265625,-116608.52490286,-0.9210656881332397
5.91,0.0055,898,120.55903625488281,490000,51941848.0,122474,134739,545,123300.484375,-173477.29979223997,26.94461441040039
3.0,0.0055,918,28.49284553527832,500000,12094460.0,124974,137983,544,111068.328125,-116873.15300117999,-0.4541311264038086
3.0,0.0055,937,14.054655075073242,510000,3126570.75,127474,141214,543,107923.9375,-116612.22420681,3.4058992862701416
4.82,0.0055,957,83.75792694091797,520000,45170336.0,129974,144400,543,113983.421875,-181636.73110408997,17.379236221313477
11.32,0.0055,976,256.7545471191406,530000,225496288.0,132474,147283,542,161069.515625,-357793.40718544,-299.206298828125
