train/n_updates,train/std,rollout/ep_len_mean,time/fps,train/entropy_loss,time/time_elapsed,train/learning_rate,train/explained_variance,train/policy_loss,rollout/ep_rew_mean,train/value_loss,time/total_timesteps
499,1.011081576347351,112.12941176470588,1811,-21.443378448486328,5,0.0007,0.0,-1685840.375,-3568279.844707118,7802624512.0,10000
999,1.0202782154083252,141.89,1832,-21.57319450378418,10,0.0007,0.0,-1902700.0,-4582476.72629214,11365568512.0,20000
1499,1.01871919631958,20.19,1839,-21.555965423583984,16,0.0007,1.1920928955078125e-07,-2401776.75,-691085.22697877,15350993920.0,30000
1999,1.0247502326965332,64.29,1834,-21.64432144165039,21,0.0007,0.0,-2201962.5,-2043536.6045843202,13322949632.0,40000
2499,1.0272998809814453,55.05,1828,-21.679040908813477,27,0.0007,-1.1920928955078125e-07,-1706365.25,-1573469.6671059101,7862494208.0,50000
2999,1.0296393632888794,62.45,1823,-21.711408615112305,32,0.0007,-1.1920928955078125e-07,-1591940.0,-1678382.1674150599,7407520768.0,60000
3499,1.0309364795684814,56.18,1822,-21.73900032043457,38,0.0007,-1.1920928955078125e-07,-2123007.0,-1562449.03675265,10676048896.0,70000
3999,1.037267804145813,84.47,1802,-21.82672691345215,44,0.0007,0.0,-1319680.5,-2360093.3721775804,4457728512.0,80000
4499,1.0446460247039795,77.47,1813,-21.932523727416992,49,0.0007,0.0,-1975634.0,-2193198.97539728,10156464128.0,90000
4999,1.0503238439559937,55.29,1820,-22.01109504699707,54,0.0007,-2.384185791015625e-07,-1608082.75,-1464688.6993419698,6780104704.0,100000
5499,1.0499478578567505,63.16,1830,-22.00906753540039,60,0.0007,0.0,-1835244.75,-1892122.5838957801,7727653888.0,110000
5999,1.0464298725128174,54.34,1837,-21.949792861938477,65,0.0007,1.1920928955078125e-07,-2126323.0,-1573498.4924234003,11462973440.0,120000
6499,1.047813057899475,81.41,1844,-21.958988189697266,70,0.0007,0.0,-2045958.0,-2481696.28863126,11674051584.0,130000
6999,1.0509873628616333,97.88,1851,-22.001359939575195,75,0.0007,-1.1920928955078125e-07,-2033288.75,-3567455.85821417,10964593664.0,140000
7499,1.0547791719436646,74.43,1857,-22.056333541870117,80,0.0007,0.0,-1746729.25,-2036962.1054338699,8129680384.0,150000
7999,1.0514371395111084,110.02,1862,-22.00357437133789,85,0.0007,-1.1920928955078125e-07,-1919339.25,-3104079.89910464,10583696384.0,160000
8499,1.0567735433578491,45.31,1866,-22.087383270263672,91,0.0007,0.0,-2221395.75,-1382051.97065119,12667535360.0,170000
8999,1.0564717054367065,49.72,1868,-22.084671020507812,96,0.0007,5.960464477539063e-08,-2137937.5,-1660505.1050587,12010768384.0,180000
9499,1.0712002515792847,55.1,1869,-22.290502548217773,101,0.0007,0.0,-1629346.25,-1566953.99885058,6668105216.0,190000
9999,1.0766383409500122,63.16,1870,-22.359922409057617,106,0.0007,0.0,-1455267.5,-1659899.1251221404,5577335808.0,200000
10499,1.083236575126648,67.54,1872,-22.450618743896484,112,0.0007,0.0,-1751843.625,-1895404.5879257803,8293997056.0,210000
10999,1.0874725580215454,47.84,1876,-22.507585525512695,117,0.0007,0.0,-1701051.375,-1320512.47350665,6890055168.0,220000
11499,1.0968048572540283,38.95,1878,-22.628171920776367,122,0.0007,0.0,-1622185.75,-1110156.0317711001,7251925504.0,230000
11999,1.1044737100601196,89.08,1881,-22.735319137573242,127,0.0007,1.1920928955078125e-07,-1991294.625,-2793274.3582755094,8652871680.0,240000
12499,1.1022228002548218,39.51,1883,-22.69084358215332,132,0.0007,0.0,-1824938.625,-1109204.20106653,8084454400.0,250000
12999,1.107717752456665,52.74,1885,-22.760889053344727,137,0.0007,0.0,-2210852.75,-1410371.0869277,11305435136.0,260000
13499,1.1146752834320068,53.56,1887,-22.847837448120117,143,0.0007,-1.1920928955078125e-07,-1898611.0,-1461636.40142513,8401352192.0,270000
13999,1.117889165878296,50.63,1889,-22.897674560546875,148,0.0007,1.1920928955078125e-07,-2151505.5,-1439129.62861789,10284861440.0,280000
14499,1.1183501482009888,58.86,1891,-22.89450454711914,153,0.0007,0.0,-1740162.375,-1604431.0121046,7329173504.0,290000
14999,1.1255651712417603,32.38,1892,-22.99075698852539,158,0.0007,0.0,-1866778.25,-1041499.11944525,8761293824.0,300000
15499,1.1323134899139404,62.43,1894,-23.079753875732422,163,0.0007,0.0,-2328434.5,-1877530.01442221,11739998208.0,310000
15999,1.135284423828125,55.67,1895,-23.12653923034668,168,0.0007,1.1920928955078125e-07,-2105750.25,-1543554.1178872897,8389645824.0,320000
16499,1.1365760564804077,64.5,1896,-23.128385543823242,173,0.0007,0.0,-1639998.375,-1810343.70869955,7128710144.0,330000
16999,1.1394139528274536,85.6,1898,-23.171955108642578,179,0.0007,2.384185791015625e-07,-1639286.75,-2496518.79538788,6668404736.0,340000
17499,1.142544150352478,55.74,1898,-23.203271865844727,184,0.0007,-1.1920928955078125e-07,-1598933.625,-1458163.13073199,6316211712.0,350000
17999,1.1452716588974,70.76,1899,-23.231657028198242,189,0.0007,-1.1920928955078125e-07,-1877598.0,-1955933.14904596,8108926464.0,360000
18499,1.1494966745376587,37.39,1900,-23.290346145629883,194,0.0007,0.0,-2189019.5,-1047492.8186287599,11866798080.0,370000
18999,1.1476889848709106,70.82,1899,-23.264341354370117,200,0.0007,-1.1920928955078125e-07,-1877883.0,-1967282.4890811401,8629223424.0,380000
19499,1.1438053846359253,49.57,1898,-23.222551345825195,205,0.0007,1.1920928955078125e-07,-2081668.75,-1488039.74351295,9478643712.0,390000
19999,1.1499247550964355,77.41,1897,-23.296201705932617,210,0.0007,0.0,-2273790.0,-2258183.20595465,12949956608.0,400000
20499,1.1619460582733154,61.02,1896,-23.444583892822266,216,0.0007,-1.1920928955078125e-07,-1952804.75,-1813099.4555475998,8791758848.0,410000
20999,1.1730295419692993,58.43,1895,-23.589305877685547,221,0.0007,0.0,-1626254.875,-1602777.6748069,5523314688.0,420000
