train/n_updates,train/std,rollout/ep_len_mean,time/fps,train/entropy_loss,time/time_elapsed,train/learning_rate,train/explained_variance,train/policy_loss,rollout/ep_rew_mean,train/value_loss,time/total_timesteps
21499,1.1799176931381226,87.19,1894,-23.662372589111328,226,0.0007,0.0,-1794271.25,-2511481.67102902,7378998784.0,430000
21999,1.1834242343902588,63.99,1894,-23.712017059326172,232,0.0007,0.0,-1928371.0,-1803338.6951055997,7674653696.0,440000
22499,1.1839022636413574,73.11,1895,-23.72287368774414,237,0.0007,-1.1920928955078125e-07,-1558464.625,-2131636.96971932,6259356160.0,450000
22999,1.1886303424835205,50.26,1894,-23.782758712768555,242,0.0007,1.1920928955078125e-07,-2342899.0,-1533841.7083383498,12918262784.0,460000
23499,1.1916064023971558,65.73,1895,-23.817062377929688,247,0.0007,0.0,-1574636.25,-1885926.0789382497,5667508224.0,470000
23999,1.2009103298187256,48.3,1895,-23.939556121826172,253,0.0007,0.0,-1485313.375,-1383093.18227331,5361099776.0,480000
24499,1.211581826210022,91.37,1897,-24.079133987426758,258,0.0007,0.0,-1672875.0,-2750629.4337267494,5908628480.0,490000
24999,1.2224361896514893,73.13,1898,-24.207319259643555,263,0.0007,-1.1920928955078125e-07,-2434388.25,-1990113.46106554,12332797952.0,500000
25499,1.2285099029541016,45.14,1899,-24.28228187561035,268,0.0007,0.0,-2188672.0,-1335338.92073012,9843501056.0,510000
25999,1.24807870388031,80.28,1901,-24.516080856323242,273,0.0007,0.0,-1819340.75,-2427561.96678344,6959592960.0,520000
26499,1.2546769380569458,63.02,1902,-24.595996856689453,278,0.0007,0.0,-2270328.75,-1783489.4199195802,10685732864.0,530000
26999,1.259074330329895,65.14,1903,-24.646215438842773,283,0.0007,-1.1920928955078125e-07,-1708887.25,-1843492.74418535,6119421952.0,540000
27499,1.2702127695083618,64.23,1903,-24.781938552856445,288,0.0007,-1.1920928955078125e-07,-2468260.5,-1839609.5113968102,10950454272.0,550000
27999,1.272241234779358,62.2,1905,-24.809553146362305,293,0.0007,-1.1920928955078125e-07,-1811852.375,-1763617.84186112,7009947648.0,560000
28499,1.2825285196304321,56.79,1906,-24.93651008605957,299,0.0007,5.960464477539063e-08,-2173118.75,-1570659.62381328,8591844352.0,570000
28999,1.2889574766159058,59.01,1906,-25.007719039916992,304,0.0007,0.0,-2943731.25,-1709340.8493572595,17557299200.0,580000
29499,1.2882028818130493,49.92,1907,-25.008930206298828,309,0.0007,1.1920928955078125e-07,-1770692.25,-1430893.06162025,6094302720.0,590000
29999,1.2919700145721436,55.66,1907,-25.047683715820312,314,0.0007,0.0,-1919502.0,-1502811.5891065702,7887988224.0,600000
30499,1.2892717123031616,64.23,1907,-25.011505126953125,319,0.0007,0.0,-1858590.375,-1884040.2960776002,7087098368.0,610000
30999,1.2930887937545776,52.89,1907,-25.056028366088867,325,0.0007,0.0,-1895021.625,-1491629.86084436,7619616768.0,620000
31499,1.2982248067855835,44.41,1906,-25.13526725769043,330,0.0007,0.0,-2327211.5,-1257718.75944756,9853151232.0,630000
31999,1.3022685050964355,94.4,1906,-25.17872428894043,335,0.0007,0.0,-1900315.375,-2761918.41111044,6978954240.0,640000
32499,1.30625581741333,48.13,1907,-25.225980758666992,340,0.0007,1.1920928955078125e-07,-2137412.0,-1314274.46764959,10631976960.0,650000
32999,1.3141417503356934,57.43,1907,-25.311948776245117,345,0.0007,0.0,-2402993.75,-1586689.06355159,11258951680.0,660000
33499,1.3185573816299438,73.56,1908,-25.366954803466797,351,0.0007,1.7881393432617188e-07,-1879365.625,-1958350.30370924,7286462976.0,670000
33999,1.3303375244140625,52.48,1909,-25.498472213745117,356,0.0007,-1.1920928955078125e-07,-2077432.0,-1545349.6566188904,8631114752.0,680000
34499,1.3340619802474976,56.82,1910,-25.52705192565918,361,0.0007,0.0,-1694307.25,-1613366.4522267296,6040890368.0,690000
34999,1.3396165370941162,57.12,1911,-25.586076736450195,366,0.0007,0.0,-1758865.625,-1507335.9909168398,5446043136.0,700000
35499,1.3427159786224365,63.83,1912,-25.616878509521484,371,0.0007,-1.1920928955078125e-07,-1766227.0,-1698484.0771701797,5918816768.0,710000
35999,1.3512791395187378,44.61,1913,-25.715679168701172,376,0.0007,0.0,-2403983.0,-1197986.3229196698,10740305920.0,720000
36499,1.3617192506790161,85.14,1914,-25.833003997802734,381,0.0007,-1.1920928955078125e-07,-2088265.25,-2463734.50953632,8053931008.0,730000
36999,1.3618394136428833,52.52,1916,-25.826824188232422,386,0.0007,-2.384185791015625e-07,-2317884.75,-1413429.5241635502,10170176512.0,740000
37499,1.3623765707015991,71.26,1917,-25.834117889404297,391,0.0007,0.0,-2359942.5,-1978773.23380191,9362039808.0,750000
37999,1.3710532188415527,59.72,1917,-25.924209594726562,396,0.0007,5.960464477539063e-08,-2100532.25,-1669603.77348739,8314227712.0,760000
38499,1.379334807395935,64.66,1918,-26.01761245727539,401,0.0007,0.0,-2367973.25,-1861138.6916776001,10457741312.0,770000
38999,1.3876765966415405,42.76,1919,-26.10318374633789,406,0.0007,0.0,-2244436.25,-1333785.15768602,10789599232.0,780000
39499,1.403028964996338,58.08,1920,-26.275516510009766,411,0.0007,0.0,-1979147.75,-1766498.56575617,7099542528.0,790000
39999,1.3997550010681152,68.66,1921,-26.234180450439453,416,0.0007,0.0,-1807528.75,-1978203.38834488,5700939264.0,800000
40499,1.41242516040802,57.5,1921,-26.372272491455078,421,0.0007,-2.384185791015625e-07,-2143838.25,-1606269.9333838797,8592875520.0,810000
40999,1.420074224472046,67.7,1922,-26.455535888671875,426,0.0007,1.1920928955078125e-07,-1983495.0,-1829104.5566403202,6946392576.0,820000
41499,1.434645414352417,73.97,1922,-26.599651336669922,431,0.0007,-1.1920928955078125e-07,-1899380.0,-2077408.19632616,7039787008.0,830000
41999,1.4305193424224854,61.54,1922,-26.56302261352539,436,0.0007,1.7881393432617188e-07,-2259278.0,-1630820.17127091,8675993600.0,840000
42499,1.437853455543518,37.38,1922,-26.642101287841797,442,0.0007,0.0,-2323951.75,-1026315.2117814702,9403706368.0,850000
42999,1.4424492120742798,61.31,1922,-26.68149185180664,447,0.0007,0.0,-1971340.25,-1768431.16013694,7853770240.0,860000
43499,1.4518814086914062,78.15,1922,-26.78768539428711,452,0.0007,-1.1920928955078125e-07,-2209484.0,-2193324.3812301704,8543577600.0,870000
43999,1.4660028219223022,52.23,1921,-26.922359466552734,457,0.0007,0.0,-2056802.25,-1544450.6573168,7393737728.0,880000
44499,1.4674012660980225,53.5,1921,-26.937572479248047,463,0.0007,0.0,-1982132.0,-1549577.26320901,7235200512.0,890000
44999,1.4875562191009521,36.29,1920,-27.118160247802734,468,0.0007,-2.384185791015625e-07,-2178747.25,-1008230.8944730099,9171495936.0,900000
45499,1.4924677610397339,45.41,1920,-27.180400848388672,473,0.0007,0.0,-1962694.375,-1253847.43812927,6480486400.0,910000
45999,1.4996254444122314,63.23,1920,-27.244441986083984,479,0.0007,-1.1920928955078125e-07,-1874374.625,-1664196.9475508202,6064729600.0,920000
46499,1.5031497478485107,62.61,1919,-27.277477264404297,484,0.0007,0.0,-2156766.0,-1773614.3552826003,7789827584.0,930000
46999,1.513551950454712,86.53,1919,-27.36813735961914,489,0.0007,0.0,-2098758.0,-2391414.7591584795,8152520192.0,940000
47499,1.5218724012374878,41.07,1919,-27.45401382446289,494,0.0007,0.0,-2323881.25,-1147847.5708233998,9492001792.0,950000
47999,1.5348594188690186,52.0,1919,-27.57757568359375,500,0.0007,0.0,-2119909.75,-1432227.38794952,8085969920.0,960000
48499,1.5506442785263062,55.27,1918,-27.721378326416016,505,0.0007,1.7881393432617188e-07,-1951584.0,-1463346.46073826,6412486144.0,970000
48999,1.5564032793045044,61.81,1918,-27.769268035888672,510,0.0007,0.0,-1928909.625,-1688307.9554000401,6446240768.0,980000
49499,1.570419430732727,67.79,1917,-27.922725677490234,516,0.0007,-1.1920928955078125e-07,-2211855.75,-1888015.0808755897,7565059584.0,990000
49999,1.5740845203399658,43.06,1917,-27.954418182373047,521,0.0007,5.960464477539063e-08,-2161667.25,-1148219.5965526202,7177632256.0,1000000
