train/learning_rate,train/actor_loss,time/total_timesteps,time/fps,time/episodes,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean
0.0055,14625.337890625,10000,202,27,45.004112243652344,-34.40966796875,49,2474,-1917316.0353364442,5522147.5,314.2962962962963
0.0055,5081.9208984375,20000,203,36,41.46885681152344,9.195405960083008,98,4974,-1467245.7568525833,3641646.0,485.72222222222223
0.0055,1522.3446044921875,30000,204,47,20.146739959716797,4.487726211547852,146,7474,-1158427.1138364256,6717195.0,598.0851063829788
0.0055,136.55552673339844,40000,204,64,9.612885475158691,3.0256810188293457,195,9974,-895444.6071896564,879073.6875,603.0625
0.0055,4149.59814453125,50000,204,74,23.319988250732422,9.29796028137207,244,12474,-957796.853983838,1153821.75,653.2432432432432
0.0055,1747.082763671875,60000,204,84,15.86403751373291,11.279744148254395,292,14974,-936025.5224204527,861199.625,685.7857142857143
0.0055,858.9925537109375,70000,204,96,5.888556003570557,0.5488551259040833,341,17474,-829806.6029719271,1876816.5,725.0625
0.0055,1709.0152587890625,80000,205,107,6.211317539215088,1.292115330696106,390,19974,-402475.40697119007,696517.0625,757.03
0.0055,1581.904541015625,90000,205,119,3.894727945327759,-0.3332814574241638,438,22474,-367531.31966891995,1403917.75,833.32
0.0055,10725.123046875,100000,204,140,28.734878540039062,-2.328444480895996,488,24974,-570871.67626689,2093600.625,770.23
0.0055,8687.3828125,110000,205,150,7.999269962310791,2.123741388320923,536,27474,-571382.2842742801,2322427.5,764.49
0.0055,7281.37158203125,120000,205,161,10.79279899597168,3.598860740661621,584,29974,-562592.3383771699,1936007.875,829.63
0.0055,-792.0139770507812,130000,205,181,11.776154518127441,0.7883555889129639,633,32474,-424482.15907278,3885672.5,740.88
0.0055,2311.30615234375,140000,205,189,8.080926895141602,3.9986157417297363,682,34974,-378935.59737241996,859252.875,740.88
0.0055,3236.414306640625,150000,205,201,4.074571132659912,-1.650730013847351,730,37474,-357070.9848209801,1530023.0,754.94
0.0055,1338.709228515625,160000,205,209,2.878854990005493,2.608246326446533,778,39974,-338270.73463156004,318771.28125,767.16
0.0055,563985.1875,170000,205,241,6904.88818359375,-209.93597412109375,826,42474,-935739.4621744502,5496647168.0,699.18
0.0055,433284.0,180000,205,276,7712.994140625,76.00196838378906,874,44974,-1549747.2594202503,2026399488.0,548.0
0.0055,243183.796875,190000,205,328,508.7115173339844,47.213218688964844,922,47474,-1533046.5103962598,609222912.0,214.93
0.0055,140539.53125,200000,206,364,66.8631362915039,12.657763481140137,970,49974,-675425.18820367,61578264.0,247.49
0.0055,53054.3046875,210000,206,372,15.891176223754883,-1.7581162452697754,1017,52474,-566032.16501577,25020792.0,312.8
0.0055,19651.265625,220000,206,395,36.173423767089844,8.979342460632324,1065,54974,-787975.39874937,5790332.5,368.65
0.0055,2649.40087890625,230000,206,405,6.299688339233398,2.234470844268799,1112,57474,-726987.56129629,6374434.5,453.3
0.0055,8683.8759765625,240000,206,415,12.122688293457031,0.4240753650665283,1159,59974,-743929.6785712899,2784338.5,541.7
0.0055,8091.216796875,250000,207,425,6.58201789855957,-4.555628776550293,1206,62474,-689220.1239067802,26073162.0,621.66
0.0055,20713.59765625,260000,207,444,19.917800903320312,4.802565097808838,1253,64974,-1076905.82157381,5895608.5,669.91
0.0055,8426.404296875,270000,207,455,10.116326332092285,3.273444175720215,1300,67474,-1093026.3473366802,3193291.0,734.33
0.0055,311.9168701171875,280000,207,464,7.304264068603516,-3.785271644592285,1347,69974,-1090954.20317082,2368372.5,792.18
0.0055,2252.24169921875,290000,208,478,6.865502834320068,1.280716896057129,1393,72474,-1063847.7941799,2246798.0,755.0
