train/explained_variance,train/policy_gradient_loss,time/total_timesteps,train/std,time/fps,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/approx_kl,train/loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/clip_fraction
7.152557373046875e-07,-0.007536498728404695,10000,1.0098481178283691,1041,0.0017,-311662.98643701,0.2,3048679620.4,0.0055191186,1441249024.0,10,77.46,9,-12.817864992469548,0.03001708984375
0.0,-0.004699500857896055,20000,1.0201385021209717,1041,0.0017,-266631.98304945993,0.2,2820277814.4,0.0046283603,1283835008.0,20,69.76,19,-12.907882941514254,0.01802978515625
1.1920928955078125e-07,-0.004379644044820452,30000,1.028625726699829,1045,0.0017,-309688.25414386,0.2,2837372580.0,0.0041463207,1653809920.0,30,80.37,28,-12.989099173247814,0.01458740234375
0.0,-0.00404831022133294,40000,1.0391713380813599,1045,0.0017,-239360.44216409003,0.2,2497858092.8,0.0039819283,1113265152.0,40,64.89,38,-13.073659584671258,0.0122314453125
-1.1920928955078125e-07,-0.004657520171713258,50000,1.0632574558258057,951,0.0017,-244315.04937675997,0.2,2360108213.0,0.004365826,945361600.0,60,70.16,52,-13.271258786320686,0.01414794921875
0.0,-0.0034953461927216267,60000,1.072082281112671,965,0.0017,-232732.46520821002,0.2,2347286669.3,0.004156344,1329052160.0,70,70.01,62,-13.361961958557368,0.014111328125
0.0,-0.005272893001165358,70000,1.082488775253296,975,0.0017,-234817.91759244996,0.2,2225914237.8,0.005317193,966519872.0,80,67.89,71,-13.44257545620203,0.0266357421875
2.384185791015625e-07,-0.005322029644776194,80000,1.095837116241455,983,0.0017,-216404.98630149,0.2,2215483686.7,0.005300765,1010806208.0,90,63.06,81,-13.542455893754958,0.02554931640625
0.0,-0.004076704912586137,90000,1.1068898439407349,989,0.0017,-207325.83209304002,0.2,2200949353.4,0.0047136387,1090392320.0,100,62.14,90,-13.641156293451786,0.01837158203125
1.1920928955078125e-07,-0.004921053772704909,100000,1.133624792098999,949,0.0017,-213470.80282603993,0.2,2106673668.1,0.00471827,1055093120.0,120,65.54,105,-13.849214489758015,0.02218017578125
-1.1920928955078125e-07,-0.005579003101229318,110000,1.145478367805481,955,0.0017,-189911.50293684995,0.2,2203019547.6,0.005183994,1035258624.0,130,55.8,115,-13.947414964437485,0.02369384765625
0.0,-0.0035597357952610762,120000,1.1598786115646362,961,0.0017,-188398.30781059002,0.2,2102111619.3,0.004337766,710021760.0,140,55.87,124,-14.04968548193574,0.013818359375
0.0,-0.003087395916918467,130000,1.1730196475982666,967,0.0017,-196367.09333913997,0.2,2122637913.9,0.0037227762,942203392.0,150,61.71,134,-14.154704917222261,0.01009521484375
0.0,-0.004379056396282976,140000,1.2006257772445679,939,0.0017,-198534.00401168995,0.2,2060658686.0,0.0040045967,1178589312.0,170,59.61,149,-14.36463879197836,0.0127197265625
0.0,-0.003440227875034907,150000,1.2156426906585693,944,0.0017,-177113.08956509002,0.2,1770649230.15,0.003843124,854051648.0,180,57.03,158,-14.470578986406327,0.01278076171875
1.1920928955078125e-07,-0.003333317096803512,160000,1.2328976392745972,949,0.0017,-191598.18294895,0.2,1833273379.2,0.0042092227,1000740800.0,190,60.43,168,-14.5901940561831,0.01575927734375
0.0,-0.00548890052614297,170000,1.2479954957962036,953,0.0017,-189244.79260508998,0.2,1927274847.5,0.005802203,1129933952.0,200,60.9,178,-14.70746415257454,0.02744140625
-1.1920928955078125e-07,-0.004575576396382531,180000,1.262847661972046,957,0.0017,-183333.12483237003,0.2,1856862049.3,0.0047210637,1209153920.0,210,57.13,187,-14.814179006218911,0.02099609375
1.1920928955078125e-07,-0.003477552775439108,190000,1.2931008338928223,936,0.0017,-180830.20046870995,0.2,1840733261.4,0.0040139905,915177792.0,230,58.91,202,-15.021551904827357,0.0127197265625
-2.384185791015625e-07,-0.003002361130711506,200000,1.309837818145752,939,0.0017,-173387.45872340005,0.2,1745613295.2,0.0035613556,1076637440.0,240,58.8,212,-15.13629447221756,0.00780029296875
0.0,-0.0031539280535071157,210000,1.3264888525009155,943,0.0017,-182254.56329308997,0.2,1925415463.7,0.0033431184,915431744.0,250,58.87,222,-15.250252539664507,0.009765625
0.0,-0.00245935353641471,220000,1.343092441558838,946,0.0017,-170517.83430684998,0.2,1689649529.95,0.0034204891,991203648.0,260,54.66,232,-15.362090804427861,0.0079833984375
1.1920928955078125e-07,-0.0031502797899520376,230000,1.3823100328445435,931,0.0017,-174347.2182315,0.2,1640482827.05,0.0043264143,797409792.0,280,59.46,246,-15.609428114444018,0.01585693359375
0.0,-0.003962760195645387,240000,1.3974452018737793,935,0.0017,-174236.50251033,0.2,1643369990.0,0.0042574983,617041664.0,290,56.35,256,-15.727223499119281,0.017822265625
1.1920928955078125e-07,-0.004594755172547593,250000,1.4194413423538208,938,0.0017,-178329.22405127,0.2,1722307752.8,0.005151375,847750336.0,300,56.33,266,-15.848752649873495,0.02349853515625
0.0,-0.003506661962092039,260000,1.4379425048828125,941,0.0017,-188727.74702779998,0.2,1720270457.9,0.0038954602,633071936.0,310,66.51,276,-15.973493179678917,0.01358642578125
0.0,-0.0034846907207793263,270000,1.4586243629455566,944,0.0017,-186506.09095376,0.2,1556057988.9,0.004636895,771556672.0,320,64.39,285,-16.09581116735935,0.01636962890625
0.0,-0.0034065608258970316,280000,1.4949074983596802,931,0.0017,-186343.76395558004,0.2,1732760275.4,0.0040612854,897264896.0,340,62.86,300,-16.32901165038347,0.01612548828125
1.1920928955078125e-07,-0.0029548885717304075,290000,1.5111944675445557,934,0.0017,-185400.89836913,0.2,1755071506.15,0.0039218552,783807744.0,350,64.0,310,-16.42655020356178,0.0152587890625
1.1920928955078125e-07,-0.004028648662824708,300000,1.5344934463500977,936,0.0017,-177802.32354537,0.2,1521507256.05,0.0049494924,763625600.0,360,63.72,320,-16.54579785168171,0.02015380859375
0.0,-0.0024047136739682173,310000,1.555306315422058,938,0.0017,-194427.45376152996,0.2,1518974721.85,0.0038127387,882234112.0,370,68.85,330,-16.674497133493425,0.01190185546875
2.384185791015625e-07,-0.005195482447197719,320000,1.5895453691482544,927,0.0017,-173908.12103558003,0.2,1729167463.65,0.005156937,760474816.0,390,56.59,344,-16.87938834130764,0.02852783203125
-1.1920928955078125e-07,-0.0026539335942288743,330000,1.6163690090179443,929,0.0017,-177164.24768688,0.2,1539350436.35,0.0038674795,746907200.0,400,61.89,354,-17.005172237753868,0.010546875
