rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,time/fps,train/ent_coef_loss,train/actor_loss,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates
-6479965.523480389,454.8888888888889,18,4439.81982421875,245,-3.481813430786133,141055.609375,40,10000,1.4106810092926025,0.0003,2474
-8714872.76664812,518.8181818181819,33,4036.687744140625,243,-11.52177906036377,330445.03125,82,20000,3.0439510345458984,0.0003,4974
-10129081.899649702,604.8085106382979,47,4394.6884765625,242,-17.16935920715332,470621.46875,123,30000,6.063070774078369,0.0003,7474
-10815685.30339731,662.290909090909,55,4917.7783203125,242,-20.243528366088867,604515.375,165,40000,13.066509246826172,0.0003,9974
-11986883.269269982,722.776119402985,67,5201.81640625,241,-21.701566696166992,670973.125,206,50000,26.103364944458008,0.0003,12474
-10570150.392835172,625.1413043478261,92,5475.4072265625,241,-21.879079818725586,753709.0625,248,60000,50.81648254394531,0.0003,14974
-11385760.4884231,643.28,110,6127.07177734375,241,-14.176589965820312,821665.5,289,70000,92.8849868774414,0.0003,17474
-12314437.80382778,687.85,118,5856.0654296875,241,2.4815335273742676,907081.25,330,80000,116.40892028808594,0.0003,19974
-13498749.428204037,748.52,130,6187.7412109375,241,0.9919830560684204,968627.875,372,90000,76.60235595703125,0.0003,22474
-12863449.240119582,748.52,138,5215.9130859375,241,0.10945013165473938,1012287.625,414,100000,102.23148345947266,0.0003,24974
-11993153.166139381,737.12,154,5113.7373046875,241,0.15361317992210388,971167.625,455,110000,124.52823638916016,0.0003,27474
-11350240.861859582,727.62,163,7590.5224609375,241,0.9913415312767029,972752.8125,496,120000,88.25819396972656,0.0003,29974
-10236444.423319452,718.18,182,5399.65380859375,241,2.259052276611328,866749.0625,537,130000,82.50772094726562,0.0003,32474
-10542732.6595318,772.72,197,6389.93896484375,242,0.18675044178962708,912945.4375,578,140000,72.20756530761719,0.0003,34974
-11410543.75566039,818.63,206,7031.8798828125,241,-1.4832606315612793,911756.8125,619,150000,80.40910339355469,0.0003,37474
-8690106.05494841,705.24,229,8468.6435546875,241,-2.326734781265259,927293.0625,661,160000,93.15196228027344,0.0003,39974
-8138984.213273871,659.83,244,12660.1484375,241,1.0027563571929932,926278.3125,703,170000,110.6611557006836,0.0003,42474
-8240459.633992719,668.88,255,8857.0908203125,241,-0.462191641330719,912283.0625,744,180000,114.40989685058594,0.0003,44974
-7802411.788604812,640.34,274,10575.435546875,241,-1.006874918937683,933316.0625,786,190000,97.2400131225586,0.0003,47474
-8005327.708648949,661.88,290,11452.02734375,241,1.6274299621582031,936672.0,827,200000,90.80706787109375,0.0003,49974
-7581502.1663721,661.88,299,13613.7939453125,241,0.9834668636322021,933651.25,868,210000,97.79615783691406,0.0003,52474
-7098020.54544343,683.17,310,13548.173828125,241,-2.7064623832702637,943441.375,909,220000,101.99406433105469,0.0003,54974
-7422137.383489961,747.17,320,17590.88671875,241,2.2335309982299805,947500.1875,951,230000,95.47547149658203,0.0003,57474
-7716229.868721962,791.99,332,13665.43359375,241,0.33032435178756714,978893.1875,992,240000,84.29896545410156,0.0003,59974
-6671332.826232009,698.22,357,12523.2392578125,241,-2.616014003753662,1017107.0,1035,250000,74.2939224243164,0.0003,62474
-6726061.41465872,719.01,372,15489.3076171875,241,-2.061032295227051,1046863.4375,1077,260000,69.71218872070312,0.0003,64974
-6806493.366024162,732.52,385,16280.7353515625,241,-0.20376455783843994,1073504.875,1119,270000,88.75873565673828,0.0003,67474
-6961951.831138499,750.82,394,15090.859375,241,0.9972369074821472,1117657.25,1161,280000,86.79682922363281,0.0003,69974
-6653235.667921399,758.85,405,13674.0400390625,241,0.7722676396369934,1119941.5,1203,290000,91.8171157836914,0.0003,72474
-6530509.02662477,748.98,415,16347.17578125,240,1.3183506727218628,1108938.875,1245,300000,93.19341278076172,0.0003,74974
-5883406.026835149,688.63,435,13282.138671875,240,-0.22475269436836243,1143900.25,1287,310000,81.60295867919922,0.0003,77474
