time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/step_size,train/iterations,rollout/return_std,train/delta_std
10000,-19884857.635238998,3303,3,1000.0,,,,,
20000,-19822098.14634775,3312,6,1000.0,,,,,
30000,-19843044.817478426,3339,8,1000.0,,,,,
40000,-19828948.386777,3334,11,1000.0,,,,,
50000,-19796875.86980808,3330,15,1000.0,,,,,
60000,-19767065.217626426,3345,17,1000.0,,,,,
70000,-19872597.411694,3339,20,1000.0,0.02,1.647578251606774e-08,0,151737.859375,0.05
80000,-19870651.448268335,3333,23,1000.0,,,,,
90000,-16942655.538914856,3332,27,858.8571428571429,,,,,
100000,-17602788.399856444,3329,30,890.2222222222222,,,,,
110000,-18156698.680719085,3327,33,917.6666666666666,,,,,
120000,-18401664.83694672,3335,35,929.4285714285714,,,,,
130000,-19954894.548252,3334,38,1000.0,0.02,5.068997999124747e-10,1,4931941.0,0.05
140000,-19913345.210752666,3333,42,1000.0,,,,,
150000,-19816504.880157832,3332,45,1000.0,,,,,
160000,-19819796.257854875,3332,48,1000.0,,,,,
170000,-19786921.113783725,3332,51,1000.0,,,,,
180000,-19801722.09487992,3300,54,1000.0,,,,,
190000,,3271,58,,0.02,2.2311390068807668e-08,2,112050.3984375,0.05
200000,-13114718.490341669,3246,61,672.6666666666666,,,,,
210000,-16490215.84871517,3224,65,836.3333333333334,,,,,
220000,-17314577.034707252,3208,68,877.25,,,,,
230000,-16488155.258832002,3189,72,835.6666666666666,,,,,
240000,-16925887.722989287,3172,75,859.1428571428571,,,,,
250000,-19907570.0,3157,79,1000.0,0.02,3.7268924057975994e-10,3,6708001.5,0.05
260000,-19904178.822332,3142,82,1000.0,,,,,
270000,-19846908.965411,3129,86,1000.0,,,,,
280000,-19863745.949712873,3118,89,1000.0,,,,,
290000,-18947847.544497997,3109,93,1000.0,,,,,
300000,-19071829.365391534,3101,96,1000.0,,,,,
310000,,3091,100,,0.02,1.0164448172034213e-09,4,2459553.0,0.05
320000,-19810896.821054,3082,103,1000.0,,,,,
330000,-14221413.435979288,3077,107,719.0,,,,,
340000,-15448954.08822433,3069,110,781.4444444444445,,,,,
350000,-15267358.43254277,3060,114,772.6153846153846,,,,,
360000,-15885609.752701001,3053,117,802.9333333333333,,,,,
370000,-13229415.505073002,3046,121,675.0,0.02,3.149833727178475e-10,5,7936926.5,0.05
380000,-15875829.383056402,3040,124,805.0,,,,,
390000,-15447077.267936667,3034,128,782.6666666666666,,,,,
400000,-16244778.582418727,3028,132,822.1818181818181,,,,,
410000,-15875449.299879067,3023,135,803.5333333333333,,,,,
420000,-10022519.116848,3018,139,510.0,0.02,3.1584726500888394e-10,6,7915218.5,0.05
430000,-15670974.569174001,3013,142,804.0,,,,,
440000,-16876579.79626214,3008,146,860.0,,,,,
450000,-16153753.330434276,3004,149,820.8181818181819,,,,,
460000,-16736135.068134772,3000,153,848.3846153846154,,,,,
470000,,2996,156,,0.02,3.718884089565222e-10,7,6722446.5,0.05
480000,-19894844.706451,2992,160,1000.0,,,,,
490000,-19845912.5457232,2989,163,1000.0,,,,,
500000,-19861398.42552157,2985,167,1000.0,,,,,
510000,-19814116.1720725,2983,170,1000.0,,,,,
520000,-19815613.22246925,2979,174,1000.0,,,,,
530000,-19809321.325136002,2977,178,1000.0,,,,,
540000,-19819907.606217,2974,181,1000.0,0.02,1.571909180597686e-08,8,159042.265625,0.05
550000,-19817403.305097,2972,185,1000.0,,,,,
560000,-19839434.6378145,2969,188,1000.0,,,,,
570000,-19848738.883821223,2967,192,1000.0,,,,,
