train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/episodes,train/learning_rate,time/fps,train/n_updates
72435344.0,-877293.306637,89.07014465332031,113.20481927710843,10000,50,47511.109375,-161.9315185546875,83,0.0055,199,2474
45000856.0,-1063946.26598131,140.61456298828125,190.5,20000,100,22193.7578125,18.249465942382812,100,0.0055,199,4974
60729284.0,-895948.4516144298,71.81981658935547,269.88,30000,150,6118.0771484375,16.528396606445312,109,0.0055,199,7474
4167883.5,-534934.9709006101,26.34354591369629,352.84,40000,200,-1603.8822021484375,6.319972038269043,120,0.0055,199,9974
98836.90625,-516138.91738477,6.1032938957214355,437.79,50000,250,723.440673828125,5.626802444458008,129,0.0055,199,12474
3705784.25,-837851.63439985,23.105609893798828,507.97,60000,301,8829.3515625,13.890193939208984,151,0.0055,199,14974
2515947.0,-843951.13443189,8.296802520751953,623.86,70000,351,6877.6298828125,-4.361527442932129,163,0.0055,199,17474
5637093.5,-846498.6017040099,14.87605094909668,689.33,80000,401,5239.75341796875,-0.5547125935554504,171,0.0055,199,19974
2692959.5,-802364.9619087201,9.098030090332031,787.49,90000,451,217.95132446289062,-9.782979965209961,184,0.0055,199,22474
783779.75,-683321.3762140401,3.4303643703460693,848.74,100000,501,342.0252990722656,2.0133237838745117,194,0.0055,199,24974
31253914.0,-645479.08272613,7.42761754989624,827.16,110000,551,3833.165771484375,2.367264986038208,206,0.0055,199,27474
1041455.875,-648243.262056,5.0888190269470215,827.16,120000,601,635.5308227539062,3.508401393890381,218,0.0055,199,29974
4277220.0,-468896.00800512003,105.17913818359375,725.32,130000,651,13351.5576171875,26.625076293945312,245,0.0055,199,32474
2594722.0,-437338.75415913993,7.3188557624816895,775.13,140000,702,7615.8466796875,-2.1374716758728027,254,0.0055,199,34974
