train/critic_loss,train/learning_rate,time/total_timesteps,time/episodes,train/ent_coef_loss,time/fps,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/n_updates,rollout/ep_rew_mean
47208772.0,0.0055,10000,357,-74.1709976196289,334,33713.84375,43.72117233276367,25.88,29,2474,-218261.56619913003
68716512.0,0.0055,20000,635,-0.874940037727356,333,32242.16015625,69.10939025878906,46.78,60,4974,-121870.91569428
94422704.0,0.0055,30000,822,12.715201377868652,332,21713.0,63.352840423583984,56.1,90,7474,-121338.86178369999
185341280.0,0.0055,40000,1021,11.230709075927734,331,7604.50390625,44.11099624633789,46.51,120,9974,-24335.563160409998
58604860.0,0.0055,50000,1255,-4.357574939727783,331,-12995.7353515625,36.044532775878906,36.01,150,12474,-81146.28650979
120860784.0,0.0055,60000,1503,-35.22384262084961,331,-30472.986328125,44.712127685546875,40.04,181,14974,8128.205440519997
80329048.0,0.0055,70000,1695,-5.387734413146973,331,-18101.4453125,44.788307189941406,42.84,211,17474,20318.201319929998
160661936.0,0.0055,80000,1970,2.260493755340576,330,-15797.845703125,53.738014221191406,39.62,241,19974,16703.72520486
66787672.0,0.0055,90000,2202,3.4552040100097656,330,-26172.0078125,51.6375617980957,36.19,272,22474,61281.33178297
132538328.0,0.0055,100000,2480,-0.0915614664554596,330,-28370.5546875,47.62880325317383,41.63,302,24974,-33207.82869927
181962736.0,0.0055,110000,2751,-21.50470733642578,330,-14081.080078125,239.4954071044922,37.54,332,27474,-256681.05539493996
137491040.0,0.0055,120000,3003,4.97213077545166,330,5298.728515625,71.55915832519531,29.54,363,29974,70151.23989582
122910080.0,0.0055,130000,3280,46.32805633544922,330,-18742.25,217.09320068359375,34.1,393,32474,-360295.85944707994
68654544.0,0.0055,140000,3533,9.15290641784668,330,-27176.48828125,52.37549591064453,51.78,423,34974,-84868.63701622
38490756.0,0.0055,150000,3989,-2.826369047164917,330,-44234.04296875,42.990867614746094,20.07,454,37474,123233.31545577999
56966364.0,0.0055,160000,4240,10.628222465515137,330,-60165.15625,94.55962371826172,29.43,484,39974,18168.23874199
22177384.0,0.0055,170000,4651,-0.9597889184951782,330,-59633.6953125,36.3930549621582,18.07,514,42474,132734.99598611
1886421504.0,0.0055,180000,5038,-41.855133056640625,330,2215.769287109375,813.1451416015625,45.67,545,44974,-684986.29533187
34927104.0,0.0055,190000,5450,10.987030029296875,330,-43815.015625,45.78700637817383,17.56,575,47474,133051.63681132
23251412.0,0.0055,200000,5865,5.484550476074219,330,-56101.11328125,46.42393112182617,18.7,605,49974,118880.25777261
31545628.0,0.0055,210000,6215,18.901260375976562,330,-50551.40234375,66.79290008544922,19.91,636,52474,132498.67785893
44039284.0,0.0055,220000,6660,-92.95283508300781,330,-49836.1875,74.35615539550781,21.05,666,54974,120269.22778085
59435152.0,0.0055,230000,6908,66.21607971191406,330,41737.67578125,250.56463623046875,46.72,696,57474,-240999.17780001
46796928.0,0.0055,240000,7274,-3.23384428024292,330,-21425.154296875,141.5865020751953,44.51,727,59974,-132449.92468775003
24805058.0,0.0055,250000,7739,-3.2120397090911865,330,-51796.69140625,49.15182113647461,18.27,757,62474,133008.2
54821848.0,0.0055,260000,8120,37.08972930908203,330,-38781.3125,105.9523696899414,20.93,787,64974,100787.93876887
23768500.0,0.0055,270000,8595,-12.721551895141602,329,-53195.37109375,69.35272216796875,17.68,818,67474,133039.27193504001
93037120.0,0.0055,280000,8942,78.15974426269531,329,15337.66796875,433.7700500488281,57.73,848,69974,-615162.52356887
26970888.0,0.0055,290000,9428,10.916566848754883,329,-48878.95703125,39.98235321044922,18.62,878,72474,132959.36919882
26426996.0,0.0055,300000,9716,-21.754802703857422,329,-43947.078125,54.57720947265625,45.26,909,74974,36659.49184554
27245772.0,0.0055,310000,10153,30.70830726623535,329,-57595.546875,106.40596008300781,24.0,939,77474,113799.08418897999
59166548.0,0.0055,320000,10459,25.70181655883789,329,69431.8515625,187.93971252441406,53.9,969,79974,-754200.42949744
1718880256.0,0.0055,330000,10660,107.30357360839844,329,40992.6015625,3398.350341796875,58.1,1000,82474,-1417283.7218813696
1113207296.0,0.0055,340000,10861,100.05184173583984,329,172446.8125,1150.02099609375,57.94,1030,84974,-1342842.48843698
207957184.0,0.0055,350000,11206,10.856578826904297,329,94446.9375,86.57374572753906,30.04,1060,87474,40602.5802545
172052576.0,0.0055,360000,11606,-33.61579132080078,330,53676.8359375,101.97986602783203,22.69,1090,89974,41031.33066779
100847888.0,0.0055,370000,11935,8.631901741027832,330,-19041.96484375,63.39375686645508,17.42,1120,92474,132974.5589536
674578816.0,0.0055,380000,12318,12.853302001953125,330,18692.044921875,743.94677734375,36.7,1151,94974,-421495.45875439997
117646872.0,0.0055,390000,12560,44.10309600830078,330,8345.17578125,185.8175506591797,40.56,1181,97474,-462379.22808631
44298048.0,0.0055,400000,12902,3.940062999725342,330,-18559.2578125,101.76923370361328,18.92,1211,99974,112211.24125264
119808928.0,0.0055,410000,13381,-5.2968292236328125,329,-29535.4609375,132.39178466796875,28.32,1244,102474,47895.57224307
