train/learning_rate,train/std,train/value_loss,train/entropy_loss,time/fps,rollout/ep_len_mean,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/total_timesteps
0.0007,1.4205117225646973,8162.81005859375,-10.584395408630371,1783,236.62,-827.5933837890625,1.1920928955078125e-07,-174661.16309798002,285,25499,510000
0.0007,1.4201689958572388,10388562.0,-10.569748878479004,1784,316.65,-8241.22265625,0.0,-196565.93099516994,291,25999,520000
0.0007,1.4254660606384277,189339.421875,-10.599745750427246,1783,125.66,1949.349609375,0.0,-201461.5520006,297,26499,530000
0.0007,1.4148303270339966,1734.875244140625,-10.548118591308594,1783,104.75,-372.29364013671875,0.0,-138579.73955207,302,26999,540000
0.0007,1.408097743988037,5154707.0,-10.514039039611816,1783,126.63,-4771.00732421875,0.0,-125849.21138143,308,27499,550000
0.0007,1.4302395582199097,24642180.0,-10.606698036193848,1782,170.55,-27640.09765625,0.0,-175552.86586355002,314,27999,560000
0.0007,1.4501657485961914,24662484.0,-10.685067176818848,1781,207.48,-25794.44921875,-2.384185791015625e-07,-219206.46958369002,320,28499,570000
0.0007,1.4553136825561523,1449172736.0,-10.699780464172363,1780,116.08,-199160.546875,1.7881393432617188e-07,-151476.55310919,325,28999,580000
0.0007,1.4662528038024902,1687107.25,-10.739655494689941,1779,103.03,7691.55615234375,0.0,-123088.38888344001,331,29499,590000
0.0007,1.4756641387939453,66086740.0,-10.771196365356445,1780,149.06,-34278.87109375,-1.1920928955078125e-07,-147647.4509148,336,29999,600000
0.0007,1.4916731119155884,24637280.0,-10.836797714233398,1779,144.5,-25959.017578125,0.0,-152484.47187472,342,30499,610000
0.0007,1.4836746454238892,6076204.0,-10.798721313476562,1780,188.09,2092.038818359375,0.0,-163238.26093653,348,30999,620000
0.0007,1.4865937232971191,962209.8125,-10.812752723693848,1780,232.08,4075.850341796875,0.0,-165040.97211372,353,31499,630000
0.0007,1.5014158487319946,3829.68701171875,-10.870257377624512,1781,235.23,-500.28082275390625,0.0,-148486.62745876,359,31999,640000
0.0007,1.512486457824707,1087087360.0,-10.907990455627441,1781,222.9,-148831.96875,0.0,-153950.18142533003,364,32499,650000
0.0007,1.5521615743637085,11233.2275390625,-11.063799858093262,1781,283.28,-345.84027099609375,1.1920928955078125e-07,-258033.24333187996,370,32999,660000
0.0007,1.5586901903152466,4286.7998046875,-11.084429740905762,1781,133.66,-561.5287475585938,0.0,-109557.81574309003,376,33499,670000
0.0007,1.5867981910705566,1087035008.0,-11.185992240905762,1781,164.8,-162030.015625,5.960464477539063e-08,-154648.05059049002,381,33999,680000
0.0007,1.6003857851028442,230582.53125,-11.217846870422363,1782,251.14,1982.476806640625,0.0,-268753.38927199994,387,34499,690000
0.0007,1.6082916259765625,1906142464.0,-11.243386268615723,1781,253.25,-239333.03125,0.0,-277132.53358133,392,34999,700000
0.0007,1.6267544031143188,24614604.0,-11.302186012268066,1781,258.33,-28984.802734375,0.0,-152428.85687461,398,35499,710000
0.0007,1.6605019569396973,9209.521484375,-11.408312797546387,1782,320.67,246.1140594482422,0.0,-184714.99354654,403,35999,720000
0.0007,1.6487938165664673,30211638.0,-11.369237899780273,1782,375.9,-21516.615234375,0.0,-202162.06867303996,409,36499,730000
0.0007,1.6548868417739868,970854720.0,-11.395696640014648,1781,446.57,-131638.78125,0.0,-216191.03942179997,415,36999,740000
0.0007,1.6555843353271484,1088.719970703125,-11.391129493713379,1781,184.12,-338.6410217285156,-1.1920928955078125e-07,-133776.55690917998,420,37499,750000
0.0007,1.659583568572998,36739.39453125,-11.40421199798584,1781,189.05,152.69326782226562,1.1920928955078125e-07,-137381.27921185,426,37999,760000
0.0007,1.6545809507369995,1053.455322265625,-11.377289772033691,1780,96.8,-329.68389892578125,0.0,-112922.69028517998,432,38499,770000
0.0007,1.667399287223816,1015.9931640625,-11.421089172363281,1780,152.09,-318.5707702636719,7.748603820800781e-07,-170262.67808977,437,38999,780000
0.0007,1.6929696798324585,26375564.0,-11.525949478149414,1781,217.67,-25949.927734375,1.7881393432617188e-07,-221528.93779641,443,39499,790000
0.0007,1.7040127515792847,966.7321166992188,-11.561988830566406,1780,128.66,-344.70654296875,-1.1920928955078125e-07,-116545.27699293001,449,39999,800000
0.0007,1.7307831048965454,40533.98046875,-11.63986873626709,1781,150.46,353.593017578125,0.0,-120057.51684700999,454,40499,810000
0.0007,1.7515748739242554,907.9093627929688,-11.694472312927246,1780,231.83,-320.9859924316406,1.1920928955078125e-07,-140950.80275863002,460,40999,820000
0.0007,1.772924780845642,47184.48046875,-11.759407997131348,1780,291.21,972.5260009765625,1.7881393432617188e-07,-148341.19433586,466,41499,830000
0.0007,1.7863273620605469,855.7322387695312,-11.814513206481934,1780,347.25,-314.99920654296875,0.0,-149660.66050352,471,41999,840000
0.0007,1.8300844430923462,821.8362426757812,-11.955231666564941,1780,446.43,-322.37567138671875,0.0,-166893.43769638,477,42499,850000
0.0007,1.8367137908935547,108389272.0,-11.972241401672363,1780,306.89,-57451.0546875,0.0,-161000.38987016003,482,42999,860000
