train/kl_divergence_loss,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,time/time_elapsed,time/total_timesteps,train/policy_objective,time/fps,train/explained_variance,train/value_loss,train/learning_rate
0.004952575545758009,1.0,-263695.13945772004,46.73,0.9987693428993225,1,6,10000,0.07150062173604965,1452,4.0531158447265625e-06,6565298774.4,0.001
0.0035645023453980684,1.0,-174887.24510628002,32.94,0.9906647205352783,2,13,20000,0.052564483135938644,1456,1.1920928955078125e-07,5252629369.6,0.001
0.004283868242055178,1.0,-168957.03239879,36.13,0.9831340312957764,3,20,30000,0.05881931632757187,1457,0.0,4747220012.4,0.001
0.004280440043658018,1.0,-164991.56125566,35.67,0.9723545908927917,4,27,40000,0.05854399502277374,1457,1.1920928955078125e-07,4186911980.4,0.001
0.004387206863611937,1.0,-156381.61163128,35.02,0.9695999026298523,6,35,50000,0.05561581626534462,1402,0.0,3802175242.4,0.001
0.00440166937187314,1.0,-140718.85862991,29.96,0.9644015431404114,7,42,60000,0.05792885273694992,1409,0.0,3604419597.2,0.001
0.004143369849771261,1.0,-144242.80820832,31.93,0.9623427987098694,8,49,70000,0.05520422011613846,1415,0.0,3519544475.6,0.001
0.003794019343331456,1.0,-143926.16892271,34.43,0.9555559158325195,9,56,80000,0.06013074889779091,1419,0.0,3629629625.2,0.001
0.004396504256874323,1.0,-137938.08984096,32.23,0.9516046643257141,10,63,90000,0.05877942964434624,1421,0.0,3465263769.2,0.001
0.005356003995984793,1.0,-145779.27289509997,40.29,0.9464295506477356,12,71,100000,0.0660267174243927,1397,1.1920928955078125e-07,3295916908.4,0.001
0.005024436395615339,1.0,-134376.85718826,39.37,0.9404761791229248,13,78,110000,0.07061678171157837,1398,0.0,2957222624.8,0.001
0.004840002860873938,1.0,-133410.61305830002,38.33,0.9411777853965759,14,85,120000,0.06535907834768295,1397,-1.1920928955078125e-07,2926711335.2,0.001
0.004934635479003191,1.0,-144836.97727715,46.99,0.9381162524223328,15,93,130000,0.06115257740020752,1397,-1.1920928955078125e-07,3031273878.8,0.001
0.0049530924297869205,1.0,-141851.11900506,44.48,0.9257232546806335,17,101,140000,0.07411925494670868,1378,1.1920928955078125e-07,2747492515.0,0.001
0.0051768445409834385,1.0,-134058.83559231999,41.41,0.9183871150016785,18,108,150000,0.06725601851940155,1379,0.0,2730638954.0,0.001
0.005366649478673935,1.0,-131596.66565222002,48.96,0.9056115746498108,19,115,160000,0.07047849148511887,1379,1.7881393432617188e-07,2495754239.0,0.001
0.005218490492552519,1.0,-123859.34381167003,42.26,0.8983283042907715,20,123,170000,0.07025764882564545,1380,0.0,2310926629.0,0.001
0.005779034923762083,1.0,-126179.59462986,47.84,0.8946813941001892,21,130,180000,0.07360608875751495,1381,0.0,2381294279.4,0.001
0.005721202585846186,1.0,-125406.6670218,54.41,0.8868934512138367,23,138,190000,0.07472178339958191,1368,0.0,1944753170.0,0.001
0.005861974786967039,1.0,-140327.55276218,66.12,0.8757645487785339,24,146,200000,0.0793897807598114,1369,0.0,2057705523.8,0.001
0.0055077760480344296,1.0,-142332.53750461002,68.37,0.878529965877533,25,153,210000,0.07556180655956268,1370,5.960464477539063e-08,1734620706.8,0.001
0.006009793374687433,1.0,-110181.21650301998,68.17,0.8741939663887024,26,160,220000,0.07544438540935516,1371,0.0,1862608793.6,0.001
0.0062585570849478245,1.0,-122153.46112893002,72.56,0.8729894757270813,28,169,230000,0.08169156312942505,1360,0.0,1579139315.0,0.001
0.006669029127806425,1.0,-118235.78777843,84.64,0.8728386759757996,29,176,240000,0.07844750583171844,1362,-1.1920928955078125e-07,1416451396.8,0.001
0.0063258628360927105,1.0,-106640.43328797,82.47,0.8681817054748535,30,183,250000,0.0797579362988472,1363,0.0,1311814760.0,0.001
0.006834940519183874,1.0,-92850.06697501002,78.59,0.8649793267250061,31,190,260000,0.08006124943494797,1364,0.0,1342617918.5,0.001
0.006976323202252388,1.0,-75383.85572768,90.12,0.859541118144989,32,197,270000,0.08363905549049377,1365,0.0,1453642367.9,0.001
0.007311867084354162,1.0,-53579.88899923,89.37,0.8452796936035156,34,206,280000,0.06973021477460861,1356,5.960464477539063e-08,1154264471.6,0.001
0.007508996408432722,1.0,-38805.461850010004,88.04,0.8429325222969055,35,213,290000,0.0815909206867218,1357,1.1920928955078125e-07,1164380750.7,0.001
0.007186199072748423,1.0,-25052.44079874,88.85,0.8347373604774475,36,220,300000,0.08319436758756638,1357,0.0,1100011344.6,0.001
0.007617725525051355,1.0,-21654.17665658,84.82,0.8262248039245605,37,228,310000,0.0815630629658699,1358,0.0,1099160180.2,0.001
0.007236483972519636,1.0,6180.67591966,86.14,0.8219954967498779,39,236,320000,0.06929727643728256,1350,0.021508395671844482,1062377656.6,0.001
0.007219624239951372,1.0,15484.514923589997,90.76,0.8187627792358398,40,244,330000,0.07468540221452713,1351,0.016599416732788086,1000038437.7,0.001
