train/learning_rate,train/n_updates,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/std,rollout/ep_len_mean,time/fps,train/policy_loss,train/entropy_loss
0.0001,3749,0.0,707337536.0,-208765.57368073,87,300000,0.9881937503814697,70.66,3418,-162633.875,-8.441956520080566
0.0001,3874,0.0,481974976.0,-195167.24273311,90,310000,0.9876118302345276,70.37,3417,-149091.21875,-8.438348770141602
0.0001,3999,5.960464477539063e-08,626187136.0,-194382.43076818006,93,320000,0.9875507950782776,66.85,3415,-105112.171875,-8.438312530517578
0.0001,4124,0.0,789589696.0,-194927.43787129002,96,330000,0.9871852993965149,71.03,3413,-140297.0625,-8.435992240905762
0.0001,4249,0.0,1494708992.0,-161016.96198917998,99,340000,0.9866299033164978,59.89,3411,-227381.5,-8.432848930358887
0.0001,4374,-1.1920928955078125e-07,924262528.0,-173957.20096824,102,350000,0.9861974716186523,62.78,3409,-138273.515625,-8.429757118225098
0.0001,4499,-1.1920928955078125e-07,683626624.0,-141112.85004103,105,360000,0.9858846664428711,52.27,3406,-141633.484375,-8.42788314819336
0.0001,4624,0.0,916580672.0,-165580.06263134,108,370000,0.9860725998878479,55.54,3403,-192066.796875,-8.42917537689209
0.0001,4749,0.0,1123150208.0,-163264.15079854,111,380000,0.9860664010047913,62.03,3401,-177318.875,-8.428888320922852
0.0001,4874,1.7881393432617188e-07,1126064896.0,-183592.80786980002,114,390000,0.9847502112388611,69.05,3399,-173560.890625,-8.421031951904297
0.0001,4999,0.0,1211094400.0,-146026.46340690003,117,400000,0.9844560623168945,52.74,3397,-184993.265625,-8.419173240661621
0.0001,5124,5.960464477539063e-08,468900960.0,-136280.66622018,120,410000,0.9841740131378174,60.89,3395,-26102.958984375,-8.417247772216797
0.0001,5249,0.0,184405728.0,-156192.25613266998,123,420000,0.9836881160736084,57.78,3393,-70913.828125,-8.414260864257812
0.0001,5374,-1.1920928955078125e-07,652916416.0,-154905.3117949,126,430000,0.983530580997467,69.44,3392,-117759.796875,-8.41329574584961
0.0001,5499,1.1920928955078125e-07,608172800.0,-151220.59716469,129,440000,0.9821036458015442,69.9,3390,-27411.84375,-8.405230522155762
0.0001,5624,1.1920928955078125e-07,547274880.0,-194365.39001482996,132,450000,0.9810951352119446,84.03,3389,26468.666015625,-8.398438453674316
0.0001,5749,0.0,935289664.0,-176232.16161781002,135,460000,0.9796087145805359,77.3,3388,-143639.96875,-8.38967227935791
0.0001,5874,1.1920928955078125e-07,694117248.0,-204052.26232567002,138,470000,0.9784843921661377,85.96,3388,-165803.546875,-8.382454872131348
0.0001,5999,1.1920928955078125e-07,66227752.0,-158253.19878752,141,480000,0.9779583811759949,69.14,3387,-40100.7734375,-8.379144668579102
0.0001,6124,0.0,1326937216.0,-155345.23195490998,144,490000,0.9776320457458496,62.99,3386,-215858.171875,-8.377355575561523
0.0001,6249,0.0,646945280.0,-164575.2536282,147,500000,0.9768341183662415,70.64,3385,-129698.5390625,-8.372607231140137
0.0001,6374,0.0,202557088.0,-215615.18932271,150,510000,0.97654128074646,90.03,3385,-81852.109375,-8.370779037475586
0.0001,6499,0.0,587508928.0,-189251.82580318995,153,520000,0.9763364791870117,91.93,3385,10384.9736328125,-8.369093894958496
0.0001,6624,0.0,730188416.0,-170494.41649280995,156,530000,0.9757624268531799,72.63,3384,-139877.03125,-8.36594295501709
0.0001,6749,1.7881393432617188e-07,1089387904.0,-179704.42639689002,159,540000,0.9750347137451172,86.29,3384,-174500.0625,-8.36129093170166
0.0001,6874,0.0,108601304.0,-181657.37071486004,162,550000,0.9743817448616028,82.96,3384,-69317.515625,-8.357327461242676
0.0001,6999,0.0,940784000.0,-231979.18933387,165,560000,0.974102795124054,106.47,3384,-174693.96875,-8.355447769165039
0.0001,7124,-1.1920928955078125e-07,740246592.0,-188758.10521388002,168,570000,0.9735988974571228,84.98,3384,-135578.90625,-8.35228157043457
0.0001,7249,-1.1920928955078125e-07,188202768.0,-143428.41114607,171,580000,0.9727106094360352,76.09,3383,-84952.1875,-8.346585273742676
0.0001,7374,0.0,1521026688.0,-146829.7185189,174,590000,0.9721099734306335,77.29,3382,-206686.5625,-8.34338665008545
0.0001,7499,-1.1920928955078125e-07,787719936.0,-167796.86985178,177,600000,0.97125643491745,82.64,3382,-175787.03125,-8.338558197021484
0.0001,7624,0.0,279947488.0,-181584.51012730002,180,610000,0.9714148640632629,90.18,3382,-102179.359375,-8.338947296142578
0.0001,7749,0.0,352605248.0,-261231.71580842,183,620000,0.970221221446991,121.26,3383,18265.396484375,-8.331409454345703
0.0001,7874,0.0,222870192.0,-267090.51374093,186,630000,0.9691460132598877,125.54,3380,-108493.578125,-8.325119972229004
0.0001,7999,0.0,92563992.0,-217913.35950222,189,640000,0.9683961868286133,111.32,3381,-56062.1953125,-8.320303916931152
0.0001,8124,0.0,163199136.0,-197742.22504624003,192,650000,0.9673317074775696,108.92,3381,-63660.7890625,-8.313699722290039
0.0001,8249,-1.1920928955078125e-07,612186048.0,-207152.10332129,195,660000,0.9660618305206299,102.04,3381,-127921.625,-8.305953979492188
0.0001,8374,0.0,319117120.0,-247213.9356916,198,670000,0.9656646847724915,122.56,3382,-100509.328125,-8.302778244018555
0.0001,8499,-2.384185791015625e-07,248228000.0,-170840.05060223996,201,680000,0.9654605984687805,93.69,3382,-101812.609375,-8.301477432250977
0.0001,8624,0.0,175577248.0,-196189.81511817005,203,690000,0.9641130566596985,110.82,3382,-87435.609375,-8.293087005615234
0.0001,8749,1.7881393432617188e-07,198327696.0,-265864.97088735,206,700000,0.9641332626342773,148.93,3383,-34573.0,-8.293017387390137
0.0001,8874,0.0,148093888.0,-223852.03915594998,209,710000,0.9628084301948547,124.72,3383,-76283.6796875,-8.285494804382324
0.0001,8999,0.0,146684736.0,-144103.83729601002,212,720000,0.9625890254974365,90.52,3383,-67900.5703125,-8.283637046813965
0.0001,9124,1.1920928955078125e-07,717989568.0,-207394.37140098,215,730000,0.9616504311561584,125.2,3383,-39980.578125,-8.27805233001709
0.0001,9249,0.0,133136592.0,-170817.10035087,218,740000,0.9611802697181702,117.5,3383,-49426.43359375,-8.274951934814453
0.0001,9374,0.0,613234752.0,-227359.03752818002,221,750000,0.9610300660133362,143.7,3384,-106070.171875,-8.273868560791016
0.0001,9499,0.0,1013232320.0,-274293.0212809399,224,760000,0.9611231684684753,153.68,3385,-184287.953125,-8.274858474731445
0.0001,9624,0.0,479659456.0,-250924.43750409997,227,770000,0.960090160369873,145.13,3385,-74275.390625,-8.268019676208496
0.0001,9749,1.1920928955078125e-07,133174680.0,-256391.62212187,230,780000,0.9594983458518982,155.07,3386,-80112.0859375,-8.264433860778809
0.0001,9874,0.0,27345180.0,-242882.94813484003,233,790000,0.9584118723869324,157.04,3387,-31111.177734375,-8.257617950439453
0.0001,9999,0.0,84802168.0,-267033.85130114,236,800000,0.9577029347419739,168.39,3388,-49390.34765625,-8.253545761108398
0.0001,10124,-1.1920928955078125e-07,138059472.0,-316304.31981982995,239,810000,0.9579434990882874,202.34,3389,-70297.75,-8.254684448242188
0.0001,10249,0.0,883159360.0,-307437.97891466,241,820000,0.9576252102851868,201.98,3390,-135685.15625,-8.252344131469727
0.0001,10374,0.0,259515648.0,-333549.07899676997,244,830000,0.9565138816833496,214.03,3391,-77204.625,-8.245466232299805
0.0001,10499,0.0,696267776.0,-361543.89635426,247,840000,0.9555716514587402,225.56,3389,-124433.140625,-8.239521026611328
0.0001,10624,-1.1920928955078125e-07,587295680.0,-364843.18878236995,250,850000,0.955158531665802,239.61,3389,-86570.171875,-8.236791610717773
0.0001,10749,-1.1920928955078125e-07,75706728.0,-377441.42279377,253,860000,0.953962504863739,251.6,3390,-58630.7734375,-8.229569435119629
0.0001,10874,5.960464477539063e-08,62540076.0,-382524.36745595,256,870000,0.9534742832183838,264.05,3391,-31520.337890625,-8.22619915008545
0.0001,10999,1.1920928955078125e-07,541968000.0,-411921.12197174993,259,880000,0.9528866410255432,276.39,3392,-138675.25,-8.222417831420898
0.0001,11124,0.0,71571248.0,-382495.14812863996,262,890000,0.9522319436073303,254.0,3393,-58033.30078125,-8.218130111694336
0.0001,11249,1.1920928955078125e-07,502595008.0,-369985.92854741996,265,900000,0.9514384865760803,239.54,3394,-95858.9609375,-8.212807655334473
0.0001,11374,0.0,45620984.0,-352212.00798652,268,910000,0.9514560699462891,238.84,3393,-41232.42578125,-8.212961196899414
0.0001,11499,0.0,119725696.0,-334320.19282531,271,920000,0.9510090351104736,245.71,3393,-64166.69921875,-8.210531234741211
0.0001,11624,0.0,659545472.0,-362256.04916597,273,930000,0.9509477615356445,278.18,3394,-127758.5625,-8.209525108337402
0.0001,11749,0.0,95816144.0,-366475.31544016,276,940000,0.949440062046051,293.29,3395,-55858.6328125,-8.200021743774414
0.0001,11874,0.0,38436664.0,-440039.4625433001,279,950000,0.9490582346916199,348.13,3396,-27370.96875,-8.197551727294922
0.0001,11999,-1.1920928955078125e-07,36696372.0,-408916.24394599,282,960000,0.9480875134468079,336.1,3397,-26668.140625,-8.190947532653809
0.0001,12124,0.0,55810784.0,-462073.9737178399,285,970000,0.9473145604133606,374.12,3398,-24717.291015625,-8.186219215393066
0.0001,12249,5.960464477539063e-08,34548240.0,-408355.73339595005,288,980000,0.94632887840271,336.97,3398,-27025.224609375,-8.179755210876465
0.0001,12374,-1.1920928955078125e-07,71552600.0,-409473.03743226005,291,990000,0.945512592792511,339.38,3399,-34617.7421875,-8.174560546875
0.0001,12499,0.0,581555776.0,-373354.06725191994,294,1000000,0.9446141123771667,318.66,3400,-90020.921875,-8.169024467468262
