train/learning_rate,train/n_updates,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/std,rollout/ep_len_mean,time/fps,train/policy_loss,train/entropy_loss
0.0001,124,-5.054473876953125e-05,279030528.0,-294232.44644667,2,10000,1.0008561611175537,72.91,3365,-127264.0625,-8.519030570983887
0.0001,249,7.152557373046875e-06,1638954752.0,-302789.42738738,5,20000,1.0004523992538452,75.5,3446,-246820.09375,-8.516066551208496
0.0001,374,-6.079673767089844e-06,623348608.0,-299377.84034809005,8,30000,1.000955581665039,79.01,3474,-166246.03125,-8.518853187561035
0.0001,499,1.4901161193847656e-06,521281376.0,-275485.93424219,11,40000,0.9995970129966736,67.63,3484,-21061.94140625,-8.510924339294434
0.0001,624,2.980232238769531e-07,1959682816.0,-241204.37505932004,14,50000,1.0003725290298462,65.83,3486,-150925.15625,-8.515196800231934
0.0001,749,0.0,593681280.0,-270529.59911278,17,60000,0.9997820854187012,74.31,3467,-139641.265625,-8.512307167053223
0.0001,874,-1.1920928955078125e-07,1146763008.0,-280015.70256667,20,70000,0.9990494847297668,72.22,3469,-193597.484375,-8.508228302001953
0.0001,999,0.0,1831078912.0,-242548.51877670005,23,80000,0.9993837475776672,62.28,3468,-297284.375,-8.509797096252441
0.0001,1124,0.0,1879269632.0,-251765.09312081998,25,90000,0.9989240765571594,73.26,3467,-257860.46875,-8.506951332092285
0.0001,1249,0.0,557883008.0,-268082.31422909,28,100000,0.9988755583763123,75.53,3467,-179286.375,-8.50699520111084
0.0001,1374,0.0,482727008.0,-278604.33090053,31,110000,0.9983720183372498,77.57,3466,-142294.453125,-8.503717422485352
0.0001,1499,-1.1920928955078125e-07,706480512.0,-246888.25478455998,34,120000,0.9977405667304993,76.65,3464,-138833.046875,-8.500011444091797
0.0001,1624,0.0,473797952.0,-214548.22401428997,37,130000,0.9970707893371582,63.85,3462,-157259.296875,-8.4959716796875
0.0001,1749,0.0,344061344.0,-251835.41578543003,40,140000,0.9967713356018066,73.64,3459,-136740.578125,-8.494421005249023
0.0001,1874,-2.384185791015625e-07,801805696.0,-227788.50801458998,43,150000,0.9957279562950134,69.47,3458,-151951.40625,-8.487900733947754
0.0001,1999,-1.1920928955078125e-07,1562823552.0,-227920.40239152004,46,160000,0.9957602024078369,71.74,3455,-235126.03125,-8.48807430267334
0.0001,2124,-1.1920928955078125e-07,329677248.0,-217909.13903303994,49,170000,0.9957130551338196,67.93,3453,-129891.6484375,-8.487787246704102
0.0001,2249,0.0,1344631552.0,-232032.11182127,52,180000,0.9952887892723083,68.27,3451,-231445.15625,-8.48534870147705
0.0001,2374,0.0,456433920.0,-195390.47791687996,55,190000,0.9943742156028748,68.5,3448,-147239.953125,-8.479589462280273
0.0001,2499,0.0,1444994048.0,-186112.1761557,58,200000,0.994044303894043,58.17,3445,-219023.546875,-8.47750473022461
0.0001,2624,0.0,1278643456.0,-242902.87741935,61,210000,0.9932815432548523,75.82,3442,-73784.546875,-8.473079681396484
0.0001,2749,-1.1920928955078125e-07,180111296.0,-231552.92823516,63,220000,0.9929220080375671,73.08,3439,-91531.1875,-8.470849990844727
0.0001,2874,0.0,1074576000.0,-218547.13008939996,66,230000,0.9924783706665039,69.55,3437,-82417.1171875,-8.46830940246582
0.0001,2999,0.0,1382726912.0,-191676.76894781002,69,240000,0.9915883541107178,68.52,3434,-219616.171875,-8.4627103805542
0.0001,3124,0.0,185177520.0,-205852.28879308,72,250000,0.9912031292915344,68.0,3432,-86244.921875,-8.460519790649414
0.0001,3249,1.7881393432617188e-07,1218638592.0,-200704.33011592002,75,260000,0.9904482364654541,66.95,3430,-167793.046875,-8.45566463470459
0.0001,3374,0.0,1087390080.0,-179840.70990606,78,270000,0.9892785549163818,62.06,3425,-18123.931640625,-8.449234008789062
0.0001,3499,0.0,149375200.0,-181420.97409626,81,280000,0.9890851974487305,63.24,3422,-84162.890625,-8.447454452514648
0.0001,3624,-1.1920928955078125e-07,860030784.0,-163402.40975388998,84,290000,0.9885428547859192,60.91,3420,-183043.34375,-8.444347381591797
