train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/critic_loss
199890.65625,2474,55.75010299682617,40.08,69,200,10000,143,-1172441.9147047,0.0064,3.314103841781616,5846.73193359375
233589.75,4974,59.993080139160156,21.25,140,698,20000,142,-499086.37451447005,0.0064,-0.45401620864868164,6147.455078125
229166.953125,7474,45.28278732299805,11.3,212,1314,30000,141,-140957.91368748003,0.0064,-0.01886504888534546,6351.99853515625
211425.0625,9974,45.61655807495117,7.86,283,2277,40000,140,-98741.12379106002,0.0064,-4.402154922485352,4844.87890625
169610.578125,12474,43.37433624267578,12.73,356,3097,50000,140,-122054.03400125,0.0064,-1.2044658660888672,4753.01806640625
146337.359375,14974,41.06293869018555,27.71,430,3465,60000,139,-468592.65186643007,0.0064,-5.475636959075928,5873.0947265625
131978.890625,17474,45.215545654296875,20.28,504,3851,70000,138,-119742.2301391,0.0064,6.171208381652832,4621.4443359375
111955.7890625,19974,41.364776611328125,29.97,579,4200,80000,138,-223680.91053326,0.0064,-0.488467812538147,4438.6904296875
78296.921875,22474,37.28202819824219,33.18,654,4470,90000,137,-266775.29510695,0.0064,-0.7572075128555298,3398.368896484375
71862.296875,24974,37.27799606323242,28.12,730,4798,100000,136,-199009.83778198005,0.0064,4.614933967590332,3464.7333984375
68114.609375,27474,29.736053466796875,55.22,804,5003,110000,136,-386491.71948546,0.0064,0.735395610332489,3601.81103515625
71702.2890625,29974,21.92010498046875,33.09,877,5282,120000,136,-240189.71511533,0.0064,-2.0502448081970215,3621.59619140625
71687.5390625,32474,33.282718658447266,57.54,950,5444,130000,136,-622662.3972082899,0.0064,-3.09842848777771,3855.2294921875
61916.70703125,34974,40.57058334350586,52.53,1024,5636,140000,136,-435442.3355762299,0.0064,0.4077520966529846,3867.532958984375
62184.51171875,37474,33.79438400268555,39.84,1097,5896,150000,136,-192155.51982572,0.0064,0.2846732437610626,3951.080322265625
61399.59765625,39974,38.563899993896484,45.08,1171,6177,160000,136,-283718.45612982,0.0064,-2.245882272720337,3793.560791015625
63726.7109375,42474,41.64425277709961,34.75,1244,6462,170000,136,-248477.64122417997,0.0064,2.0978589057922363,3823.540771484375
65765.34375,44974,38.94398880004883,46.05,1318,6673,180000,136,-279148.24921151006,0.0064,0.8525450825691223,3924.299560546875
