train/policy_gradient_loss,train/explained_variance,time/time_elapsed,train/value_loss,time/total_timesteps,train/n_updates,train/loss,train/std,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,time/fps,train/approx_kl,train/clip_range,rollout/ep_rew_mean,train/clip_fraction
-0.005855351766876992,-2.384185791015625e-06,13,8749212560.8,10000,10,4348275712.0,0.9998824000358582,26.97,-21.283314575254916,0.0003,738,0.0030021393,0.2,-207847.26167112,0.00235595703125
-0.002573181256047974,-1.1920928955078125e-07,27,8268979666.4,20000,20,4202276864.0,0.9998230338096619,31.68,-21.281836900115014,0.0003,739,0.0011906177,0.2,-240373.27450716996,2.44140625e-05
-0.0027147141914610983,0.0,40,8638130717.2,30000,30,4255842304.0,0.999924898147583,29.15,-21.28218514919281,0.0003,740,0.0011841888,0.2,-211012.95631448002,3.662109375e-05
-0.0016466784241856657,1.1920928955078125e-07,53,8051594673.2,40000,40,4015301120.0,0.9997487664222717,25.62,-21.281650806963444,0.0003,741,0.00065388315,0.2,-197379.08617097003,0.0
-0.0021544027224081217,5.960464477539063e-08,73,7724145125.2,50000,60,3795606272.0,0.9994224905967712,29.84,-21.276431095600127,0.0003,684,0.0009210553,0.2,-213431.87995471002,0.0
-0.0018418482411107107,-1.1920928955078125e-07,86,8163946715.2,60000,70,3828472064.0,0.999363899230957,29.07,-21.27495143264532,0.0003,693,0.00074426614,0.2,-215014.19954291,0.0
-0.001467141086686752,-1.1920928955078125e-07,100,7893717230.0,70000,80,3872023040.0,0.9994285702705383,30.05,-21.27506643682718,0.0003,699,0.00058407953,0.2,-208359.19210829,0.0
-0.0011989986224762105,1.1920928955078125e-07,113,7863612794.0,80000,90,3883095296.0,0.999400794506073,29.55,-21.275260384380818,0.0003,704,0.00043164915,0.2,-216116.04335008003,0.0
-0.001419328428528388,1.1920928955078125e-07,127,8646481103.6,90000,100,4572366336.0,0.9993494153022766,28.34,-21.274641086161136,0.0003,708,0.00046478494,0.2,-211051.21393891997,0.0
-0.0012057857567015161,1.7881393432617188e-07,146,8194230461.2,100000,120,4276687872.0,0.9993837475776672,24.37,-21.2744554489851,0.0003,684,0.00041914784,0.2,-186560.38443676996,0.0
-0.001064232303906465,1.1920928955078125e-07,159,7674721214.0,110000,130,4452780032.0,0.9992584586143494,24.87,-21.273861971497535,0.0003,689,0.00032730337,0.2,-187167.25220898006,0.0
-0.0010209921068963014,0.0,172,7871160014.0,120000,140,3716827136.0,0.9992148876190186,27.73,-21.272572794556616,0.0003,693,0.00036316004,0.2,-200236.90834959998,0.0
-0.0012016535822112929,0.0,186,7713557264.8,130000,150,3924384768.0,0.9993327260017395,22.2,-21.273160095512868,0.0003,696,0.0003787966,0.2,-172148.68454617,0.0
-0.0017316130296421762,0.0,205,7615153834.8,140000,170,3730337280.0,0.9992201328277588,25.54,-21.272997123003005,0.0003,680,0.0007449181,0.2,-184100.92831308,0.0
-0.0008848401991599531,0.0,219,7640232532.0,150000,180,3775464448.0,0.9991655945777893,21.99,-21.271943540871142,0.0003,683,0.00023770111,0.2,-160340.45903253,0.0
-0.0008201234752050369,-1.1920928955078125e-07,232,7765863872.4,160000,190,4508652544.0,0.9992141127586365,31.42,-21.271842244267464,0.0003,687,0.00021949536,0.2,-221564.15394651,0.0
-0.0017355712407152168,0.0,246,8061178289.2,170000,200,3801118208.0,0.9992368221282959,27.42,-21.272437213361265,0.0003,690,0.00069913984,0.2,-196063.86105782003,0.0
-0.0009303440427174791,-2.384185791015625e-07,259,7984574294.0,180000,210,3532187136.0,0.9990169405937195,25.08,-21.2709466740489,0.0003,692,0.00026844826,0.2,-178113.59362529998,0.0
-0.0014805210959821125,0.0,278,7699692661.6,190000,230,4002283776.0,0.9987207055091858,22.89,-21.26613770723343,0.0003,681,0.00050445,0.2,-172671.09883913997,0.0
-0.001373648806475103,0.0,292,7831379917.2,200000,240,3450451456.0,0.9986673593521118,28.24,-21.26443988829851,0.0003,684,0.00047731336,0.2,-202790.41689600007,0.0
-0.0008298559538161499,-1.1920928955078125e-07,305,8058038182.4,210000,250,3737751040.0,0.9984921216964722,25.73,-21.26270985007286,0.0003,686,0.0002811827,0.2,-189730.77803834004,0.0
-0.0011113071621366543,0.0,319,7810866844.0,220000,260,3575194880.0,0.9985167980194092,26.27,-21.261560946702957,0.0003,688,0.0003718043,0.2,-177032.27495731003,0.0
-0.0010503310233616503,-1.1920928955078125e-07,338,7402207722.8,230000,280,3697436672.0,0.998255729675293,23.78,-21.258628770709038,0.0003,679,0.0002687117,0.2,-173869.23970769,0.0
-0.0009896836543703102,0.0,351,7545373143.6,240000,290,4015205632.0,0.9980466961860657,28.01,-21.25617033690214,0.0003,682,0.00028316767,0.2,-195166.55704133,0.0
-0.000907532412384171,-1.1920928955078125e-07,365,7466236400.4,250000,300,3885763328.0,0.9979555606842041,25.96,-21.254014967381956,0.0003,684,0.00028325047,0.2,-182241.68398472,0.0
-0.0011162993392645148,0.0,378,7481793034.8,260000,310,4016129024.0,0.9977172613143921,24.68,-21.251483803987504,0.0003,686,0.0003598899,0.2,-178663.30918902,0.0
-0.0012826673481868057,-1.1920928955078125e-07,392,7358673442.8,270000,320,3708788736.0,0.9975491166114807,28.88,-21.248478484153747,0.0003,688,0.0003784832,0.2,-196023.65466573,0.0
-0.0010501366616153974,0.0,411,7302964316.0,280000,340,3939033088.0,0.9977262616157532,27.05,-21.249457055330275,0.0003,681,0.00033967738,0.2,-185187.16567265,0.0
-0.001356925645541196,0.0,424,7072440529.2,290000,350,3640683520.0,0.9974826574325562,22.35,-21.24798697680235,0.0003,683,0.0004925163,0.2,-160252.82245178,0.0
-0.001388032476643275,0.0,437,7020783383.2,300000,360,2972690176.0,0.9974042773246765,24.25,-21.24553714841604,0.0003,685,0.00056005263,0.2,-177038.56170948,0.0
-0.0014555172336258692,-2.384185791015625e-07,451,7330404666.8,310000,370,3833642752.0,0.9973428249359131,22.11,-21.244545917212964,0.0003,687,0.0006121816,0.2,-164979.96921039,0.0
-0.0011912089510587975,0.0,469,7331958571.2,320000,390,3732173312.0,0.9972562789916992,23.39,-21.242788219451903,0.0003,680,0.00042141924,0.2,-169862.91003578,0.0
-0.0010216859132015088,0.0,483,7101672372.4,330000,400,3142869248.0,0.9972034692764282,22.63,-21.242350268363953,0.0003,682,0.00032579788,0.2,-162899.37364632002,0.0
-0.001195697715957067,-2.384185791015625e-07,496,6862950514.8,340000,410,3498710784.0,0.9969004988670349,23.73,-21.2396140396595,0.0003,684,0.0005438556,0.2,-166746.37794558,0.0
-0.00105385543556622,0.0,510,7047175811.2,350000,420,3506124800.0,0.9968281984329224,21.62,-21.236790449917315,0.0003,686,0.0002577976,0.2,-158087.68094602998,0.0
