rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/std,train/explained_variance,time/total_timesteps,time/fps,train/policy_objective,train/value_loss,train/is_line_search_success,train/kl_divergence_loss
97.21,0.001,-1411650.63437343,8,1,0.9981454610824585,-1.3113021850585938e-06,10000,1180,0.06193208694458008,45986639027.2,1.0,0.004466471262276173
82.59,0.001,-1173205.33702543,16,2,1.0018255710601807,0.0,20000,1197,0.05800136178731918,42400277497.6,1.0,0.004146752879023552
71.12,0.001,-979815.8413371198,24,3,1.0012481212615967,0.0,30000,1200,0.05829501897096634,39864089792.0,1.0,0.0040697455406188965
71.39,0.001,-963673.1521893501,33,4,1.0005381107330322,0.0,40000,1202,0.06152236461639404,38383905100.8,1.0,0.004880053456872702
73.72,0.001,-979960.7060566301,42,6,0.986314594745636,5.960464477539063e-08,50000,1163,0.06101498752832413,36070604780.8,1.0,0.00418137339875102
62.55,0.001,-823218.97903957,51,7,0.9829906225204468,-2.384185791015625e-07,60000,1170,0.06236574798822403,32696144246.4,1.0,0.0042548165656626225
66.3,0.001,-863970.1518576099,59,8,0.9804632663726807,1.1920928955078125e-07,70000,1176,0.06597301363945007,32655306236.8,1.0,0.004731625784188509
56.41,0.001,-736101.27665742,67,9,0.9781294465065002,-2.384185791015625e-07,80000,1180,0.07710813730955124,32770390819.2,1.0,0.004776764195412397
55.51,0.001,-722962.9334662099,76,10,0.9853610396385193,0.0,90000,1183,0.07541362941265106,31035495500.8,1.0,0.00521224457770586
46.63,0.001,-613043.52994983,85,12,0.9884721636772156,1.1920928955078125e-07,100000,1165,0.0681018978357315,28836444979.2,1.0,0.004486812278628349
38.53,0.001,-514897.24289033003,94,13,0.9916191101074219,0.0,110000,1169,0.07418245822191238,28213355731.2,1.0,0.005159312393516302
35.27,0.001,-473020.69645930006,102,14,0.9851387739181519,-1.1920928955078125e-07,120000,1173,0.06532229483127594,27888286998.4,1.0,0.004406935069710016
41.15,0.001,-548556.9486597601,110,15,0.9825401902198792,1.1920928955078125e-07,130000,1176,0.06686680018901825,25933911116.8,1.0,0.0055450694635510445
36.51,0.001,-489446.56887356995,120,17,0.9853557348251343,0.0,140000,1164,0.07401716709136963,26787904166.4,1.0,0.005368104670196772
36.32,0.001,-489127.13583164,128,18,0.977479100227356,1.1920928955078125e-07,150000,1166,0.06839676201343536,26237326220.8,1.0,0.004826128948479891
33.09,0.001,-443912.16506249004,136,19,0.9767541885375977,0.0,160000,1168,0.07754577696323395,26184388060.8,1.0,0.0055319140665233135
31.45,0.001,-422419.74622633005,145,20,0.9751659035682678,0.0,170000,1169,0.06348530948162079,24623580153.6,1.0,0.00544187193736434
36.17,0.001,-474986.73177757,153,21,0.9726753830909729,0.0,180000,1171,0.06738635152578354,24227048902.4,1.0,0.005277436692267656
34.05,0.001,-453427.57678647,163,23,0.9608701467514038,-1.1920928955078125e-07,190000,1162,0.08139702677726746,23846394985.6,1.0,0.006498927716165781
28.09,0.001,-385922.48134743003,171,24,0.9587841629981995,2.384185791015625e-07,200000,1164,0.07426375895738602,23369119116.8,1.0,0.006343439221382141
23.08,0.001,-328705.30257476,180,25,0.9555412530899048,2.384185791015625e-07,210000,1166,0.07363971322774887,22274225049.6,1.0,0.006840037181973457
25.89,0.001,-359305.22334391996,188,26,0.9471748471260071,2.384185791015625e-07,220000,1167,0.07855048775672913,21161364729.6,1.0,0.006818108726292849
22.63,0.001,-323297.61171089,198,28,0.9392631649971008,0.0,230000,1159,0.06783588975667953,20606879625.6,1.0,0.006901485845446587
22.3,0.001,-319313.75350278,206,29,0.939209520816803,0.0,240000,1160,0.07548946142196655,20975060832.0,1.0,0.00685480423271656
24.0,0.001,-335881.1092446,215,30,0.9337960481643677,-1.1920928955078125e-07,250000,1160,0.07409760355949402,20337201728.0,1.0,0.0066665345802903175
23.65,0.001,-333825.5279861,224,31,0.9284067749977112,-2.384185791015625e-07,260000,1160,0.0684259757399559,20474744905.6,1.0,0.006642649881541729
20.05,0.001,-293848.02428720996,232,32,0.9235658049583435,0.0,270000,1160,0.07011584937572479,21105834163.2,1.0,0.007058012764900923
17.63,0.001,-267140.98896454,242,34,0.9146173000335693,2.980232238769531e-07,280000,1153,0.05898679047822952,20968471459.2,1.0,0.006639830768108368
21.9,0.001,-311322.09436561004,251,35,0.9177106618881226,2.980232238769531e-07,290000,1154,0.0645267516374588,18588070534.4,1.0,0.007578943390399218
17.8,0.001,-266442.04892351007,259,36,0.9157960414886475,1.7881393432617188e-07,300000,1154,0.06886539608240128,19343537504.0,1.0,0.008165361359715462
16.82,0.001,-253517.35232612002,268,37,0.9132696986198425,0.0,310000,1154,0.09702763706445694,19459625545.6,1.0,0.007422274444252253
19.67,0.001,-285665.999937,278,39,0.9110186100006104,2.980232238769531e-07,320000,1148,0.06761786341667175,19686983110.4,1.0,0.007971320301294327
13.97,0.001,-224365.57497917998,287,40,0.908481240272522,1.7881393432617188e-07,330000,1149,0.060916416347026825,20737489712.0,1.0,0.008432918228209019
18.66,0.001,-276904.21943497,295,41,0.9071451425552368,1.7881393432617188e-07,340000,1149,0.07044745236635208,18535004532.8,1.0,0.00788328517228365
19.01,0.001,-282228.46630322,304,42,0.9038835763931274,0.0,350000,1150,0.06743296980857849,19219237308.8,1.0,0.007522971834987402
14.0,0.001,-223779.87070395998,312,43,0.9033841490745544,0.0,360000,1150,0.07070261985063553,18815575704.0,1.0,0.007663430646061897
14.83,0.001,-235074.63034453004,323,45,0.9011490941047668,0.0,370000,1144,0.06198985129594803,17071890641.6,1.0,0.008228895254433155
14.58,0.001,-231667.29809511005,331,46,0.8998225331306458,0.0,380000,1145,0.05566459149122238,18853319420.8,1.0,0.008763197809457779
13.68,0.001,-222126.68787409004,340,47,0.8960990905761719,3.5762786865234375e-07,390000,1145,0.05062864348292351,16547194052.8,1.0,0.007771365810185671
11.72,0.001,-200979.69999050998,349,48,0.8932695984840393,3.5762786865234375e-07,400000,1145,0.05646517872810364,17713019692.8,1.0,0.008468534797430038
14.51,0.001,-229169.36691017,359,50,0.888527512550354,0.0,410000,1140,0.05499265342950821,16969647128.0,1.0,0.008717129938304424
13.19,0.001,-215371.29010863998,368,51,0.8875846862792969,0.0,420000,1140,0.058955803513526917,16734908368.0,1.0,0.008599321357905865
11.81,0.001,-199838.64786723,376,52,0.8860349059104919,2.980232238769531e-07,430000,1140,0.06484377384185791,16252414824.0,1.0,0.008576607331633568
