time/episodes,train/n_updates,time/fps,train/ent_coef,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean
123,2474,171,33.9909782409668,58,-37.008148193359375,17469824.0,22552.1875,66.14,10000,0.0055,-431981.42253226996
187,4974,165,45.16773986816406,120,2.522763729095459,15678704.0,21023.19921875,114.1,20000,0.0055,-164933.30421833
221,7474,163,38.03005599975586,183,3.730694532394409,56311908.0,5817.7529296875,187.88,30000,0.0055,-144296.85149482999
256,9974,167,23.94841957092285,238,6.784636497497559,66766232.0,2723.89794921875,246.48,40000,0.0055,-127265.54191402
298,12474,169,109.06922149658203,294,13.528236389160156,17589858.0,14829.5546875,281.15,50000,0.0055,-446783.73411276
315,14974,171,33.09321594238281,349,-2.485422372817993,7680160.5,-1570.9261474609375,340.59,60000,0.0055,-443422.5722717199
340,17474,172,66.40872192382812,405,8.597565650939941,9298621.0,6808.1513671875,339.37,70000,0.0055,-540271.2459787001
349,19974,171,18.722211837768555,466,-3.130359649658203,4547362.5,797.700439453125,399.75,80000,0.0055,-550325.38920965
366,22474,170,16.997798919677734,528,6.00039005279541,7280765.0,-4619.51318359375,475.6,90000,0.0055,-550427.5624704801
380,24974,171,18.75193214416504,583,7.547887325286865,3351453.0,3206.62255859375,526.13,100000,0.0055,-741934.6626821
395,27474,172,15.156200408935547,638,6.562136650085449,4378386.5,4159.10205078125,594.5,110000,0.0055,-488677.7852514299
415,29974,172,18.00188446044922,694,6.74577522277832,5266431.0,5268.97265625,588.01,120000,0.0055,-589056.7612381501
450,32474,173,15.893885612487793,749,-67.15062713623047,14179884.0,22088.94921875,521.51,130000,0.0055,-540950.74051024
493,34974,173,19.87238311767578,805,6.2239227294921875,7204355.0,6775.4833984375,313.67,140000,0.0055,-579906.85888881
524,37474,173,40.52714538574219,862,20.798545837402344,13369065.0,12277.9296875,221.18,150000,0.0055,-885960.13944511
538,39974,174,31.072566986083984,917,6.767091751098633,13538832.0,16103.658203125,311.32,160000,0.0055,-883636.7861458701
555,42474,173,45.844017028808594,980,-12.329411506652832,12954794.0,31126.765625,386.14,170000,0.0055,-975542.2112720001
565,44974,172,18.272390365600586,1041,5.178117752075195,6057663.0,6415.712890625,459.77,180000,0.0055,-998746.5779169
587,47474,172,35.966087341308594,1103,-134.91592407226562,7173554.0,51871.9296875,537.18,190000,0.0055,-931557.9250501902
610,49974,171,28.16257667541504,1166,21.00322151184082,3947691.75,13066.1875,555.75,200000,0.0055,-771633.0458431499
654,52474,170,54.175537109375,1229,21.802019119262695,5332669.0,19119.2890625,391.37,210000,0.0055,-893894.91080289
669,54974,170,23.161834716796875,1288,1.5604915618896484,6239891.0,15094.76953125,394.96,220000,0.0055,-795443.3196658699
683,57474,170,47.90494918823242,1350,4.696008682250977,28806128.0,12128.044921875,376.82,230000,0.0055,-757026.6011733
718,59974,170,477.71710205078125,1408,-4.901725769042969,91374880.0,105041.984375,361.55,240000,0.0055,-1184273.54366384
792,62474,170,93.9917221069336,1467,9.740920066833496,23600670.0,55888.9140625,125.3,250000,0.0055,-985853.31056939
814,64974,170,39.932411193847656,1522,4.677128314971924,29310518.0,26041.6484375,183.5,260000,0.0055,-732031.2881562699
825,67474,171,27.217927932739258,1577,-0.5658674836158752,7816113.5,25356.73046875,283.23,270000,0.0055,-670520.84172614
834,69974,171,14.243891716003418,1632,4.886384963989258,4981986.0,9522.916015625,357.42,280000,0.0055,-610278.68221665
851,72474,171,373.9681091308594,1688,8.59327220916748,80795560.0,-21007.9609375,454.38,290000,0.0055,-610784.44202601
864,74974,171,16.467063903808594,1748,3.58480167388916,6552404.5,8820.205078125,537.97,300000,0.0055,-975731.6292498301
878,77474,171,80.57357025146484,1806,-73.0193862915039,31523010.0,42870.890625,631.74,310000,0.0055,-1346040.20084037
913,79974,171,387.43328857421875,1862,52.80769729614258,248638816.0,91433.328125,594.05,320000,0.0055,-1808577.82528074
932,82474,171,152.5425262451172,1922,10.3756103515625,27367184.0,57287.3046875,523.7,330000,0.0055,-1872483.3227398498
943,84974,171,41.163597106933594,1982,12.177436828613281,32323224.0,6579.19287109375,514.26,340000,0.0055,-1918221.62344179
956,87474,171,29.641082763671875,2040,1.5159798860549927,8390093.0,3472.2255859375,560.95,350000,0.0055,-1485143.4233821002
965,89974,171,12.587371826171875,2095,2.371811866760254,3308863.5,11752.7568359375,578.5,360000,0.0055,-1630163.1262045198
979,92474,171,107.00906372070312,2154,-335.7596435546875,17173388.0,1140804.5,597.65,370000,0.0055,-1384677.1300291799
1031,94974,171,1788.950927734375,2216,35.17267608642578,458257472.0,223953.375,511.82,380000,0.0055,-1587964.6152842399
1055,97474,171,227.0407257080078,2276,12.437237739562988,73165648.0,77079.3515625,420.95,390000,0.0055,-1939891.9600034002
1081,99974,171,233.7579345703125,2332,20.281837463378906,78548368.0,48946.0625,288.42,400000,0.0055,-1851333.1141329699
1105,102474,171,88.03106689453125,2393,12.735105514526367,37399168.0,42870.60546875,338.08,410000,0.0055,-1482521.51103352
1131,104974,171,202.98707580566406,2454,24.582761764526367,100483968.0,50546.96875,392.52,420000,0.0055,-1475234.50412433
1157,107474,170,81.56806182861328,2514,17.980815887451172,29278104.0,31938.7421875,396.65,430000,0.0055,-1350185.9449732401
1177,109974,170,305.8257141113281,2575,-120.44210815429688,115752136.0,68399.40625,402.49,440000,0.0055,-1185816.17405662
1209,112474,170,6386.78173828125,2635,99.34078979492188,9632452608.0,452534.875,363.97,450000,0.0055,-2358417.7941469396
1229,114974,170,288.11566162109375,2698,46.91840362548828,141188352.0,243153.984375,406.88,460000,0.0055,-2620299.70540832
1244,117474,170,101.4522705078125,2762,-12.028749465942383,58151600.0,134906.875,426.93,470000,0.0055,-2706963.4125629594
1265,119974,170,49.01725387573242,2822,12.258374214172363,53340664.0,64014.5,459.31,480000,0.0055,-3036312.8192873495
1286,122474,170,2902.4404296875,2882,-79.63614654541016,2292383232.0,334259.65625,477.6,490000,0.0055,-3607186.6769834296
1317,124974,169,6593.826171875,2943,109.92601776123047,8824199168.0,521877.3125,465.46,500000,0.0055,-3790053.072891489
1412,127474,169,104.28361511230469,3006,37.794029235839844,443285056.0,294222.125,96.54,510000,0.0055,-973160.3874957501
1441,129974,169,21.781953811645508,3069,-3.7174789905548096,107615824.0,208048.578125,153.7,520000,0.0055,-1641126.01741103
1461,132474,169,107.60871124267578,3131,-5.277680397033691,157559072.0,171945.96875,253.07,530000,0.0055,-2239241.9831982
1489,134974,168,805.0617065429688,3195,74.39568328857422,233592720.0,193569.65625,324.98,540000,0.0055,-3298105.05345459
1517,137474,168,128.14889526367188,3260,6.013036727905273,63752108.0,127976.828125,387.93,550000,0.0055,-3323429.6219830406
1543,139974,168,1365.189453125,3329,-34.19529342651367,440735552.0,330058.125,397.63,560000,0.0055,-3900571.8083449695
1573,142474,167,6039.2705078125,3399,53.95222473144531,5607772160.0,688164.75,351.09,570000,0.0055,-4433300.017110321
1639,144974,167,6324.8046875,3463,-73.02689361572266,4784946176.0,789052.75,233.57,580000,0.0055,-3613306.26369518
1718,147474,167,456.63165283203125,3523,74.42582702636719,1037622144.0,533206.125,113.37,590000,0.0055,-1491538.79030432
1771,149974,167,7.988503456115723,3588,-46.72014617919922,1093483648.0,332235.1875,165.05,600000,0.0055,-1977120.7800836498
1795,152474,167,1167.5714111328125,3652,-264.46466064453125,1313559040.0,384263.53125,204.78,610000,0.0055,-3085196.82739146
1849,154974,166,6382.82421875,3713,61.367584228515625,3222103552.0,660226.0625,234.76,620000,0.0055,-4159569.6132417805
2035,157474,166,506.7166748046875,3773,50.013526916503906,4130927872.0,431379.5,43.94,630000,0.0055,-348133.47394716996
2157,159974,166,12036.2314453125,3833,-260.50006103515625,54563250176.0,1317390.375,81.06,640000,0.0055,-1325698.5909082498
2214,162474,166,11883.5087890625,3901,85.00418090820312,10001998848.0,955116.375,167.16,650000,0.0055,-2595411.9711264092
2428,164974,166,2417.201416015625,3971,74.18515014648438,2006057984.0,961633.8125,42.71,660000,0.0055,-465262.3997092701
2735,167474,165,72.7498550415039,4041,29.619441986083984,547624128.0,376649.90625,30.13,670000,0.0055,-284703.52072861
2883,169974,165,862.0658569335938,4104,-94.12239837646484,892640768.0,366682.46875,86.89,680000,0.0055,-1272769.93888621
2943,172474,165,28223.533203125,4171,66.15309143066406,82422464512.0,1601744.5,151.13,690000,0.0055,-3288559.82388399
3142,174974,165,3764.88232421875,4236,67.710205078125,4357673984.0,719670.25,37.64,700000,0.0055,-306649.2372485
3237,177474,165,54499.08203125,4299,-28.399627685546875,193245593600.0,2332579.0,101.65,710000,0.0055,-1701443.1516945902
3388,179974,164,9379.40625,4368,85.57121276855469,20993925120.0,1351380.25,60.22,720000,0.0055,-268528.70714142994
3534,182474,164,2449.850830078125,4437,-326.8185729980469,30901805056.0,1519867.125,63.72,730000,0.0055,-739295.8660978698
3627,184974,164,163118.234375,4508,111.22296142578125,514686320640.0,2480390.0,101.79,740000,0.0055,-1881233.27559479
3766,187474,163,11825.8505859375,4573,113.63377380371094,38724460544.0,2040024.25,70.99,750000,0.0055,-407579.09310660994
3904,189974,163,2867.096923828125,4642,-41.636390686035156,28951588864.0,1872609.125,76.6,760000,0.0055,-1045848.5788755403
4110,192474,163,5274.63330078125,4709,-20.82793617248535,39845224448.0,1567013.75,46.98,770000,0.0055,-521205.24232590996
4188,194974,163,2515331.25,4773,-261.2061767578125,3963624527757312.0,69783392.0,110.55,780000,0.0055,-2114856.54103274
4311,197474,163,1316501.5,4837,139.3736572265625,35123827310592.0,5124632.5,80.44,790000,0.0055,-322832.37805556
4424,199974,163,85524.4765625,4901,86.72685241699219,931087515648.0,5660066.0,90.71,800000,0.0055,-522359.02075418987
4623,202474,163,4921.9501953125,4966,56.739166259765625,450528804864.0,6193640.0,52.73,810000,0.0055,-425031.06419615005
5006,204974,162,175.39454650878906,5031,32.03486251831055,1119617548288.0,5970623.0,25.86,820000,0.0055,-393905.81112629996
5550,207474,162,7.761490345001221,5096,6.48248291015625,686268547072.0,4748489.0,16.77,830000,0.0055,-268635.86759702
