time/episodes,train/n_updates,time/fps,train/ent_coef,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean
5745,209974,162,6421.04345703125,5161,19.17089080810547,244643102720.0,3878758.0,36.82,840000,0.0055,-764908.0934169198
6690,212474,162,3744.418701171875,5228,4.426438808441162,88242274304.0,2830501.0,7.69,850000,0.0055,-137465.43445309
7554,214974,162,2471.50732421875,5300,11.92982292175293,54621061120.0,2037444.75,7.32,860000,0.0055,-121821.79004982999
8325,217474,162,4111.7724609375,5370,18.343225479125977,42143326208.0,1763487.0,8.85,870000,0.0055,-145175.26884319
8473,219974,161,999832.3125,5439,-78.84532165527344,88757940256768.0,14625367.0,85.14,880000,0.0055,-1925568.3644323
8591,222474,161,552119.3125,5506,46.96784210205078,16281973555200.0,8656517.0,81.85,890000,0.0055,-335908.72132438
8750,224974,161,189806.421875,5572,35.581329345703125,4414712578048.0,8168393.0,55.59,900000,0.0055,-275497.09955135
8985,227474,161,39744.78125,5640,34.766353607177734,4969784672256.0,6982574.5,36.46,910000,0.0055,-250891.39545180998
9362,229974,161,9605.1015625,5709,22.38088035583496,710795329536.0,5649622.0,19.97,920000,0.0055,-222883.58400324997
9857,232474,161,3569.62841796875,5775,-1.6165237426757812,267955093504.0,4295642.0,18.62,930000,0.0055,-279119.65678457
10633,234974,160,8090.46630859375,5843,-109.39439392089844,625693294592.0,4064892.0,14.17,940000,0.0055,-186133.21706312
11032,237474,160,449909.5625,5909,-65.83999633789062,15363308781568.0,9982799.0,58.34,950000,0.0055,-956621.3737830897
11187,239974,160,57977.296875,5975,93.00750732421875,1397630435328.0,5719770.0,38.23,960000,0.0055,-218099.08849109997
11490,242474,160,3401.660888671875,6040,-28.140581130981445,533707816960.0,6039806.0,28.95,970000,0.0055,-465643.9313109301
11751,244974,160,22830.822265625,6108,-22.703256607055664,678608371712.0,5760755.0,54.47,980000,0.0055,-1265425.52810083
11933,247474,160,40349.0,6172,64.21127319335938,1074232295424.0,5471401.0,47.68,990000,0.0055,-699888.6014344299
12329,249974,160,20850.560546875,6240,8.681327819824219,448737247232.0,4804731.5,45.73,1000000,0.0055,-727390.53808677
