time/time_elapsed,train/value_loss,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,time/fps,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/std,train/clip_fraction
18,1817239108.9,995524480.0,-400748.3603204627,-0.0056046766707368075,0.2,0.0017,0.0,-8.548543801903724,540,10000,10,132.76119402985074,0.0046546236,1.0106210708618164,0.02332763671875
33,1828047956.7,1113706112.0,-400710.55907466006,-0.004978125282650581,0.2,0.0017,0.0,-8.603935039043426,602,20000,20,141.1,0.005084331,1.0188673734664917,0.026318359375
47,1549383767.15,919920960.0,-338871.4097094001,-0.004004411738605995,0.2,0.0017,5.960464477539063e-08,-8.665803615003824,627,30000,30,130.63,0.003843026,1.0313783884048462,0.01268310546875
66,1432748329.55,511957024.0,-319886.2677657,-0.003261720268801582,0.2,0.0017,-1.1920928955078125e-07,-8.739047734439373,603,40000,40,129.24,0.0047589913,1.0439902544021606,0.02430419921875
94,1393545968.0,637210240.0,-287134.26557482005,-0.003949641788858571,0.2,0.0017,0.0,-8.893583439290524,527,50000,60,115.56,0.003823175,1.0718247890472412,0.0255126953125
113,1341956005.65,597702400.0,-271593.52102136,-0.0026388148038677174,0.2,0.0017,0.0,-8.965329229086638,528,60000,70,118.61,0.003773149,1.083635687828064,0.0173828125
131,1316625770.15,536940736.0,-261164.14541610997,-0.002390950979861373,0.2,0.0017,1.1920928955078125e-07,-9.039945154637099,531,70000,80,110.59,0.0038432286,1.0988661050796509,0.0142822265625
149,1372514250.35,637897408.0,-232735.04367744,-0.0023192629025288623,0.2,0.0017,0.0,-9.118436340242624,533,80000,90,95.36,0.0038818112,1.1122550964355469,0.01298828125
168,1316955261.15,588899008.0,-275567.73696901,-0.0022914754455996443,0.2,0.0017,0.0,-9.203145271539688,535,90000,100,124.42,0.0034854303,1.1299638748168945,0.01539306640625
196,1291832207.75,524972928.0,-230968.74774856,-0.0025384509361174425,0.2,0.0017,0.0,-9.397906989604234,507,100000,120,96.1,0.0036836558,1.1671525239944458,0.01475830078125
209,1277870546.5,771724480.0,-247699.01345842003,-0.0016945979641604936,0.2,0.0017,0.0,-9.470730689167976,525,110000,130,105.99,0.0030169818,1.179235816001892,0.0106689453125
225,1152853625.45,571242496.0,-249560.22450838,-0.002178411067052366,0.2,0.0017,-1.1920928955078125e-07,-9.547279319167137,531,120000,140,113.66,0.0035020025,1.1966999769210815,0.0142578125
244,1217914392.35,507327072.0,-262822.77784111997,-0.0026106026951310925,0.2,0.0017,0.0,-9.639705888181926,531,130000,150,117.27,0.004941587,1.2150235176086426,0.025
273,1142703635.9,631239104.0,-258204.29147699,-0.004184501882991754,0.2,0.0017,5.960464477539063e-08,-9.798396464437246,512,140000,170,116.91,0.004827844,1.2454662322998047,0.02503662109375
292,1090428853.375,498775968.0,-245248.67058494,-0.0033849443744657036,0.2,0.0017,5.960464477539063e-08,-9.886579139530658,513,150000,180,112.86,0.0048340876,1.2675248384475708,0.02158203125
310,1176577298.3,330337600.0,-199278.43282497997,-0.001495112438169599,0.2,0.0017,5.960464477539063e-08,-9.982575238496064,515,160000,190,89.47,0.0036354065,1.2871804237365723,0.01026611328125
328,1063087442.4,545046144.0,-211080.50335094,-0.0017117031307861907,0.2,0.0017,-1.1920928955078125e-07,-10.066011706739664,516,170000,200,92.94,0.002933165,1.3037878274917603,0.01195068359375
347,1174444544.95,638270272.0,-214671.45301561,-0.002952864563849289,0.2,0.0017,0.0,-10.151353481411935,518,180000,210,100.05,0.004902827,1.32365882396698,0.022119140625
372,973874599.775,371380864.0,-228821.33090557,-0.002066381967779307,0.2,0.0017,-1.1920928955078125e-07,-10.318120381236076,510,190000,230,113.3,0.0041532232,1.360796332359314,0.01881103515625
387,1090969390.475,573511744.0,-210514.23743437,-0.0021919684779277302,0.2,0.0017,0.0,-10.423640041053295,516,200000,240,97.31,0.0041925395,1.3882455825805664,0.01754150390625
405,1068862568.675,522100000.0,-222527.34010526995,-0.0019416330513195134,0.2,0.0017,0.0,-10.53465664833784,517,210000,250,103.61,0.0036935885,1.4124647378921509,0.0151611328125
424,1080609865.275,612321152.0,-224002.02378909997,-0.0023813575258827767,0.2,0.0017,5.960464477539063e-08,-10.64286170527339,518,220000,260,105.2,0.0045200773,1.439653992652893,0.0258544921875
453,1096495369.675,464659840.0,-186021.56704203,-0.002245243199649849,0.2,0.0017,0.0,-10.842643478512764,507,230000,280,87.8,0.0051042247,1.4865936040878296,0.0234130859375
471,929675090.3,579122816.0,-218091.92557468,-0.0016301118783303536,0.2,0.0017,0.0,-10.937466342002153,508,240000,290,112.58,0.003919889,1.5108503103256226,0.01595458984375
490,1132581016.125,520974912.0,-219632.59739747003,-0.0017676983870842378,0.2,0.0017,1.1920928955078125e-07,-11.03365575671196,509,250000,300,94.59,0.0037265911,1.535690426826477,0.0147216796875
508,1139760618.25,455799904.0,-226363.97183157998,-0.002081628522319079,0.2,0.0017,0.0,-11.13730296716094,511,260000,310,104.07,0.0041444404,1.5644149780273438,0.0159423828125
527,1027942116.025,404570464.0,-228208.88128961,-0.0019308422577523742,0.2,0.0017,0.0,-11.243523447215557,512,270000,320,108.82,0.004356565,1.5913838148117065,0.0221435546875
