train/learning_rate,time/episodes,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/fps,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean
0.001,89,4819.453125,10000,53,105.65168539325843,93935040.0,188,2.291273593902588,-9.735350608825684,2474,-289265.65168440447
0.001,145,5741.33544921875,20000,106,149.35,51010504.0,188,5.197903633117676,-14.668205261230469,4974,-178567.29619737997
0.001,200,4071.880859375,30000,159,190.8,11325148.0,188,10.007126808166504,-13.042352676391602,7474,-159445.43445172
0.001,247,2446.994140625,40000,212,187.87,41998288.0,188,17.04010009765625,-11.438981056213379,9974,-159003.08920483003
0.001,276,2290.25,50000,265,240.4,10665241.0,188,25.855600357055664,-7.327859878540039,12474,-146800.78979416
0.001,297,2214.759765625,60000,319,298.67,39271984.0,188,33.3392333984375,-3.409426212310791,14974,-122248.35626602998
0.001,312,3015.611328125,70000,372,375.02,40706592.0,188,37.124977111816406,0.46325990557670593,17474,-113849.76198382003
0.001,326,2369.65478515625,80000,425,456.45,25786532.0,187,33.205162048339844,0.6886316537857056,19974,-136622.33029392
0.001,334,1227.248291015625,90000,479,529.65,25942906.0,187,30.003664016723633,0.7430129647254944,22474,-130854.42137082
0.001,348,192.30828857421875,100000,532,593.48,8589799.0,187,26.24534034729004,1.5901517868041992,24974,-115233.30779058
0.001,358,1579.2022705078125,110000,586,654.33,3158656.75,187,22.43510627746582,-0.05944332480430603,27474,-112402.93239992
0.001,371,-1670.0919189453125,120000,639,719.51,3822148.25,187,22.652694702148438,-0.44476085901260376,29974,-98634.75747725001
0.001,384,-1054.0345458984375,130000,692,746.2,4623439.5,187,18.117359161376953,0.42427027225494385,32474,-97583.1404909
0.001,396,-2480.321533203125,140000,746,809.77,2563138.25,187,17.74312400817871,1.4617360830307007,34974,-104921.52043831
0.001,407,-1535.3343505859375,150000,799,809.92,33958108.0,187,16.057281494140625,-0.04617224633693695,37474,-105352.98264864001
0.001,418,-3267.53271484375,160000,853,850.6,4548920.0,187,14.819053649902344,0.022546768188476562,39974,-117214.84164211001
0.001,430,-4439.2333984375,170000,906,853.75,1236789.375,187,14.623209953308105,-0.31311506032943726,42474,-95896.51482792
