time/fps,train/entropy_loss,train/clip_fraction,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,time/total_timesteps,train/loss,train/approx_kl,rollout/ep_len_mean,train/n_updates,train/value_loss,train/clip_range,train/explained_variance,time/time_elapsed,train/std
965,-12.799986566603184,0.04000244140625,0.0017,-306779.98118737,-0.00823228075478255,10000,1735219840.0,0.005790158,63.27,10,3767550908.0,0.2,2.086162567138672e-06,10,1.0060559511184692
967,-12.872621378302574,0.01978759765625,0.0017,-252825.97849328,-0.005819701580003311,20000,1678048512.0,0.004175227,54.3,20,3259496535.0,0.2,0.0,20,1.0162243843078613
968,-12.955020153522492,0.01907958984375,0.0017,-261554.65793436003,-0.005632130139110814,30000,1474760832.0,0.0048160097,57.88,30,3252065270.0,0.2,1.1920928955078125e-07,30,1.0245274305343628
968,-13.029195066541433,0.01171875,0.0017,-251822.3940768,-0.00380386878759964,40000,1597902592.0,0.0040534185,58.14,40,3107414450.2,0.2,-1.1920928955078125e-07,41,1.0332802534103394
884,-13.207119809091092,0.028955078125,0.0017,-226175.83102356,-0.005464722436408919,50000,1337407872.0,0.005442273,55.35,60,2574382402.1,0.2,1.1920928955078125e-07,56,1.054603099822998
897,-13.291895528137683,0.0137939453125,0.0017,-206750.44359401,-0.0033743323634553234,60000,1155328000.0,0.0038123312,49.28,70,2663002011.0,0.2,0.0,66,1.064038634300232
907,-13.368542203307152,0.0279052734375,0.0017,-225559.67866059995,-0.005005669742968166,70000,1144431744.0,0.0047137635,54.67,80,2535931028.4,0.2,2.384185791015625e-07,77,1.0727474689483643
914,-13.446409776061774,0.0182373046875,0.0017,-212408.75603969005,-0.004560256470176683,80000,1121652608.0,0.0047688195,51.68,90,2677554654.5,0.2,0.0,87,1.0827255249023438
919,-13.52853566929698,0.01119384765625,0.0017,-229724.18905885998,-0.0030327862874401034,90000,1352441984.0,0.0037107123,59.47,100,2632740321.2,0.2,-1.1920928955078125e-07,97,1.0925909280776978
883,-13.708549106866121,0.017041015625,0.0017,-199845.93276757005,-0.0038505686681673977,100000,1132606720.0,0.004798162,51.79,120,2405208744.1,0.2,-1.1920928955078125e-07,113,1.115971565246582
886,-13.7986892439425,0.0152587890625,0.0017,-183097.08898504995,-0.004087659136166622,110000,1146769920.0,0.0046197586,46.47,130,2548374550.8,0.2,1.1920928955078125e-07,124,1.1254606246948242
884,-13.873946807533503,0.01358642578125,0.0017,-189221.6055423001,-0.0034715549436441506,120000,1183127936.0,0.0037821827,50.16,140,2353215182.6,0.2,0.0,135,1.1347819566726685
883,-13.954459193348885,0.01553955078125,0.0017,-176664.49263902998,-0.0036204695477863426,130000,1151314944.0,0.004607129,44.35,150,2450653902.9,0.2,1.7881393432617188e-07,147,1.1457794904708862
853,-14.139365200698375,0.02593994140625,0.0017,-167308.27896295,-0.004299219206495763,140000,1149856768.0,0.005493746,41.96,170,2500347970.6,0.2,1.1920928955078125e-07,164,1.1687569618225098
855,-14.226143044233321,0.02103271484375,0.0017,-179487.60242421995,-0.004021994106551574,150000,1012831360.0,0.004863541,50.97,180,2097836169.8,0.2,0.0,175,1.1815776824951172
855,-14.318593449890614,0.0213623046875,0.0017,-191493.48790558,-0.004598206874288735,160000,1197670912.0,0.005057306,54.15,190,2289988735.2,0.2,0.0,187,1.1935505867004395
855,-14.417028545588256,0.019677734375,0.0017,-153400.09746915,-0.003825041886193503,170000,1325530496.0,0.0047079576,40.65,200,2237080336.7,0.2,0.0,198,1.2079598903656006
