rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,rollout/return_std,train/step_size,train/iterations,train/delta_std
-19758470.781228665,10000,672.0,3325,3,,,,,
-23820977.8683646,20000,803.2,3326,6,,,,,
-26129988.991984375,30000,877.0,3328,9,,,,,
-24465025.096882638,40000,820.6363636363636,3326,12,,,,,
-25597881.54482943,50000,859.0714285714286,3329,15,,,,,
,60000,,3330,18,0.02,10146892.0,2.4638086015826843e-10,0,0.05
-29662224.451964334,70000,1000.0,3332,21,,,,,
-29629655.047593404,80000,1000.0,3332,24,,,,,
-19858654.351830333,90000,672.8333333333334,3333,26,,,,,
-21292518.861465927,100000,719.5714285714286,3336,29,,,,,
-29873867.185447,110000,1000.0,3338,32,0.02,13192400.0,1.8950303826148485e-10,1,0.05
-22449384.89096675,120000,754.5,3339,35,,,,,
-25618089.40467843,130000,859.7142857142857,3340,38,,,,,
-26555363.949998777,140000,890.8888888888889,3341,41,,,,,
-27372334.082431,150000,918.1666666666666,3342,44,,,,,
-27733288.873544212,160000,929.8571428571429,3342,47,,,,,
-29809251.179739,170000,1000.0,3342,50,0.02,7415818.0,3.3711719527040884e-10,2,0.05
-29815800.877857,180000,1000.0,3342,53,,,,,
-19941650.31437789,190000,674.2222222222222,3342,56,,,,,
-21744473.02894673,200000,733.4545454545455,3342,59,,,,,
-21953633.9131846,210000,740.2,3342,62,,,,,
-29758486.162023,220000,1000.0,3343,65,0.02,13232356.0,1.8893081543680523e-10,3,0.05
-29642068.164943248,230000,1000.0,3344,68,,,,,
-25476915.283425573,240000,859.2857142857143,3344,71,,,,,
-24369253.439190183,250000,820.1818181818181,3345,74,,,,,
-25214039.341392156,260000,847.8461538461538,3345,77,,,,,
-29677017.675215,270000,1000.0,3345,80,0.02,11971531.0,2.0882875984007399e-10,4,0.05
-29835194.000417333,280000,1000.0,3345,83,,,,,
-25629077.395453427,290000,859.8571428571429,3346,86,,,,,
-23941475.389733296,300000,802.9,3331,90,,,,,
-25294938.791170456,310000,848.3846153846154,3331,93,,,,,
-25892832.90374846,320000,868.6,3332,96,,,,,
-12052647.8297122,330000,411.2,3333,98,0.02,10142368.0,2.464907444821307e-10,5,0.05
-14965267.389585499,340000,508.125,3334,101,,,,,
-18988875.547330998,350000,642.2727272727273,3335,104,,,,,
-20657294.859419227,360000,697.3076923076923,3336,107,,,,,
-139108.64249,370000,7.0,3337,110,0.02,13247292.0,1.887178191495309e-10,6,0.05
-14989410.3246965,380000,506.5,3338,113,,,,,
-16583057.402354667,390000,561.7777777777778,3338,116,,,,,
-18951891.316652365,400000,641.4545454545455,3338,119,,,,,
-139989.675674,410000,13.0,3339,122,0.02,14788558.0,1.690496076456327e-10,7,0.05
-12245208.4744706,420000,417.2,3339,125,,,,,
-17300578.792028856,430000,583.7142857142857,3339,128,,,,,
-17537736.170571502,440000,593.25,3339,131,,,,,
-19305077.252716217,450000,651.3571428571429,3340,134,,,,,
-29467946.005711,460000,1000.0,3340,137,0.02,14126893.0,1.7696742682371536e-10,8,0.05
-29684489.20533367,470000,1000.0,3341,140,,,,,
-22370034.683054123,480000,752.125,3341,143,,,,,
-23883324.9477494,490000,801.7,3341,146,,,,,
-25283057.463042382,500000,847.4615384615385,3341,149,,,,,
-25892375.51970893,510000,867.8,3342,152,,,,,
-19947400.12828933,520000,668.3333333333334,3342,155,0.02,10162583.0,2.460004422388806e-10,9,0.05
-23833459.2333548,530000,801.0,3342,158,,,,,
-26135590.84016625,540000,875.625,3342,161,,,,,
-26886900.136788,550000,900.5,3343,164,,,,,
