time/fps,train/n_updates,train/policy_loss,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/std,time/total_timesteps,time/time_elapsed
1366,124,-1671945.875,-21.288768768310547,1.9073486328125e-06,7056878080.0,-660374.29624337,39.4,0.0001,1.000351071357727,10000,7
1416,249,-1843936.0,-21.29184341430664,-4.0531158447265625e-06,9098566656.0,-626954.9520192,37.74,0.0001,1.0005309581756592,20000,14
1425,374,-1713678.75,-21.290653228759766,-2.384185791015625e-07,7136338944.0,-579770.5791546699,35.08,0.0001,1.0004050731658936,30000,21
1433,499,-1821363.25,-21.292076110839844,-1.1920928955078125e-06,8207666176.0,-642455.1059818,40.0,0.0001,1.0005396604537964,40000,27
1424,624,-1710687.0,-21.29013442993164,0.0,7400635392.0,-566352.0423178299,34.9,0.0001,1.0003933906555176,50000,35
1418,749,-1510845.375,-21.287538528442383,-1.1920928955078125e-07,5720088064.0,-593954.66765746,36.26,0.0001,1.000223994255066,60000,42
1413,874,-1660591.25,-21.287839889526367,-1.1920928955078125e-07,7043562496.0,-533589.61696588,33.03,0.0001,1.000253438949585,70000,49
1413,999,-2038680.75,-21.28890609741211,0.0,10140620800.0,-487030.10544061003,29.95,0.0001,1.0003066062927246,80000,56
1419,1124,-1703988.375,-21.290685653686523,0.0,7479615488.0,-497376.89916871995,30.53,0.0001,1.000450611114502,90000,63
1422,1249,-1555776.75,-21.289907455444336,1.1920928955078125e-07,6277665280.0,-541435.7070956,33.57,0.0001,1.0003657341003418,100000,70
1426,1374,-1643676.875,-21.284713745117188,0.0,7294242816.0,-463197.9022766599,28.42,0.0001,1.0000791549682617,110000,77
1428,1499,-1615170.25,-21.27926254272461,-1.1920928955078125e-07,6297041920.0,-480514.65156857,29.68,0.0001,0.9996709823608398,120000,83
1430,1624,-1671941.125,-21.272388458251953,0.0,7491181056.0,-535134.50428994,33.34,0.0001,0.9992571473121643,130000,90
1433,1749,-1627667.25,-21.26429557800293,0.0,7225413632.0,-512637.26773882,31.84,0.0001,0.9987162351608276,140000,97
1434,1874,-1646186.75,-21.264942169189453,-1.1920928955078125e-07,6802124288.0,-565630.7634957101,35.59,0.0001,0.9987038969993591,150000,104
1434,1999,-1590962.0,-21.259971618652344,-1.1920928955078125e-07,6156335616.0,-468143.86606299,28.8,0.0001,0.9983678460121155,160000,111
1435,2124,-1711596.375,-21.258678436279297,1.1920928955078125e-07,7359488000.0,-509611.04637319007,31.73,0.0001,0.9983028769493103,170000,118
1436,2249,-1755198.25,-21.25282859802246,2.384185791015625e-07,7827813888.0,-478181.4045129799,29.63,0.0001,0.9979364275932312,180000,125
1436,2374,-1567879.75,-21.25904655456543,1.7881393432617188e-07,6292646912.0,-470326.26683403,29.62,0.0001,0.9983595013618469,190000,132
1435,2499,-1718844.75,-21.262840270996094,0.0,7292222464.0,-494131.87910142,31.2,0.0001,0.9985803365707397,200000,139
1434,2624,-1616201.5,-21.262807846069336,0.0,6809555968.0,-455407.62116537,28.58,0.0001,0.9986011385917664,210000,146
1435,2749,-1570888.25,-21.26630973815918,-2.384185791015625e-07,6268966912.0,-467260.03512802994,29.69,0.0001,0.9988482594490051,220000,153
1433,2874,-1802083.75,-21.26600456237793,0.0,8125248512.0,-479818.61675729,29.44,0.0001,0.9988186359405518,230000,160
