time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,time/fps,train/explained_variance,train/learning_rate
339,290000,-400950.05203996995,13.7,1.0882748365402222,0.2,350,-22.535109946131705,2.44140625e-05,33578786816.0,-0.0010521173466258916,57476599100.8,0.0010939847,852,-1.1920928955078125e-07,0.0017
351,300000,-315209.08291702,10.19,1.0908758640289307,0.2,360,-22.57074833661318,0.00040283203125,30382999552.0,-0.001611607819177152,59392586947.2,0.0016761386,854,0.0,0.0017
362,310000,-432667.8455860902,14.2,1.0938307046890259,0.2,370,-22.609101796150206,0.002001953125,28709285888.0,-0.002514719262399012,54705157667.2,0.002767547,856,0.0,0.0017
377,320000,-363756.35688051005,11.98,1.0989876985549927,0.2,390,-22.681147652864457,0.00010986328125,34830286848.0,-0.0013978979115563562,62653865600.0,0.0011731485,848,0.0,0.0017
388,330000,-326635.20161184,10.58,1.1019543409347534,0.2,400,-22.720079593360424,0.0011474609375,25929388032.0,-0.0016748522672969557,56090434918.4,0.002027697,849,1.1920928955078125e-07,0.0017
399,340000,-411163.8117650599,13.52,1.1047528982162476,0.2,410,-22.759351460635663,0.002880859375,23313278976.0,-0.0029297526762093185,54871991510.4,0.0031593756,851,1.1920928955078125e-07,0.0017
410,350000,-309178.60124345997,9.78,1.1072971820831299,0.2,420,-22.795319248735904,6.103515625e-05,36144648192.0,-0.001340845300728688,59352562342.4,0.0012245635,852,0.0,0.0017
421,360000,-357485.96640313993,11.78,1.1102993488311768,0.2,430,-22.832954794168472,8.544921875e-05,26290110464.0,-0.001453718574339291,52764629372.8,0.0013183991,854,0.0,0.0017
436,370000,-312902.5574124,9.77,1.1160541772842407,0.2,450,-22.91166348308325,0.0011474609375,32885563392.0,-0.0019793269952060656,61341793084.8,0.0020828885,847,0.0,0.0017
447,380000,-311634.02663776,10.0,1.11845862865448,0.2,460,-22.946937718987463,0.00177001953125,29340139520.0,-0.001762677082842856,54808041443.2,0.002134812,848,0.0,0.0017
458,390000,-381900.54127243004,12.49,1.120730996131897,0.2,470,-22.978246772289275,0.00130615234375,29702086656.0,-0.0022374946458512566,55865030704.0,0.0023210444,850,0.0,0.0017
469,400000,-371335.20983693,12.42,1.1234577894210815,0.2,480,-23.011672642827033,0.00159912109375,27536041984.0,-0.0022166211350850063,59266279369.6,0.0023743014,851,-1.1920928955078125e-07,0.0017
485,410000,-322077.00230506004,10.36,1.1288543939590454,0.2,500,-23.085189317166805,0.0001220703125,29337769984.0,-0.0012622567839571275,53322062163.2,0.0014865395,845,0.0,0.0017
496,420000,-328111.77080078,10.78,1.1315892934799194,0.2,510,-23.119938683509826,0.00054931640625,27069380608.0,-0.0022151114706502996,54719450953.6,0.0020024842,846,-1.1920928955078125e-07,0.0017
507,430000,-382098.7822403601,12.2,1.1343640089035034,0.2,520,-23.1566624045372,0.00330810546875,25088260096.0,-0.001982622060131689,47754418803.2,0.0027409878,848,0.0,0.0017
517,440000,-321676.77589068,10.32,1.137147307395935,0.2,530,-23.193048495054246,0.00140380859375,23339018240.0,-0.0020780074231879554,51746457740.8,0.0023518382,849,1.1920928955078125e-07,0.0017
