train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/fps,train/actor_loss,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes
3.3831844329833984,-632337.3272765301,0.0064,48.93,10000,45.63870620727539,129,116065.25,2229.244384765625,77,2474,161
-0.538155198097229,-189801.32770209003,0.0064,10.89,20000,32.882347106933594,128,126587.0390625,1734.64697265625,156,4974,485
-1.114387035369873,-252344.04197767994,0.0064,16.69,30000,39.03658676147461,127,127624.2265625,1661.9371337890625,234,7474,1176
-4.311140060424805,-134119.17873176996,0.0064,4.99,40000,32.51302719116211,127,124383.609375,1257.194580078125,313,9974,2794
3.208451747894287,-133771.92925298,0.0064,5.03,50000,28.889684677124023,126,118956.7109375,899.0784301757812,393,12474,4763
-2.6878068447113037,-134358.82895412997,0.0064,5.13,60000,24.539363861083984,126,116587.625,943.468505859375,474,14974,6568
-1.097013235092163,-132849.97512443,0.0064,5.0,70000,22.96246910095215,125,112682.890625,767.60205078125,556,17474,8555
1.7093044519424438,-134025.07852686002,0.0064,5.16,80000,17.012760162353516,125,107624.5546875,428.2101135253906,638,19974,10550
-2.010659694671631,-137448.37657536997,0.0064,5.58,90000,13.125564575195312,124,108013.4140625,360.69427490234375,721,22474,12373
0.248928964138031,-150040.56111704,0.0064,6.83,100000,13.246455192565918,124,104727.265625,293.2960205078125,803,24974,14101
1.9865580797195435,-134979.06763427,0.0064,5.27,110000,11.67003345489502,124,105111.9296875,308.9124755859375,882,27474,15923
-3.2559802532196045,-133621.22471291,0.0064,5.14,120000,11.295222282409668,124,104921.5703125,391.8028869628906,963,29974,17703
-2.3923792839050293,-185036.61799190004,0.0064,10.29,130000,10.246402740478516,124,105519.1953125,339.91448974609375,1046,32474,19412
-1.3945188522338867,-136839.17427659,0.0064,5.48,140000,9.578733444213867,124,105599.09375,340.7002868652344,1126,34974,21044
0.24704690277576447,-134587.92152474998,0.0064,5.23,150000,9.90605640411377,124,106166.3671875,338.6151123046875,1207,37474,22947
-0.9623958468437195,-132800.45472111,0.0064,5.01,160000,9.859164237976074,124,105992.3828125,381.9853820800781,1288,39974,24783
-1.828853964805603,-139694.58946316,0.0064,5.5,170000,12.767086029052734,124,105221.2109375,473.6573486328125,1368,42474,26873
1.6511683464050293,-124854.89427063001,0.0064,4.0,180000,15.80472183227539,124,104774.234375,454.5877685546875,1449,44974,28909
-2.3681483268737793,-124764.09815255001,0.0064,4.0,190000,14.346315383911133,124,104863.15625,526.490966796875,1530,47474,31409
-0.28395959734916687,-124712.62933835998,0.0064,4.0,200000,12.959922790527344,124,103351.3203125,219.3914337158203,1612,49974,33909
0.31759464740753174,-124650.35338760998,0.0064,4.0,210000,11.58286190032959,124,103496.953125,227.2930145263672,1693,52474,36407
0.604265570640564,-124585.19766617002,0.0064,4.0,220000,10.83776569366455,123,103248.328125,144.70848083496094,1775,54974,38893
2.0994067192077637,-124517.46741277001,0.0064,4.0,230000,9.179713249206543,123,103186.53125,201.8142852783203,1858,57474,41393
0.5995537638664246,-124530.3077331,0.0064,4.01,240000,7.71958065032959,123,102876.234375,146.77597045898438,1941,59974,43893
1.7468254566192627,-269748.95350964,0.0064,17.15,250000,11.091509819030762,123,103662.046875,185.25889587402344,2025,62474,45694
2.343914031982422,-124977.69325835,0.0064,4.06,260000,10.51823616027832,123,105926.0234375,326.3294677734375,2110,64974,47246
