time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/step_size,train/iterations,rollout/return_std,train/learning_rate,train/delta_std
2078,307,640000,159.14285714285714,-6170183.653510428,1.1771275794381086e-11,18,19114326.0,0.0018,0.05
2078,312,650000,313.1,-12381359.1846449,,,,,
2078,317,660000,471.61538461538464,-18777990.995360233,,,,,
2078,322,670000,,,1.09995771171989e-11,19,20455332.0,0.0018,0.05
2078,327,680000,602.4,-24160218.431488197,,,,,
2078,331,690000,716.0,-28719864.342703283,,,,,
2078,336,700000,573.9285714285714,-22994495.58380815,,,,,
2078,341,710000,27.0,-724640.0,1.1253615227191371e-11,20,19993574.0,0.0018,0.05
2078,346,720000,173.33333333333334,-6847881.676302168,1.6557201790168286e-11,21,13589253.0,0.0018,0.05
2078,351,730000,338.55555555555554,-13492512.380867112,,,,,
2078,356,740000,404.1333333333333,-16130197.4193738,,,,,
2078,360,750000,262.25,-10308662.63742425,1.0997349732255746e-11,22,20459474.0,0.0018,0.05
2078,365,760000,281.90909090909093,-11166379.302683635,,,,,
2078,370,770000,407.06666666666666,-16206363.373877667,,,,,
2078,375,780000,508.0,-20183860.0,1.1018340753676803e-11,23,20420498.0,0.0018,0.05
2078,380,790000,575.7142857142857,-23005250.641325433,,,,,
2078,384,800000,603.6,-24111072.8116901,,,,,
2078,389,810000,,,1.0998243982207612e-11,24,20457812.0,0.0018,0.05
2078,394,820000,305.42857142857144,-12031749.416150142,,,,,
2078,399,830000,429.6666666666667,-17087140.81618325,,,,,
2078,404,840000,511.14285714285717,-20382219.9434065,,,,,
2077,409,850000,1000.0,-40119656.897403,1.1110384313950394e-11,25,20251324.0,0.0018,0.05
2077,413,860000,383.375,-15214309.57513375,,,,,
2077,418,870000,7.0,-149832.054273,1.1269925097312505e-11,26,19964640.0,0.0018,0.05
2077,423,880000,503.0,-20083610.653931253,,,,,
2077,428,890000,559.0,-22355959.087809335,,,,,
2077,433,900000,542.6923076923077,-21676548.41502169,,,,,
2077,437,910000,1000.0,-40160603.226622,1.099797336534536e-11,27,20458314.0,0.0018,0.05
2077,442,920000,436.7142857142857,-17343430.88269757,,,,,
2078,447,930000,423.5833333333333,-16845993.27133942,,,,,
2078,452,940000,502.5,-20141004.233523,1.1110057318575173e-11,28,20251920.0,0.0018,0.05
2078,457,950000,751.25,-30078904.6167615,,,,,
2078,461,960000,548.6363636363636,-21922030.106227,,,,,
2078,466,970000,536.6666666666666,-21455496.8237846,,,,,
2078,471,980000,289.2857142857143,-11556648.973712714,1.0988844383053031e-11,29,20475310.0,0.0018,0.05
2077,476,990000,403.4,-16135015.084415402,,,,,
2077,481,1000000,541.0769230769231,-21680185.111356314,,,,,
