train/ent_coef,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,time/time_elapsed
2.4652693271636963,2474,173.8909090909091,-3763402.640556855,10000,-31.68760108947754,188,55,0.001,47616808.0,937.4150390625,53
5.221110820770264,4974,52.73,-181293.67846322,20000,-32.68377685546875,187,243,0.001,38407680.0,7597.03271484375,106
9.039941787719727,7474,61.77,-108120.90589632001,30000,-29.641653060913086,187,427,0.001,79968200.0,11272.4296875,159
14.414189338684082,9974,63.22,-124984.16964476001,40000,-23.201385498046875,187,582,0.001,62441784.0,12147.015625,212
22.16650390625,12474,64.95,-91833.36398344001,50000,-18.41004180908203,187,717,0.001,65540356.0,13810.02734375,265
33.2586669921875,14974,75.42,-104884.36464316999,60000,-12.545923233032227,188,853,0.001,24289444.0,16601.41796875,319
43.985958099365234,17474,73.98,-90077.23623742997,70000,-7.722975254058838,187,977,0.001,44011008.0,18384.748046875,372
55.47164535522461,19974,86.07,-96489.43394332999,80000,-1.3095390796661377,187,1105,0.001,86385840.0,18578.3125,425
60.07752990722656,22474,114.86,-86465.85675038998,90000,0.4509774446487427,187,1170,0.001,17156162.0,21163.9453125,478
56.093875885009766,24974,145.02,-108960.03398777,100000,-0.1778087615966797,187,1239,0.001,37502976.0,20888.39453125,532
53.300052642822266,27474,166.81,-98917.72129868,110000,1.2854198217391968,187,1298,0.001,46928248.0,20000.6484375,585
53.618160247802734,29974,212.36,-109273.53478167001,120000,-1.0745658874511719,187,1326,0.001,9492908.0,21256.83984375,639
51.46470642089844,32474,274.52,-123629.52735818,130000,0.4095691442489624,187,1348,0.001,14273966.0,22043.404296875,692
45.5409049987793,34974,321.6,-109608.46465663999,140000,0.2815564274787903,187,1385,0.001,23644200.0,22232.75390625,746
42.94390106201172,37474,332.78,-121456.17812105999,150000,1.6894056797027588,187,1416,0.001,23389564.0,19374.3203125,799
44.49705505371094,39974,284.23,-92793.69053655,160000,0.4658450484275818,187,1454,0.001,29193808.0,20086.791015625,853
41.11275100708008,42474,328.79,-98648.72198474,170000,-0.770846426486969,187,1475,0.001,27867722.0,17475.72265625,906
41.769134521484375,44974,342.45,-89710.58392443,180000,0.5514458417892456,187,1503,0.001,21053928.0,17350.896484375,960
