time/fps,train/policy_objective,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/std,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/kl_divergence_loss,train/learning_rate
1758,0.04362010955810547,1.0,-369952.4774046493,124.74025974025975,5,0.9995089173316956,10000,1,-1.1920928955078125e-07,2681681055.8,0.006543230265378952,0.0013
1771,0.030087200924754143,1.0,-261887.76945743003,107.69,11,0.9876267313957214,20000,2,0.0,2107125245.8,0.006046363618224859,0.0013
1758,0.02467057853937149,1.0,-253840.60436276,115.28,17,0.9838311076164246,30000,3,0.0,1837132376.0,0.00631588464602828,0.0013
1762,0.025899067521095276,1.0,-210307.32954059,92.31,22,0.9736478328704834,40000,4,0.0,1858079237.4,0.0033322591334581375,0.0013
1683,0.04429873451590538,1.0,-252177.54415822,122.2,29,0.9607006907463074,50000,6,0.0,1592913124.2,0.006859347224235535,0.0013
1698,0.027983106672763824,1.0,-249002.55784916002,128.94,35,0.9522488117218018,60000,7,0.0,1432085799.8,0.007320536766201258,0.0013
1709,0.03596138954162598,1.0,-198312.82767494,100.63,40,0.9424962401390076,70000,8,0.0,1545292925.0,0.005724664777517319,0.0013
1716,0.03216928988695145,1.0,-198570.50908216,111.45,46,0.9317176342010498,80000,9,0.0,1457754287.1,0.004876305349171162,0.0013
1721,0.030419891700148582,1.0,-205183.18125167,121.48,52,0.9329566359519958,90000,10,0.0,1196266273.0,0.004334628582000732,0.0013
1684,0.031014855951070786,1.0,-223474.83624628,139.09,59,0.9223683476448059,100000,12,0.0,1155178509.7,0.004864626098424196,0.0013
1693,0.03327785059809685,1.0,-212362.84672495,141.24,64,0.9196684956550598,110000,13,0.0,1039026378.9,0.006728276610374451,0.0013
1699,0.04335099458694458,1.0,-189526.24647044006,131.44,70,0.9207577705383301,120000,14,0.0,1061792927.4,0.006764225661754608,0.0013
1704,0.0262693352997303,1.0,-176942.68336472,122.68,76,0.9115393161773682,130000,15,2.384185791015625e-07,1104357815.4,0.004720284137874842,0.0013
1680,0.037854406982660294,1.0,-192233.40907092002,151.9,83,0.90468430519104,140000,17,0.0,828724891.75,0.0058550103567540646,0.0013
1685,0.03680696338415146,1.0,-186679.33552456004,141.85,88,0.9071221947669983,150000,18,-1.1920928955078125e-07,993233882.1,0.00710921548306942,0.0013
1690,0.03142742067575455,1.0,-198259.35170278003,150.07,94,0.8970913290977478,160000,19,0.0,867177473.6,0.007933561690151691,0.0013
1696,0.04383731633424759,1.0,-204802.96659771004,169.71,100,0.898733913898468,170000,20,0.0,805622993.6,0.007198712322860956,0.0013
1702,0.03828532621264458,1.0,-209167.51614379,221.0,105,0.8868221640586853,180000,21,0.0,702556251.6,0.007414627820253372,0.0013
1686,0.032750099897384644,1.0,-202144.86603602004,254.09,112,0.8653013110160828,190000,23,1.7881393432617188e-07,283711899.775,0.00619053328409791,0.0013
1692,0.04307667538523674,1.0,-214929.21121595998,336.62,118,0.8597121238708496,200000,24,5.960464477539063e-08,142960097.66875,0.0068519227206707,0.0013
1697,0.039496105164289474,1.0,-225558.01130973,419.18,123,0.8519570231437683,210000,25,-1.1920928955078125e-07,93216185.096875,0.0069515034556388855,0.0013
1701,0.03160260245203972,1.0,-221514.46348004998,504.15,129,0.8379247784614563,220000,26,0.0,49180009.1015625,0.00873644184321165,0.0013
1685,0.03302941471338272,1.0,-214786.92638328002,589.68,136,0.8078855872154236,230000,28,0.0,24168399.2375,0.006403992418199778,0.0013
1690,0.024270322173833847,1.0,-207242.34827959002,666.87,142,0.7977156639099121,240000,29,0.0,8954516.934179688,0.004919392988085747,0.0013
1693,0.027903616428375244,1.0,-187324.51853216998,733.84,147,0.7928104996681213,250000,30,-1.1920928955078125e-07,9602156.998242188,0.006590647157281637,0.0013
1697,0.04101487249135971,1.0,-170044.62930638,796.21,153,0.7843639850616455,260000,31,0.0,4353122.4833984375,0.007603910285979509,0.0013
1700,0.03556494787335396,1.0,-140932.80301911,853.31,158,0.7740605473518372,270000,32,0.0,2515671.096435547,0.006823770701885223,0.0013
1686,0.024497907608747482,1.0,-131974.47968971,917.15,166,0.7652630805969238,280000,34,-1.1920928955078125e-07,15225309.24296875,0.007678843569010496,0.0013
1689,0.010741491802036762,1.0,-110888.60543216001,954.88,171,0.7613348364830017,290000,35,0.0,27030436.225,0.004287207033485174,0.0013
