time/fps,train/policy_objective,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/std,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/kl_divergence_loss,train/learning_rate
1693,0.04013143107295036,1.0,-109279.85033768002,969.41,177,0.7520102858543396,300000,36,0.0,68170463.153125,0.006185892503708601,0.0013
1693,0.02071487531065941,1.0,-120042.64946456999,983.75,183,0.749901533126831,310000,37,-1.1920928955078125e-07,10733697.328125,0.008541886694729328,0.0013
1684,0.0014177504926919937,1.0,-130122.56294063997,983.75,190,0.7338769435882568,320000,39,0.0,66097184.4453125,0.009376072324812412,0.0013
1687,0.003539402037858963,1.0,-174519.48606554995,1000.0,195,0.7312424778938293,330000,40,0.0,174150329.0,0.004840649198740721,0.0013
1690,0.00045206607319414616,1.0,-241946.94545213997,1000.0,201,0.7329893112182617,340000,41,0.0,273822528.475,0.0033480224665254354,0.0013
1691,0.05029909685254097,1.0,-314227.19804671,1000.0,206,0.731623649597168,350000,42,0.0,658866449.75,0.0060144755989313126,0.0013
1694,0.002380804158747196,1.0,-342691.6204133,1000.0,212,0.7307498455047607,360000,43,0.0,60740554.80625,0.0015732748433947563,0.0013
1685,0.00481878686696291,1.0,-383159.87300559,1000.0,219,0.7281712889671326,370000,45,0.0,142265274.34375,0.0031963300425559282,0.0013
1688,0.008906444534659386,1.0,-416371.0693886299,1000.0,225,0.7261289954185486,380000,46,0.0,157569129.5875,0.0028888725209981203,0.0013
1690,0.00265523255802691,1.0,-516508.33286564,1000.0,230,0.7249271273612976,390000,47,0.0,575816009.85,0.004569802433252335,0.0013
1693,0.04842345416545868,1.0,-567465.55587136,1000.0,236,0.7227626442909241,400000,48,0.0,752781660.15,0.0048973741941154,0.0013
1685,0.034705307334661484,1.0,-593775.9684955799,1000.0,243,0.7132120132446289,410000,50,0.0,223313583.65,0.003998641390353441,0.0013
1687,0.0006182484794408083,1.0,-587207.69921471,1000.0,248,0.710422694683075,420000,51,0.0,31762907.8921875,0.0035494379699230194,0.0013
1689,0.045070581138134,1.0,-577647.61322038,1000.0,254,0.7104702591896057,430000,52,1.1920928955078125e-07,201741855.55,0.007595365401357412,0.0013
1691,0.03167330101132393,1.0,-514223.8915436701,1000.0,260,0.7086721062660217,440000,53,1.1920928955078125e-07,42177582.1234375,0.007876775227487087,0.0013
1693,0.034894827753305435,1.0,-443379.6492526,1000.0,265,0.7035880088806152,450000,54,0.0,21371020.582421876,0.005455841775983572,0.0013
1686,0.007716760039329529,1.0,-440006.58374442,990.65,272,0.7020553946495056,460000,56,-1.1920928955078125e-07,152996623.40625,0.00728350505232811,0.0013
1688,0.013673349283635616,1.0,-463543.47400976,990.65,278,0.7006063461303711,470000,57,0.0,412134183.725,0.007796260993927717,0.0013
1690,0.019075442105531693,1.0,-551023.7466756201,990.65,284,0.6985490322113037,480000,58,0.0,945080721.4,0.0037813223898410797,0.0013
1692,0.02760792337357998,1.0,-543560.5047532901,990.65,289,0.6962451934814453,490000,59,0.0,597012232.8,0.0044633629731833935,0.0013
1685,0.04347679764032364,1.0,-532101.4506494299,990.65,296,0.6925473213195801,500000,61,0.0,318068488.6,0.004155504982918501,0.0013
1687,0.02711205929517746,1.0,-555761.4878992799,990.65,302,0.6927189826965332,510000,62,0.0,663760598.65,0.005064103286713362,0.0013
1689,0.0012296924833208323,1.0,-575276.6653504199,990.65,307,0.6884930729866028,520000,63,5.960464477539063e-08,155746598.075,0.005115147214382887,0.0013
1691,0.006152292247861624,1.0,-643599.03150872,990.65,313,0.6874897480010986,530000,64,1.1920928955078125e-07,510717852.9,0.003038395196199417,0.0013
1693,0.030288398265838623,1.0,-694135.98769585,990.65,318,0.6829206943511963,540000,65,1.1920928955078125e-07,510100704.15,0.0037043027114123106,0.0013
1688,0.004439909942448139,1.0,-703651.31111474,990.65,325,0.673137903213501,550000,67,1.1920928955078125e-07,8803212.833984375,0.005512624513357878,0.0013
1690,0.039816781878471375,1.0,-725097.66445816,1000.0,331,0.6721888184547424,560000,68,0.0,284194887.825,0.0054837861098349094,0.0013
1691,0.024042297154664993,1.0,-677378.8480485299,1000.0,336,0.6701762080192566,570000,69,0.0,62761506.51875,0.004087720066308975,0.0013
1692,0.007686137221753597,1.0,-593786.62510295,1000.0,342,0.6670936942100525,580000,70,0.0,65727025.834375,0.005792891141027212,0.0013
1687,0.062476787716150284,1.0,-549603.25315888,1000.0,349,0.6629993915557861,590000,72,0.0,242596555.2,0.007374189328402281,0.0013
1689,0.0034007146023213863,1.0,-505512.52116299997,1000.0,355,0.6617482304573059,600000,73,0.0,6304151.018945312,0.004772226791828871,0.0013
1691,6.639928324148059e-05,1.0,-460895.3352892601,1000.0,360,0.6559781432151794,610000,74,0.0,41715461.128125,0.009279384277760983,0.0013
1692,0.02198016457259655,1.0,-469891.65097425994,1000.0,366,0.6528754830360413,620000,75,0.0,377018699.0,0.0029656030237674713,0.0013
1694,0.0019921157509088516,1.0,-424351.30582747003,1000.0,371,0.6508341431617737,630000,76,0.0,134780039.4375,0.0017500646645203233,0.0013
1688,0.009818404912948608,1.0,-391885.33941118,1000.0,379,0.6468791365623474,640000,78,-1.1920928955078125e-07,51112034.4125,0.004019927699118853,0.0013
1689,0.007070903666317463,1.0,-397467.23874064983,1000.0,384,0.6442609429359436,650000,79,0.0,40619965.571875,0.0018129642121493816,0.0013
1690,0.03401587903499603,1.0,-381684.57249893004,1000.0,390,0.6425705552101135,660000,80,0.0,151048202.6875,0.003588796826079488,0.0013
1691,0.001911107450723648,1.0,-375082.69998016005,1000.0,396,0.6411288380622864,670000,81,-1.1920928955078125e-07,16774901.8296875,0.004678908735513687,0.0013
1686,0.014873218722641468,1.0,-373303.53594126,990.07,403,0.6383505463600159,680000,83,-1.1920928955078125e-07,75572308.584375,0.0054437145590782166,0.0013
1687,0.011688068509101868,1.0,-358855.02727146,990.07,408,0.6376799941062927,690000,84,-1.1920928955078125e-07,263705988.3,0.00775560736656189,0.0013
1689,0.05717038735747337,1.0,-397582.02492646,990.07,414,0.6351210474967957,700000,85,0.0,216294757.175,0.006531489547342062,0.0013
1690,0.006342011503875256,1.0,-378983.23687996005,990.07,420,0.6332359910011292,710000,86,-1.1920928955078125e-07,13430825.4578125,0.003954005893319845,0.0013
1691,0.03676943853497505,1.0,-337481.91813143,990.07,425,0.6304976344108582,720000,87,0.0,117896557.05625,0.006241763010621071,0.0013
1686,0.005736434366554022,1.0,-297049.10018804,990.07,432,0.6305206418037415,730000,89,-1.1920928955078125e-07,15217521.79765625,0.002596883103251457,0.0013
1687,0.02587764710187912,1.0,-303759.20664841,990.07,438,0.6256077885627747,740000,90,-1.1920928955078125e-07,67210019.084375,0.0033667050302028656,0.0013
1688,0.03431177884340286,1.0,-294036.65198841004,990.07,444,0.6224268078804016,750000,91,0.0,38603146.85078125,0.005284988787025213,0.0013
1689,0.016697067767381668,1.0,-275983.27986898,990.07,449,0.6213873028755188,760000,92,0.0,4612419.529296875,0.0071271974593400955,0.0013
1690,0.0051683662459254265,1.0,-300958.28769747,990.07,455,0.6185564994812012,770000,93,1.1920928955078125e-07,81550932.3875,0.006587741896510124,0.0013
1686,0.03883443400263786,1.0,-325036.90710846,1000.0,462,0.6147140860557556,780000,95,0.0,183051813.55,0.005129580851644278,0.0013
1687,0.0212381724268198,1.0,-312423.66722828,1000.0,468,0.6134224534034729,790000,96,0.0,174555587.8375,0.0055731493048369884,0.0013
1688,0.0011629797518253326,1.0,-281242.4001565,1000.0,473,0.6124361157417297,800000,97,0.0,35572063.684375,0.0031383512541651726,0.0013
1689,0.007970771752297878,1.0,-349099.95764846,1000.0,479,0.6112112402915955,810000,98,-1.1920928955078125e-07,32778019.485546876,0.006333161145448685,0.0013
1685,0.06749819219112396,1.0,-473390.25175568,1000.0,486,0.6085379123687744,820000,100,0.0,1159461808.3,0.007443515583872795,0.0013
1686,0.018320176750421524,1.0,-520666.4055335601,1000.0,492,0.6070687174797058,830000,101,0.0,111368504.56875,0.0038718997966498137,0.0013
1687,0.006598965264856815,1.0,-519361.49731398,1000.0,497,0.6052537560462952,840000,102,0.0,47283819.09453125,0.0031853457912802696,0.0013
1688,0.00560991233214736,1.0,-547360.6771180299,1000.0,503,0.6037314534187317,850000,103,0.0,66588455.871875,0.0016198816010728478,0.0013
1689,0.02549232915043831,1.0,-559599.0610269401,1000.0,508,0.60255366563797,860000,104,5.960464477539063e-08,117844052.7625,0.0044433665461838245,0.0013
1685,0.024873841553926468,1.0,-542757.73822924,1000.0,516,0.5985493063926697,870000,106,0.0,118140673.69375,0.0054947067983448505,0.0013
1686,0.015745021402835846,1.0,-536608.55985752,1000.0,521,0.5988163948059082,880000,107,5.960464477539063e-08,76071914.99375,0.005334886256605387,0.0013
1687,0.02325718104839325,1.0,-529997.71229108,1000.0,527,0.5974403023719788,890000,108,1.1920928955078125e-07,202972965.975,0.00405895197764039,0.0013
1688,0.004255644977092743,1.0,-553316.94727883,1000.0,533,0.5969478487968445,900000,109,5.960464477539063e-08,128648082.91875,0.0022928195539861917,0.0013
1684,0.01972639560699463,1.0,-523533.88009405,1000.0,540,0.5949756503105164,910000,111,0.0,113442908.5375,0.0032330742105841637,0.0013
1685,0.006220851093530655,1.0,-431184.80662854,1000.0,545,0.594563364982605,920000,112,-1.1920928955078125e-07,127297141.4125,0.003592773573473096,0.0013
1686,0.013738005422055721,1.0,-453806.71728921006,1000.0,551,0.5913062691688538,930000,113,0.0,199973396.55,0.003733433783054352,0.0013
1687,0.04138503596186638,1.0,-470902.11971432006,1000.0,557,0.59004807472229,940000,114,0.0,465145669.9,0.004722914658486843,0.0013
1688,0.00738410372287035,1.0,-473326.09103401,1000.0,562,0.5899873375892639,950000,115,0.0,53256047.2125,0.004815108608454466,0.0013
1684,0.02259867824614048,1.0,-506423.30634927,1000.0,569,0.5897973775863647,960000,117,0.0,251555782.675,0.0034429493825882673,0.0013
1685,0.029170148074626923,1.0,-531483.64074867,1000.0,575,0.5886999368667603,970000,118,0.0,205076222.95,0.004595533013343811,0.0013
1686,0.040112800896167755,1.0,-518808.09414242,1000.0,581,0.5884872078895569,980000,119,0.0,144041739.48125,0.006152736488729715,0.0013
1686,0.030244333669543266,1.0,-497527.07559558,1000.0,586,0.5864517092704773,990000,120,-1.1920928955078125e-07,28799955.91875,0.006058001425117254,0.0013
1683,0.022652022540569305,1.0,-484128.13045810006,1000.0,594,0.5858507752418518,1000000,122,5.960464477539063e-08,125797479.75625,0.0042791529558598995,0.0013
