train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/clip_range,train/n_updates,time/time_elapsed,train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/policy_gradient_loss
1.0072029829025269,1813180544.0,-278363.1895943,57.67,-12.805217177420854,0.0017,4065786466.4,0.0229736328125,0.2,10,8,-1.1920928955078125e-07,0.0043576644,10000,1212,-0.005274495590674633
1.0161653757095337,1707137408.0,-265714.42977739003,60.43,-12.877278146892786,0.0017,3524158400.4,0.018115234375,0.2,20,16,0.0,0.0044984403,20000,1219,-0.004509346396480396
1.025734305381775,1615046656.0,-235342.65535614997,51.48,-12.959417893737555,0.0017,3351921310.6,0.01427001953125,0.2,30,24,0.0,0.0040548705,30000,1226,-0.0036669109587819547
1.0338554382324219,1521060480.0,-250182.71889440995,58.99,-13.037958350032568,0.0017,3283574356.4,0.01768798828125,0.2,40,32,0.0,0.003997692,40000,1229,-0.0036155126037556327
1.0528841018676758,1386772480.0,-203690.91592568002,45.47,-13.19042285978794,0.0017,3014811079.8,0.00806884765625,0.2,60,44,-1.1920928955078125e-07,0.0032268916,50000,1117,-0.002633062001223152
1.0615354776382446,1519070720.0,-219788.71067777995,50.22,-13.272639305889607,0.0017,3186490865.2,0.00870361328125,0.2,70,52,1.1920928955078125e-07,0.0033255576,60000,1136,-0.0027626801957012503
1.0706907510757446,1632890496.0,-206488.30182467,44.95,-13.349321047216653,0.0017,3107268054.2,0.02755126953125,0.2,80,60,-1.1920928955078125e-07,0.005465576,70000,1149,-0.004576420168814366
1.0795971155166626,1649696896.0,-195060.88578967995,41.97,-13.424501851201057,0.0017,3150862573.2,0.0208740234375,0.2,90,69,1.1920928955078125e-07,0.0050526634,80000,1159,-0.003933043584402185
1.0867059230804443,1604602112.0,-223726.84943909,53.61,-13.490100956708194,0.0017,3306424998.0,0.01396484375,0.2,100,77,0.0,0.004033734,90000,1166,-0.002701708786753443
1.107898235321045,1336139776.0,-190171.76037432003,43.71,-13.65090607330203,0.0017,2804957470.1,0.0162353515625,0.2,120,89,0.0,0.004472547,100000,1119,-0.0033509387827507452
1.1175413131713867,1477710080.0,-185543.87211700997,40.31,-13.732230454683304,0.0017,3106052835.4,0.01181640625,0.2,130,97,1.1920928955078125e-07,0.0041096606,110000,1130,-0.003919352139200782
1.1283953189849854,1156873216.0,-185052.17120919004,42.76,-13.815828116238118,0.0017,2836162735.0,0.0236328125,0.2,140,105,0.0,0.0051464746,120000,1140,-0.003970869615295669
1.1378387212753296,1954335104.0,-186047.91080224997,42.39,-13.896149774640799,0.0017,2917940761.7,0.01695556640625,0.2,150,113,-2.384185791015625e-07,0.0047606924,130000,1148,-0.0032975882622849895
1.1590538024902344,1437017472.0,-208634.46348424,49.55,-14.058425962924957,0.0017,2817798101.4,0.01026611328125,0.2,170,124,0.0,0.003553343,140000,1120,-0.002756941604820895
1.1698988676071167,1259641728.0,-165354.62274641,37.38,-14.14158645644784,0.0017,2780426956.2,0.01368408203125,0.2,180,133,-1.1920928955078125e-07,0.0040128194,150000,1126,-0.00276845722401049
1.1802572011947632,1540139136.0,-183348.33921361,44.43,-14.221477714180946,0.0017,2733052079.5,0.0099365234375,0.2,190,141,0.0,0.0035462696,160000,1133,-0.002375200691039936
1.1946351528167725,952099456.0,-178184.66493604,41.54,-14.317711815983056,0.0017,2653001064.2,0.0144775390625,0.2,200,149,1.1920928955078125e-07,0.004053059,170000,1139,-0.004112801279006817
1.206722378730774,1439748224.0,-179726.08717735007,43.58,-14.416869673877954,0.0017,2647314935.7,0.01319580078125,0.2,210,157,1.1920928955078125e-07,0.0042566303,180000,1142,-0.0029386906082436324
1.2290102243423462,1367265664.0,-176874.84173621997,40.92,-14.585572411864996,0.0017,2644544810.7,0.02847900390625,0.2,230,169,0.0,0.005484561,190000,1119,-0.004729942576614121
1.2418217658996582,1299293952.0,-181308.16688630002,46.43,-14.672455661743879,0.0017,2634765656.1,0.0078125,0.2,240,178,0.0,0.0034712357,200000,1121,-0.0027083057384515996
1.2556812763214111,1228379776.0,-160018.69156118005,36.97,-14.770036464184523,0.0017,2619611568.4,0.01219482421875,0.2,250,186,-1.1920928955078125e-07,0.004048794,210000,1126,-0.003199691626468848
1.2684930562973022,1490103680.0,-167722.45398569002,43.11,-14.865396071970462,0.0017,2664013804.3,0.02337646484375,0.2,260,194,-1.1920928955078125e-07,0.005133133,220000,1129,-0.004001688184507657
