Logging to training_default_logs/4_robots/logs/PPO_set1
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 65.8          |
|    ep_rew_mean          | -9.58e+05     |
| time/                   |               |
|    fps                  | 1387          |
|    time_elapsed         | 7             |
|    total_timesteps      | 10000         |
| train/                  |               |
|    approx_kl            | 0.00020752665 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | -1.19e-06     |
|    learning_rate        | 0.0003        |
|    loss                 | 2.04e+10      |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.000783     |
|    std                  | 1             |
|    value_loss           | 4.06e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 64.4          |
|    ep_rew_mean          | -9.37e+05     |
| time/                   |               |
|    fps                  | 1388          |
|    time_elapsed         | 14            |
|    total_timesteps      | 20000         |
| train/                  |               |
|    approx_kl            | 0.00019693899 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 2.15e+10      |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000761     |
|    std                  | 1             |
|    value_loss           | 4.07e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 54.1          |
|    ep_rew_mean          | -7.87e+05     |
| time/                   |               |
|    fps                  | 1389          |
|    time_elapsed         | 21            |
|    total_timesteps      | 30000         |
| train/                  |               |
|    approx_kl            | 0.00016137774 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.1e+10       |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.000621     |
|    std                  | 1             |
|    value_loss           | 4.02e+10      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 55.7          |
|    ep_rew_mean          | -8.12e+05     |
| time/                   |               |
|    fps                  | 1390          |
|    time_elapsed         | 28            |
|    total_timesteps      | 40000         |
| train/                  |               |
|    approx_kl            | 0.00018413164 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -17           |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.87e+10      |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.000724     |
|    std                  | 1             |
