train/critic_loss,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,time/fps,train/learning_rate,time/episodes
47036760.0,-849295.7453750769,10114.76171875,10000,16,24.23634910583496,-19.46042823791504,144.16923076923078,2474,603,0.0055,65
12208394.0,-507668.78701992997,3930.486572265625,20000,33,40.480899810791016,-3.899567127227783,178.51,4974,601,0.0055,105
6859908.0,-227121.46784477,3691.5048828125,30000,49,36.462982177734375,5.276356220245361,244.98,7474,601,0.0055,121
24275006.0,-204765.23620089,3244.712890625,40000,66,34.7033576965332,-23.53078842163086,336.77,9974,600,0.0055,146
3971675.25,-412939.85493520997,4197.84765625,50000,83,34.26070785522461,6.410671234130859,386.24,12474,599,0.0055,162
4359588.5,-467039.90525067004,-2177.51953125,60000,100,21.80250358581543,2.49365234375,459.05,14974,599,0.0055,174
6070425.0,-523247.81201061996,-282.7350769042969,70000,116,28.429168701171875,-2.4782228469848633,506.13,17474,599,0.0055,203
8131047.0,-738435.0601436299,1697.681884765625,80000,133,59.2969970703125,-2.1745779514312744,452.88,19974,598,0.0055,230
42777148.0,-738161.4403712798,8549.7275390625,90000,150,24.831083297729492,3.0924932956695557,376.75,22474,598,0.0055,267
7223111.5,-709150.5913537799,2161.33203125,100000,167,25.298316955566406,-0.6706365942955017,318.23,24974,598,0.0055,300
8176094.0,-618939.82022155,-1502.650390625,110000,183,31.92719268798828,1.047497034072876,344.12,27474,598,0.0055,321
18202092.0,-456045.13452190993,-2579.19189453125,120000,200,25.244386672973633,2.1156768798828125,362.25,29974,598,0.0055,341
28180598.0,-456221.31992993015,1658.1697998046875,130000,217,21.85914421081543,0.9366194009780884,405.88,32474,598,0.0055,366
12775168.0,-491638.73589542997,13381.1767578125,140000,234,64.10586547851562,23.52006721496582,444.38,34974,597,0.0055,382
35219756.0,-467753.73877961,1902.3560791015625,150000,250,19.01128578186035,6.175175666809082,361.63,37474,597,0.0055,428
7999240.0,-412661.14337375,7373.5673828125,160000,267,24.364965438842773,1.2451937198638916,370.93,39974,597,0.0055,453
29185760.0,-447586.82837693987,8711.890625,170000,284,32.107173919677734,-18.415321350097656,324.52,42474,597,0.0055,479
4414918.0,-598810.61762133,6247.84375,180000,301,22.022504806518555,6.66374397277832,349.5,44974,597,0.0055,496
38725684.0,-550211.86050122,7613.55078125,190000,317,22.816715240478516,-4.67471170425415,412.91,47474,597,0.0055,519
5696311.5,-661252.5482453,11107.224609375,200000,334,38.36381530761719,-9.521821022033691,453.82,49974,597,0.0055,537
4781748.0,-731044.4274554498,11785.2333984375,210000,351,39.4093132019043,3.692202091217041,489.9,52474,597,0.0055,555
20781300.0,-1425470.9708700299,43546.25,220000,368,89.9099349975586,38.96654510498047,492.93,54974,597,0.0055,581
12289703.0,-1275993.0819298,15354.6064453125,230000,385,11.226973533630371,2.387244462966919,509.41,57474,597,0.0055,595
6308439.0,-1273651.01338117,5887.39453125,240000,401,17.68264389038086,0.7706797122955322,531.94,59974,597,0.0055,610
4668775.0,-1276037.6773787097,5815.1328125,250000,418,14.44071102142334,4.525755882263184,570.39,62474,597,0.0055,625
2012967.5,-1262635.5348016,9739.1015625,260000,435,35.40089797973633,-4.652127265930176,591.07,64974,597,0.0055,637
36755968.0,-1428079.66489295,2332.9716796875,270000,452,11.533169746398926,5.550209045410156,664.59,67474,597,0.0055,646
1805416.75,-1357570.63657281,-420.1795349121094,280000,468,6.594992637634277,-1.0785952806472778,688.51,69974,597,0.0055,657
4109103.5,-677470.28116231,17885.005859375,290000,485,53.6604118347168,10.24130630493164,726.86,72474,597,0.0055,674
211462080.0,-1194376.5039647298,162864.28125,300000,502,1050.7110595703125,54.09141540527344,704.49,74974,597,0.0055,695
31705040.0,-1404542.7893561902,34777.59765625,310000,519,69.75392150878906,35.15879821777344,363.77,77474,597,0.0055,751
