rollout/ep_rew_mean,train/value_loss,train/entropy_loss,time/time_elapsed,train/loss,train/explained_variance,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction
-423956.59282741,36696840771.2,-17.027328091859818,10,19514507264.0,7.152557373046875e-07,960,24.55,10,10000,0.2,-0.0018433434035614483,0.00073957257,0.0003,1.000008463859558,0.0
-427060.1766965301,34568281428.8,-17.027378867566586,20,18688581632.0,0.0,960,24.58,20,20000,0.2,-0.0015819708543858724,0.000653745,0.0003,1.0000115633010864,0.0
-461152.4409823,35216286372.8,-17.027352386713027,31,17862737920.0,-1.1920928955078125e-07,960,27.44,30,30000,0.2,-0.0008166426590832998,0.0003275911,0.0003,0.9999986290931702,0.0
-370236.40946209006,34631371705.6,-17.027276729047298,41,18282385408.0,0.0,959,21.1,40,40000,0.2,-0.0005652606541843852,0.00021864101,0.0003,1.0000020265579224,0.0
-477330.5013000701,34871110126.4,-17.02675833851099,56,16920822784.0,5.960464477539063e-08,881,28.12,60,50000,0.2,-0.0003035523948710761,0.00011916593,0.0003,0.99990314245224,0.0
-429590.84192336997,34058372009.6,-17.025897778570652,67,15329843200.0,-1.1920928955078125e-07,893,25.54,70,60000,0.2,-0.0008700859689270146,0.00035797036,0.0003,0.9998696446418762,0.0
-466043.01260015013,35448273403.2,-17.026527608931065,77,18256601088.0,0.0,901,27.68,80,70000,0.2,-0.0003276462641224498,0.00012320624,0.0003,1.0000050067901611,0.0
-376163.58985159005,35283198555.2,-17.027213214337827,88,16027140096.0,0.0,907,21.52,90,80000,0.2,-0.0009931818567565642,0.00041133017,0.0003,0.9999804496765137,0.0
-342242.6347699701,34846482531.2,-17.026944594085215,98,18193440768.0,0.0,912,19.49,100,90000,0.2,-0.0005254281852103305,0.0002200825,0.0003,0.9999620318412781,0.0
-388301.39902927005,33226183763.2,-17.026563857495784,113,16356786176.0,-1.1920928955078125e-07,878,22.76,120,100000,0.2,-0.0008977790332210134,0.00037121077,0.0003,0.9999881386756897,0.0
-416560.3789806501,33278317508.8,-17.026908817887307,124,17188085760.0,-1.1920928955078125e-07,884,24.51,130,110000,0.2,-0.00038242053215071793,0.00015560459,0.0003,0.9999534487724304,0.0
-362180.2845505199,34452836588.8,-17.02684849500656,134,15472218112.0,0.0,889,20.29,140,120000,0.2,-0.0006966209086385789,0.00028244074,0.0003,0.9999787211418152,0.0
-384230.99233046005,34971321974.4,-17.027441243827344,145,15591304192.0,-1.1920928955078125e-07,894,22.04,150,130000,0.2,-0.0005130811827257275,0.00020766741,0.0003,1.00005304813385,0.0
-434479.1183125201,37851216699.2,-17.028010338544846,160,20294211584.0,1.1920928955078125e-07,872,25.44,170,140000,0.2,-0.00024157021707651438,9.0827896e-05,0.0003,0.9999884963035583,0.0
-392981.85277859005,34601732894.4,-17.026572486758234,171,17434126336.0,5.960464477539063e-08,877,23.16,180,150000,0.2,-0.0010549630314926617,0.0004198124,0.0003,0.9998952746391296,0.0
-418017.8410600299,35888972518.4,-17.02625687867403,181,17434849280.0,0.0,881,24.39,190,160000,0.2,-0.0004217646364850225,0.00016135577,0.0003,0.9999324679374695,0.0
