rollout/ep_rew_mean,train/value_loss,train/entropy_loss,time/time_elapsed,train/loss,train/explained_variance,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction
-399383.73107154993,36761408499.2,-17.02642418593168,192,16847934464.0,-1.1920928955078125e-07,885,22.79,200,170000,0.2,-0.00035874815312126885,0.00013980037,0.0003,0.999929666519165,0.0
-486507.90151233994,35258540736.0,-17.026456780731678,202,17393864704.0,0.0,888,28.37,210,180000,0.2,-0.0010593003635221976,0.00043114444,0.0003,0.9999343752861023,0.0
-383771.52342319995,36039093721.6,-17.026438321173192,217,18526509056.0,0.0,873,22.31,230,190000,0.2,-0.00010169560800932231,3.3312142e-05,0.0003,0.9998863339424133,0.0
-402833.32030903996,38414521681.6,-17.02637974023819,228,18888196096.0,1.1920928955078125e-07,876,23.43,240,200000,0.2,-0.0002582317438282189,9.515081e-05,0.0003,0.9999659657478333,0.0
-359768.3731372101,36198587008.0,-17.026403751969337,238,19770914816.0,-1.1920928955078125e-07,880,20.42,250,210000,0.2,-0.00022906607755430742,8.305942e-05,0.0003,0.9998903274536133,0.0
-363329.9148152799,34159640001.6,-17.025698386132717,249,17169254400.0,0.0,883,20.92,260,220000,0.2,-0.00029290606726135594,0.00011662139,0.0003,0.9998500943183899,0.0
-396037.77351336996,37775367057.6,-17.025468811392784,264,17185783808.0,0.0,870,22.58,280,230000,0.2,-0.00028197188185004053,0.00010954524,0.0003,0.9998443126678467,0.0
-387164.84251146,37042140419.2,-17.02565224468708,274,17424439296.0,0.0,873,22.18,290,240000,0.2,-0.0003148716506984783,0.00012280089,0.0003,0.9998884201049805,0.0
-493761.88674458995,38088804099.2,-17.025279408693315,285,20005552128.0,-1.1920928955078125e-07,876,28.95,300,250000,0.2,-0.00030367304698302177,0.000101288155,0.0003,0.9997817873954773,0.0
-394477.03543728,35852317772.8,-17.024392734467984,295,16663813120.0,0.0,878,22.81,310,260000,0.2,-0.0003119159056950593,0.00012340263,0.0003,0.9997415542602539,0.0
-408113.19138533005,35273032545.6,-17.024456132948398,306,18059763712.0,0.0,881,23.59,320,270000,0.2,-0.00019619716440502088,6.647421e-05,0.0003,0.9997919201850891,0.0
-368486.50467347,38876385524.8,-17.02522282153368,321,18405267456.0,5.960464477539063e-08,870,20.95,340,280000,0.2,-0.0001903284774016356,7.2248586e-05,0.0003,0.999809205532074,0.0
-442220.92937111994,33619842248.0,-17.02475167065859,332,17443516416.0,0.0,873,26.42,350,290000,0.2,-0.0002355718122998951,9.1715454e-05,0.0003,0.9997796416282654,0.0
-455701.19739844993,35037668529.6,-17.024315923452377,342,16785850368.0,0.0,875,27.04,360,300000,0.2,-0.0002487484858647804,9.393327e-05,0.0003,0.9997289180755615,0.0
-427169.78911610995,37400496097.6,-17.023953332006933,353,17867892736.0,-1.1920928955078125e-07,877,24.82,370,310000,0.2,-0.00019930139842472272,6.568619e-05,0.0003,0.9997198581695557,0.0
-365399.8152375801,33557866888.0,-17.023273062705993,368,16430459904.0,-1.1920928955078125e-07,868,20.99,390,320000,0.2,-0.0007973275936819846,0.00032094656,0.0003,0.9996845722198486,0.0
-387763.56315386994,38315705841.6,-17.02418033182621,378,17939257344.0,2.384185791015625e-07,870,22.02,400,330000,0.2,-0.00042520375518506626,0.00015547624,0.0003,0.9998044371604919,0.0
-476797.78662923,38961970256.0,-17.025355857610702,389,18684383232.0,-1.1920928955078125e-07,873,27.9,410,340000,0.2,-0.00045391302437565174,0.00016772126,0.0003,0.9998786449432373,0.0
-452765.43494679,36047880049.6,-17.025618584454058,399,17869252608.0,-1.1920928955078125e-07,875,26.62,420,350000,0.2,-0.0002517147988328361,9.045688e-05,0.0003,0.9998508095741272,0.0
-383230.26124132,36565244057.6,-17.025523990392685,410,20974456832.0,0.0,876,22.02,430,360000,0.2,-0.00017502096998214255,6.5609565e-05,0.0003,0.9998605251312256,0.0
-402675.63260778005,33547099464.0,-17.026204080879687,425,17195057152.0,1.1920928955078125e-07,869,23.27,450,370000,0.2,-0.0003360999572578294,0.00012726588,0.0003,0.9999494552612305,0.0
-431888.97907493985,36340720222.4,-17.02664741873741,436,20661362688.0,0.0,871,25.33,460,380000,0.2,-0.00048435053759021685,0.00018285032,0.0003,0.999955952167511,0.0
-414675.14718845004,35098912547.2,-17.026395830512048,446,14948032512.0,-1.1920928955078125e-07,872,23.72,470,390000,0.2,-0.00035969750679214484,0.00013552408,0.0003,0.9999032020568848,0.0
-393937.75076569,37668436089.6,-17.025530484318733,457,20157892608.0,0.0,873,22.09,480,400000,0.2,-0.0002854814832971897,0.000114606184,0.0003,0.9998108744621277,0.0
-419884.67603075,35969207056.0,-17.025509703159333,473,17098852352.0,0.0,866,24.68,500,410000,0.2,-0.00023371901297650766,8.655718e-05,0.0003,0.9998993873596191,0.0
-373482.69891702995,36595536604.8,-17.02664698809385,484,20443973632.0,0.0,867,20.91,510,420000,0.2,-0.000695428376639029,0.00027246104,0.0003,0.9999999403953552,0.0
-386985.58170325006,37046926891.2,-17.027279132604598,495,17797541888.0,0.0,868,22.33,520,430000,0.2,-0.00043213441222178517,0.00015835217,0.0003,1.0000063180923462,0.0
-319010.24410262,35902584656.0,-17.028252947330476,505,20344852480.0,0.0,869,17.65,530,440000,0.2,-0.0004500845155234856,0.00017184138,0.0003,1.0001599788665771,0.0
-358511.3599033401,35035098718.4,-17.02911547720432,516,19299018752.0,0.0,871,20.41,540,450000,0.2,-0.00017872301809802594,6.352679e-05,0.0003,1.0001524686813354,0.0
-444865.8940941401,35262775880.0,-17.03045371770859,531,18168244224.0,1.1920928955078125e-07,864,26.27,560,460000,0.2,-0.0002597570914986136,9.172851e-05,0.0003,1.0002962350845337,0.0
-367447.9456251,34559993361.6,-17.03088534474373,542,16877568000.0,0.0,866,20.95,570,470000,0.2,-0.00017338870020466857,6.0214064e-05,0.0003,1.000306248664856,0.0
-400353.97279922006,34866199596.8,-17.03119265586138,553,16169990144.0,0.0,867,23.26,580,480000,0.2,-0.000499941920315905,0.00019563528,0.0003,1.0003557205200195,0.0
-432548.7532801601,40243544483.2,-17.032119166851043,563,20260950016.0,1.7881393432617188e-07,869,25.68,590,490000,0.2,-0.0006474520225310699,0.0002364188,0.0003,1.000461459159851,0.0
-336798.86441799,35254309529.6,-17.033183288574218,578,20608970752.0,0.0,863,18.86,610,500000,0.2,-0.0002568469153629849,8.654278e-05,0.0003,1.0005167722702026,0.0
-361246.24433943,35931310832.0,-17.032786744832993,589,16998977536.0,0.0,865,20.11,620,510000,0.2,-0.00025134162951871984,8.4711144e-05,0.0003,1.000405192375183,0.0
-390030.91796197,35954104931.2,-17.03277831673622,599,16487077888.0,1.1920928955078125e-07,866,22.52,630,520000,0.2,-0.00044512877175293395,0.0001560367,0.0003,1.0005202293395996,0.0
-435990.52599667996,35724124683.2,-17.033196264505385,610,18925940736.0,0.0,868,25.53,640,530000,0.2,-0.0003146602852211799,0.00011752876,0.0003,1.0004812479019165,0.0
-381718.12961592,34034320828.8,-17.0327315017581,621,16128486400.0,-1.1920928955078125e-07,869,21.3,650,540000,0.2,-0.0006284375054747216,0.00024706137,0.0003,1.0004403591156006,0.0
-348873.00126527995,36922243779.2,-17.0326981946826,636,18017619968.0,0.0,864,19.54,670,550000,0.2,-0.0004421766441737418,0.00016604847,0.0003,1.0004501342773438,0.0
-389130.2834375,35076063128.0,-17.032786609232424,647,17318291456.0,0.0,864,23.0,680,560000,0.2,-0.00042073259228345703,0.00015899749,0.0003,1.0004782676696777,0.0
-363509.87714849005,35305797672.0,-17.032485964894295,658,18797101056.0,0.0,866,20.44,690,570000,0.2,-0.00040903474073274995,0.00013848419,0.0003,1.0003997087478638,0.0
-428029.10762242996,35385951136.0,-17.032194600999354,668,18420484096.0,-1.1920928955078125e-07,867,24.67,700,580000,0.2,-0.0002657495580933755,9.958226e-05,0.0003,1.000433087348938,0.0
-415124.06182913,37125571561.6,-17.033718132972716,684,20175099904.0,0.0,861,23.33,720,590000,0.2,-0.000524499471521267,0.00018800015,0.0003,1.0005556344985962,0.0
-334036.94215604,35341823201.6,-17.03431008309126,695,16832047104.0,5.960464477539063e-08,862,18.47,730,600000,0.2,-0.0003720916723978007,0.00013285821,0.0003,1.0006271600723267,0.0
-425947.61943160003,35322964956.8,-17.03466962724924,706,18345050112.0,5.960464477539063e-08,863,24.58,740,610000,0.2,-0.00040547522066844974,0.00014460689,0.0003,1.0006183385849,0.0
-399783.69010112993,35944072560.0,-17.03460090905428,716,17619243008.0,1.1920928955078125e-07,864,22.8,750,620000,0.2,-0.0003093582650762983,0.000113673006,0.0003,1.000611424446106,0.0
-352130.33721942006,34336206838.4,-17.03456590771675,727,17073328128.0,0.0,865,20.04,760,630000,0.2,-0.0002915517148721847,9.9859695e-05,0.0003,1.0006154775619507,0.0
-363664.94546054,36991758545.6,-17.035187563300134,742,18375409664.0,1.1920928955078125e-07,861,20.9,780,640000,0.2,-0.00035357263623154723,0.00012030884,0.0003,1.0006729364395142,0.0
-378067.3233519,32091562387.2,-17.035612726211546,753,17143172096.0,0.0,862,21.71,790,650000,0.2,-0.0005800559763883939,0.00021849305,0.0003,1.0007301568984985,0.0
-365865.38399846,34217303708.8,-17.035258047282696,764,16909592576.0,-1.1920928955078125e-07,863,20.53,800,660000,0.2,-0.00034564904308354016,0.00012323211,0.0003,1.0006128549575806,0.0
-364181.03680053004,35032483320.0,-17.034421209990978,774,17344036864.0,0.0,864,21.56,810,670000,0.2,-0.00022369824037014042,7.4413045e-05,0.0003,1.00059175491333,0.0
-404079.0777132799,33506593758.4,-17.033662076294423,790,17144421376.0,0.0,860,23.6,830,680000,0.2,-0.0005566355206610751,0.00021806896,0.0003,1.000515103340149,0.0
-343028.71960248,37121077379.2,-17.03334053605795,800,20021972992.0,-1.1920928955078125e-07,861,18.71,840,690000,0.2,-0.0005826006146889995,0.00021921162,0.0003,1.0005079507827759,0.0
-374939.75544106995,35274463102.4,-17.03333500623703,811,17161928704.0,0.0,862,21.16,850,700000,0.2,-0.00036753822860191576,0.00011788763,0.0003,1.0005141496658325,0.0
-364813.42114285013,34185630777.6,-17.033601871132852,822,16769291264.0,-1.1920928955078125e-07,863,20.6,860,710000,0.2,-0.0006498364336948725,0.00025773264,0.0003,1.0005532503128052,0.0
-440490.29534017004,34605897387.2,-17.033326610922813,833,16822009856.0,0.0,863,26.28,870,720000,0.2,-0.0005105298805574421,0.00019130146,0.0003,1.0004664659500122,0.0
-384295.89217945,33883928785.6,-17.0326936095953,849,14148749312.0,-1.1920928955078125e-07,859,21.56,890,730000,0.2,-0.0005444474622890993,0.00021729883,0.0003,1.0004656314849854,0.0
-342590.0433056801,35985305510.4,-17.033150132000447,859,17851353088.0,0.0,860,20.01,900,740000,0.2,-0.00038709216551069403,0.00013365952,0.0003,1.0005289316177368,0.0
-381944.96733346005,32105431004.8,-17.03371767103672,870,17550450688.0,0.0,861,22.58,910,750000,0.2,-0.0004652450366847916,0.00018266763,0.0003,1.0005621910095215,0.0
-345832.7717078999,33775092176.0,-17.034417130053043,881,15643040768.0,-1.1920928955078125e-07,862,19.62,920,760000,0.2,-0.0006050948164556758,0.00023479553,0.0003,1.0006412267684937,0.0
-322177.48768778995,34916716169.6,-17.03556422293186,891,20081768448.0,1.1920928955078125e-07,863,18.33,930,770000,0.2,-0.0005467419862725364,0.00020383403,0.0003,1.000756859779358,0.0
-407207.2270745199,34690467568.0,-17.035412845015525,907,16084447232.0,-1.1920928955078125e-07,859,24.2,950,780000,0.2,-0.00028511118462120065,8.1206155e-05,0.0003,1.000683307647705,0.0
-437458.5403469601,33077248164.8,-17.035138995945452,917,15225909248.0,0.0,860,25.27,960,790000,0.2,-0.0004958891344358562,0.00019505474,0.0003,1.000641107559204,0.0
-382470.12926412,33841868705.6,-17.03538611382246,928,17949601792.0,0.0,861,21.8,970,800000,0.2,-0.0002170674291846808,6.724072e-05,0.0003,1.0007318258285522,0.0
-370074.12034752,31787452193.6,-17.036184275150298,938,14930079744.0,0.0,862,21.58,980,810000,0.2,-0.000877971800218802,0.00035136583,0.0003,1.0007715225219727,0.0
-358189.20377241005,34098125867.2,-17.03518329709768,953,17486080000.0,-1.1920928955078125e-07,859,20.09,1000,820000,0.2,-0.00021091207581775963,6.353804e-05,0.0003,1.000625491142273,0.0
-316973.71277576,34370475561.6,-17.034266482293607,964,17168060416.0,5.960464477539063e-08,860,17.42,1010,830000,0.2,-0.0002569373380538309,8.232881e-05,0.0003,1.0005526542663574,0.0
-344337.20344253,32178444228.8,-17.034386870265006,974,17795373056.0,0.0,861,20.54,1020,840000,0.2,-0.0002818463958647044,9.4992414e-05,0.0003,1.0006502866744995,0.0
-380414.28015275,33991722718.4,-17.03482119292021,985,16942059520.0,-1.1920928955078125e-07,862,22.68,1030,850000,0.2,-0.00022548622873728164,6.2478866e-05,0.0003,1.0006234645843506,0.0
-357060.4018604101,32953755403.2,-17.035184441506864,995,16127116288.0,1.1920928955078125e-07,863,20.51,1040,860000,0.2,-0.0003864911381242564,0.00013212432,0.0003,1.0007089376449585,0.0
-350204.7002369701,35445753131.2,-17.036431577801704,1010,16934987776.0,-1.1920928955078125e-07,860,20.41,1060,870000,0.2,-0.0005074810775113292,0.00018606434,0.0003,1.0008103847503662,0.0
-334213.82832805,30654654739.2,-17.037816362082957,1021,13474251776.0,0.0,861,19.03,1070,880000,0.2,-0.00044748011114279505,0.00015457862,0.0003,1.0009649991989136,0.0
-350480.81611571007,31152029251.2,-17.038674007356168,1032,15338374144.0,0.0,862,20.26,1080,890000,0.2,-0.0007145027866499731,0.00029232452,0.0003,1.0009512901306152,0.0
-323913.51633541996,34084882337.6,-17.039129768311977,1042,15698003968.0,5.960464477539063e-08,862,17.88,1090,900000,0.2,-0.00024196309541366646,7.201574e-05,0.0003,1.0010367631912231,0.0
-370873.58432188997,35089812200.0,-17.03961499929428,1058,16091595776.0,0.0,859,20.75,1110,910000,0.2,-0.0002667619098247087,8.631098e-05,0.0003,1.0010625123977661,0.0
-360536.5651098099,37218054080.0,-17.04045537561178,1068,17880244224.0,0.0,860,20.7,1120,920000,0.2,-0.0003130899379357288,0.00011014632,0.0003,1.0011523962020874,0.0
-304522.02896153997,33731869644.8,-17.04062151014805,1079,15406181376.0,5.960464477539063e-08,861,17.39,1130,930000,0.2,-0.0008390410481297295,0.00031829177,0.0003,1.0010871887207031,0.0
-334959.56957454997,31190272035.2,-17.040374417603015,1090,16562624512.0,0.0,862,18.91,1140,940000,0.2,-0.0005230171467701439,0.00020756303,0.0003,1.0011159181594849,0.0
-418884.17730941996,32898130723.2,-17.04120997786522,1100,15427088384.0,0.0,863,24.42,1150,950000,0.2,-0.00024011083605728344,8.324785e-05,0.0003,1.0012246370315552,0.0
-370529.8853434,32593302664.0,-17.042365327477455,1115,18201542656.0,0.0,860,21.64,1170,960000,0.2,-0.0006231373957234609,0.00023330023,0.0003,1.001264214515686,0.0
-397235.74978011,33199098800.0,-17.04196892529726,1125,15892817920.0,0.0,861,22.8,1180,970000,0.2,-0.000729293640688411,0.0002918185,0.0003,1.0012043714523315,0.0
-426475.60278970003,33209593822.4,-17.04155996888876,1136,16614387712.0,-1.1920928955078125e-07,862,25.58,1190,980000,0.2,-0.0006337640392303001,0.00025230943,0.0003,1.0011948347091675,0.0
-393715.42119471007,34378218339.2,-17.041539296507835,1146,17120778240.0,0.0,863,22.47,1200,990000,0.2,-0.00026886894975177713,8.388219e-05,0.0003,1.001200556755066,0.0
-407947.44954703003,33546029600.0,-17.041142077744006,1161,17535864832.0,1.1920928955078125e-07,860,24.17,1220,1000000,0.2,-0.0004357194628028083,0.00016237878,0.0003,1.0011441707611084,0.0
