time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/iterations,train/delta_std,train/step_size,rollout/return_std
5,1950,1000.0,10000,-39939770.089366004,,,,,
10,1948,1000.0,20000,-39977725.721532255,,,,,
15,1949,1000.0,30000,-39961263.93891786,,,,,
20,1948,901.2,40000,-35982172.464159705,,,,,
25,1949,858.7142857142857,50000,-34261861.291145645,,,,,
30,1947,1000.0,60000,-40116019.458637,0.0018,0,0.05,1.405647213209571e-11,16006860.0
35,1946,804.2,70000,-32117374.0707654,,,,,
41,1946,860.1428571428571,80000,-34383005.815639146,,,,,
46,1947,902.1,90000,-36040718.971671104,,,,,
51,1947,918.4166666666666,100000,-36704019.16222625,,,,,
56,1947,934.7333333333333,110000,-37367575.22197134,,,,,
61,1947,1000.0,120000,-39046754.74209,0.0018,1,0.05,2.2788791687045062e-11,9873275.0
66,1947,671.6666666666666,130000,-26654513.7104535,,,,,
71,1948,672.6666666666666,140000,-26718551.320052445,,,,,
77,1947,754.5,150000,-30035973.527052503,,,,,
82,1948,738.7333333333333,160000,-29389171.388176937,,,,,
87,1948,511.5,170000,-20195507.86801275,0.0018,2,0.05,1.2754427722305728e-11,17640932.0
92,1948,674.3333333333334,180000,-26829425.843882,,,,,
97,1948,782.8888888888889,190000,-31042390.767619226,,,,,
102,1948,822.3636363636364,200000,-32663712.975237187,,,,,
107,1948,805.4,210000,-32027896.808222067,,,,,
112,1948,1000.0,220000,-39847237.88053,0.0018,3,0.05,1.4224277138097374e-11,15818026.0
118,1948,1000.0,230000,-39835571.08937749,,,,,
123,1948,1000.0,240000,-39924503.10695716,,,,,
128,1948,1000.0,250000,-39898146.82875511,,,,,
133,1948,1000.0,260000,-39926938.18576027,,,,,
138,1948,1000.0,270000,-39924202.041499995,,,,,
143,1948,,280000,,0.0018,4,0.05,1.3224417116930454e-09,170139.8125
148,1948,610.0,290000,-24305088.8404846,,,,,
153,1948,721.4285714285714,300000,-28787435.698537286,,,,,
159,1948,733.4545454545455,310000,-29259685.18839346,,,,,
164,1948,720.0,320000,-28719673.8101295,,,,,
169,1948,506.5,330000,-20189439.100711998,0.0018,5,0.05,1.2723723116780938e-11,17683502.0
174,1949,606.6,340000,-24071187.091083,,,,,
179,1949,672.2222222222222,350000,-26736518.845407113,,,,,
184,1949,671.9166666666666,360000,-26722096.119611755,,,,,
189,1949,,370000,,0.0018,6,0.05,1.1890492930544116e-11,18922680.0
194,1949,670.6666666666666,380000,-26607364.800598666,,,,,
200,1949,835.3333333333334,390000,-33246650.173531998,,,,,
205,1949,876.5,400000,-34896467.970088996,,,,,
210,1950,835.3333333333334,410000,-33292477.071689412,,,,,
215,1950,858.8571428571429,420000,-34225883.499464996,,,,,
220,1950,512.5,430000,-20326236.858903,0.0018,7,0.05,1.660765622246707e-11,13547969.0
225,1950,756.25,440000,-30168101.9788305,,,,,
230,1950,755.75,450000,-29954412.0108495,,,,,
235,1950,732.4545454545455,460000,-29047394.469196364,,,,,
240,1950,789.7857142857143,470000,-31399053.91912071,,,,,
246,1950,,480000,,0.0018,8,0.05,1.4137609485875835e-11,15914996.0
251,1950,756.25,490000,-30112812.319251,,,,,
256,1950,721.2857142857143,500000,-28699902.837156426,,,,,
261,1950,783.2222222222222,510000,-31156859.33357089,,,,,
266,1950,837.4166666666666,520000,-33330946.4714725,,,,,
271,1950,804.6,530000,-32011848.44623447,,,,,
276,1950,1000.0,540000,-39908666.688689,0.0018,9,0.05,1.4156533584275266e-11,15893721.0
281,1950,802.8,550000,-31807422.446871806,,,,,
287,1951,782.5555555555555,560000,-31097727.721716113,,,,,
292,1951,822.0909090909091,570000,-32715433.90496355,,,,,
297,1951,860.2142857142857,580000,-34278923.65362486,,,,,
302,1951,,590000,,0.0018,10,0.05,1.6679727044000003e-11,13489429.0
307,1951,1000.0,600000,-40048714.247805,,,,,
312,1951,835.5,610000,-33379552.429738503,,,,,
317,1951,803.3,620000,-32113339.9218116,,,,,
322,1951,774.8461538461538,630000,-30947721.332747843,,,,,
327,1951,,640000,,0.0018,11,0.05,1.4172655236899256e-11,15875642.0
333,1951,1000.0,650000,-39980161.6370505,,,,,
338,1951,1000.0,660000,-40015578.184856996,,,,,
343,1951,1000.0,670000,-40006549.675507426,,,,,
348,1952,834.8333333333334,680000,-33355285.608456332,,,,,
353,1952,858.4285714285714,690000,-34294586.6336945,,,,,
358,1952,1000.0,700000,-40063410.084207,0.0018,12,0.05,1.656513815007088e-11,13582742.0
363,1952,1000.0,710000,-40015480.293977,,,,,
368,1952,1000.0,720000,-39985834.486197,,,,,
373,1952,1000.0,730000,-39982659.144624375,,,,,
379,1952,918.9166666666666,740000,-36703465.799333416,,,,,
384,1952,930.5,750000,-37142296.33951114,,,,,
389,1952,1000.0,760000,-40091210.0,0.0018,13,0.05,2.286701383802381e-11,9839501.0
394,1952,752.0,770000,-30008331.32043,,,,,
399,1952,752.25,780000,-29945888.701713122,,,,,
404,1952,801.8,790000,-31960873.081300505,,,,,
409,1952,847.5384615384615,800000,-33793987.77769931,,,,,
