time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/iterations,train/delta_std,train/step_size,rollout/return_std
414,1952,867.8666666666667,810000,-34592317.40965307,,,,,
420,1952,1000.0,820000,-39998107.1003085,0.0018,14,0.05,1.660061497987808e-11,13553714.0
425,1952,1000.0,830000,-39981916.563527,,,,,
430,1952,780.5555555555555,840000,-31035227.18715556,,,,,
435,1952,752.6666666666666,850000,-29945847.356181834,,,,,
440,1952,802.1333333333333,860000,-31946838.213694535,,,,,
445,1952,517.0,870000,-20310269.543599002,0.0018,15,0.05,1.4069404495609117e-11,15992148.0
450,1952,806.8,880000,-32068694.239219803,,,,,
455,1952,674.7777777777778,890000,-26724370.99129789,,,,,
460,1952,756.0833333333334,900000,-30023981.13243584,,,,,
466,1952,790.9285714285714,910000,-31450678.422139075,,,,,
471,1952,1000.0,920000,-40092810.194019,0.0018,16,0.05,1.4171163374709916e-11,15877314.0
476,1952,1000.0,930000,-40000298.27082133,,,,,
481,1952,860.0,940000,-34372384.73795957,,,,,
486,1952,891.1111111111111,950000,-35625523.05892889,,,,,
491,1952,918.3333333333334,960000,-36689007.780655004,,,,,
496,1952,930.0,970000,-37168357.569652006,,,,,
501,1952,1000.0,980000,-39783480.11724,0.0018,17,0.05,2.270860235964456e-11,9908139.0
506,1953,1000.0,990000,-39841317.55585567,,,,,
511,1954,1000.0,1000000,-39904792.43080083,,,,,
516,1955,805.1,1010000,-32050474.420754403,,,,,
521,1956,850.0769230769231,1020000,-33874887.84814647,,,,,
526,1957,870.0666666666667,1030000,-34672460.543802,,,,,
