time/fps,train/value_loss,time/time_elapsed,train/learning_rate,train/policy_loss,rollout/ep_rew_mean,time/total_timesteps,train/std,train/explained_variance,rollout/ep_len_mean,train/entropy_loss,train/n_updates
3352,991969280.0,2,0.0001,-201837.78125,-419781.6595585312,10000,1.0018783807754517,1.8894672393798828e-05,100.15625,-8.525206565856934,124
3442,897514816.0,5,0.0001,-179036.640625,-378608.94636105,20000,1.0017163753509521,-9.059906005859375e-06,101.56,-8.523685455322266,249
3479,979290624.0,8,0.0001,-162403.21875,-370693.45790653996,30000,1.0018856525421143,1.9669532775878906e-06,97.84,-8.524311065673828,374
3497,757058112.0,11,0.0001,-167373.375,-366830.52474064,40000,1.0009750127792358,3.5762786865234375e-07,106.99,-8.519454002380371,499
3508,483427392.0,14,0.0001,-149796.390625,-370975.14203629,50000,1.000716209411621,-2.384185791015625e-07,105.37,-8.517831802368164,624
3514,126384472.0,17,0.0001,-79777.2890625,-374835.83512274997,60000,1.0002855062484741,-9.5367431640625e-07,108.68,-8.51522159576416,749
3518,140485648.0,19,0.0001,-69889.7421875,-300283.33124872,70000,1.0002700090408325,0.0,84.92,-8.515557289123535,874
3521,486181728.0,22,0.0001,-140103.25,-331510.1491752499,80000,1.000618815422058,-3.5762786865234375e-07,101.63,-8.517119407653809,999
3522,947512128.0,25,0.0001,-185263.578125,-331859.45950174006,90000,0.9997797608375549,0.0,106.44,-8.512384414672852,1124
3523,691291840.0,28,0.0001,-105362.140625,-311523.46262177004,100000,0.9994986057281494,0.0,103.21,-8.510987281799316,1249
3525,232844080.0,31,0.0001,-99440.9609375,-313889.2743413501,110000,0.999326765537262,0.0,104.53,-8.509503364562988,1374
3524,255327008.0,34,0.0001,-67069.1875,-283120.18362637,120000,0.9989180564880371,0.0,95.08,-8.507055282592773,1499
3522,320870976.0,36,0.0001,-123739.546875,-280244.04642678006,130000,0.9987862706184387,-1.1920928955078125e-07,94.25,-8.506217002868652,1624
