train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps
0.0003,337432.1875,5963.1875,2474,10000,62,50,156.16,1.9483931064605713,-5343975.2184928,-24.411048889160156,160
0.0003,742877.8125,5518.93359375,4974,20000,126,69,268.7536231884058,4.0278143882751465,-10030137.105967348,-32.60430145263672,158
0.0003,1050131.25,5132.02099609375,7474,30000,189,157,153.26,6.714228630065918,-5775408.109165191,-22.660036087036133,158
0.0003,1279590.125,5558.6171875,9974,40000,253,181,177.01,11.829732894897461,-6438742.10476728,-20.348684310913086,158
0.0003,1410771.0,8877.4267578125,12474,50000,317,225,229.99,25.255680084228516,-7978893.40812083,-25.77984619140625,157
0.0003,1582414.0,12006.5439453125,14974,60000,380,248,312.95,40.01530075073242,-10946324.27864967,-10.772757530212402,157
0.0003,1732452.5,15467.4140625,17474,70000,444,326,202.02,43.75917434692383,-7037066.178891041,1.5763273239135742,157
0.0003,1834003.25,16265.33203125,19974,80000,508,467,67.84,89.01465606689453,-1580849.61298001,-11.101247787475586,157
0.0003,1907768.25,10909.1865234375,22474,90000,571,505,125.25,106.60783386230469,-3623593.4880284495,9.006351470947266,157
0.0003,1987280.125,18811.5078125,24974,100000,634,519,209.88,101.86094665527344,-6915000.522896689,-0.8367336392402649,157
0.0003,2066008.25,16182.2421875,27474,110000,698,635,52.1,107.98054504394531,-1502513.53515552,1.9719582796096802,157
0.0003,2133970.25,15041.1669921875,29974,120000,762,665,126.83,92.48458099365234,-4283018.040728299,-0.0837760865688324,157
0.0003,2210895.5,10374.609375,32474,130000,826,732,224.56,77.73905944824219,-7574339.975957201,0.11846151947975159,157
0.0003,2163150.75,18406.392578125,34974,140000,890,949,41.72,149.90127563476562,-1181411.5815964802,-1.8246476650238037,157
0.0003,2090099.75,12982.7978515625,37474,150000,954,986,121.9,141.87698364257812,-3977487.8200303097,-0.9137470722198486,157
0.0003,2007630.625,19553.93359375,39974,160000,1018,1059,151.9,127.43399810791016,-4924198.217598421,-0.024315744638442993,157
0.0003,1967620.875,12654.0791015625,42474,170000,1082,1436,35.19,133.13169860839844,-1079393.8527691802,-0.49478161334991455,157
0.0003,2034312.875,9668.6513671875,44974,180000,1146,1510,96.97,86.49423217773438,-2358835.7809326597,-1.0905903577804565,156
0.0003,2016425.75,12680.33203125,47474,190000,1210,1617,94.18,127.29989624023438,-1658094.4835222494,-3.3401551246643066,156
0.0003,1955247.125,16135.3408203125,49974,200000,1274,1826,38.07,174.15695190429688,-564055.57655589,0.28787320852279663,156
0.0003,1890154.25,12369.689453125,52474,210000,1338,2009,40.5,164.2423553466797,-587766.96333376,-1.2148005962371826,156
0.0003,1768624.0,14063.890625,54974,220000,1402,2182,59.54,162.8086395263672,-898151.8598094898,1.3742142915725708,156
0.0003,1630527.25,19094.154296875,57474,230000,1466,2262,118.74,153.34803771972656,-2169154.97605569,3.804537534713745,156
