time/fps,train/ent_coef,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,train/critic_loss,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/n_updates
164,58.53902053833008,0.0064,10000,108.23863636363636,-0.9777047634124756,60,2863.009765625,88,24110.994140625,-727593.3754316024,2474
160,27.776647567749023,0.0064,20000,181.01020408163265,1.100138545036316,124,2172.140625,98,12315.6181640625,-669063.0017205612,4974
160,12.572456359863281,0.0064,30000,248.78,-0.9820706844329834,187,1561.2489013671875,108,8907.24609375,-268386.12593844,7474
160,8.876387596130371,0.0064,40000,334.52,-1.9336166381835938,249,881.2998657226562,118,4635.5771484375,-136352.50457770002,9974
160,7.205657005310059,0.0064,50000,428.72,0.23986071348190308,312,840.4737548828125,128,4124.3955078125,-124525.32095843999,12474
159,4.997643947601318,0.0064,60000,519.89,1.5983948707580566,375,771.5429077148438,138,2922.37353515625,-113074.20406119,14974
159,4.916999340057373,0.0064,70000,616.02,-1.5669524669647217,439,536.9466552734375,148,2543.8134765625,-104094.36788703002,17474
158,2.0002548694610596,0.0064,80000,719.24,-0.7506711483001709,503,135.76014709472656,161,688.9703979492188,-90053.88129476999,19974
158,2.214198589324951,0.0064,90000,793.58,-0.7329588532447815,566,163.24163818359375,173,313.2430725097656,-74654.54898686,22474
158,1.7940254211425781,0.0064,100000,885.85,-0.0015279315412044525,629,140.4259490966797,189,258.5765380859375,-64740.287264980005,24974
158,2.527892827987671,0.0064,110000,651.91,0.26128828525543213,693,167.70228576660156,224,-63.347694396972656,-10839.452938120003,27474
158,2.482422113418579,0.0064,120000,327.84,0.15754973888397217,757,176.38299560546875,273,-332.7896728515625,60072.906060329995,29974
158,1.6519545316696167,0.0064,130000,225.64,-0.5809529423713684,820,559.6243286132812,301,-793.4979248046875,101846.51255944,32474
158,1.85860013961792,0.0064,140000,255.96,0.43614599108695984,884,377.9498291015625,337,-905.4487915039062,87982.1765021,34974
158,2.5650081634521484,0.0064,150000,145.08,0.45729583501815796,948,141.43850708007812,415,-752.675537109375,111432.60469250001,37474
158,2.645881175994873,0.0064,160000,157.55,0.31676921248435974,1012,334.92144775390625,474,-1326.9832763671875,115613.64395049999,39974
157,2.4318013191223145,0.0064,170000,105.08,-0.03609040379524231,1076,548.579345703125,573,-1495.399658203125,121929.22650264,42474
157,3.2603909969329834,0.0064,180000,111.97,0.06433524191379547,1139,161.19143676757812,629,-1163.637451171875,116458.29738265001,44974
157,3.5364975929260254,0.0064,190000,183.7,-0.19306336343288422,1203,201.54263305664062,675,-1461.371826171875,106887.26934938999,47474
157,4.678708076477051,0.0064,200000,263.73,0.22669053077697754,1266,897.2097778320312,701,-1292.0750732421875,79402.02258034999,49974
157,4.457094192504883,0.0064,210000,320.96,0.26366105675697327,1330,533.2775268554688,725,-1730.8406982421875,70621.31801697,52474
157,4.192944526672363,0.0064,220000,305.3,1.3003467321395874,1394,838.3367919921875,773,-1681.8480224609375,67565.39224097,54974
157,3.6032958030700684,0.0064,230000,184.49,0.3921796977519989,1459,816.5731811523438,828,-1167.5052490234375,98750.55549774,57474
157,1.6946039199829102,0.0064,240000,218.73,-2.1475210189819336,1524,559.050048828125,860,-403.23681640625,100193.33489475,59974
157,2.174967050552368,0.0064,250000,304.02,-1.3059253692626953,1591,366.9512023925781,872,-242.9397735595703,81593.24299623999,62474
156,3.088677167892456,0.0064,260000,367.77,0.36775946617126465,1658,886.3068237304688,910,-1270.2784423828125,63496.52213744,64974
156,5.318507194519043,0.0064,270000,139.11,0.8612024784088135,1725,689.00390625,991,-514.8046264648438,67103.51066568,67474
156,10.216941833496094,0.0064,280000,156.39,1.806311845779419,1794,1392.21630859375,1063,-1871.9581298828125,64303.40777548,69974
155,23.8004150390625,0.0064,290000,99.89,1.7431782484054565,1862,2537.333984375,1166,-2755.162353515625,113969.51845468,72474
155,34.01028823852539,0.0064,300000,103.41,1.3832815885543823,1932,3180.083984375,1240,-6740.87451171875,117441.95098365001,74974
154,49.67558288574219,0.0064,310000,44.09,-0.31931233406066895,2002,3341.367431640625,1382,-12183.1728515625,128362.42193955001,77474
154,49.04426956176758,0.0064,320000,110.67,0.8501260280609131,2073,1686.221923828125,1435,-16389.4296875,117774.31828219,79974
153,43.5097770690918,0.0064,330000,63.88,0.6785220503807068,2144,1722.5504150390625,1546,-20339.517578125,121316.03599215999,82474
153,38.82057189941406,0.0064,340000,37.13,1.5776371955871582,2216,1536.3031005859375,1861,-20242.765625,132311.75289483,84974
152,51.3660888671875,0.0064,350000,20.47,1.0148845911026,2288,1646.7906494140625,2339,-25736.26953125,133590.53278209,87474
152,59.2204475402832,0.0064,360000,20.39,-3.2761921882629395,2361,1310.4962158203125,2827,-38694.734375,133583.92119192,89974
152,70.34366607666016,0.0064,370000,20.55,2.392853021621704,2433,1054.56005859375,3267,-44128.234375,133588.1,92474
151,64.98560333251953,0.0064,380000,20.08,-1.076501727104187,2506,842.8353271484375,3758,-54219.83203125,133595.59305939,94974
151,76.73528289794922,0.0064,390000,32.92,0.07421010732650757,2579,891.7654418945312,4162,-56399.828125,121396.02131608,97474
150,79.33448791503906,0.0064,400000,20.68,-0.7616174221038818,2652,855.5521850585938,4644,-63213.953125,133283.69505217002,99974
150,68.57079315185547,0.0064,410000,20.29,0.7053483724594116,2726,707.5736083984375,5145,-67323.1328125,132581.23011920002,102474
150,67.87084197998047,0.0064,420000,21.44,-0.5279240012168884,2799,784.6439208984375,5633,-66767.015625,132553.96388895,104974
149,68.0288314819336,0.0064,430000,20.16,-2.027458429336548,2873,809.5916137695312,6124,-67077.78125,132889.6,107474
149,64.35608673095703,0.0064,440000,20.65,-0.6175786852836609,2948,1135.9635009765625,6526,-63575.38671875,130272.53862151998,109974
148,66.80583190917969,0.0064,450000,21.78,-0.4560678005218506,3021,1221.232177734375,6932,-63060.01171875,119592.79197497999,112474
148,68.28160858154297,0.0064,460000,29.32,0.1612720787525177,3095,1742.754638671875,7308,-60017.07421875,128862.81158947,114974
148,63.92329406738281,0.0064,470000,42.94,0.45633643865585327,3168,1280.430419921875,7584,-57222.08984375,118935.41847863,117474
148,57.16532897949219,0.0064,480000,28.79,-0.6484667062759399,3242,1507.6436767578125,7898,-52613.375,127077.64640223999,119974
147,52.2692756652832,0.0064,490000,27.32,-0.3553813099861145,3315,1657.2418212890625,8231,-49225.9765625,130667.93823625,122474
147,53.48106384277344,0.0064,500000,41.01,-0.40315258502960205,3388,1331.7313232421875,8568,-45808.421875,127875.74308562999,124974
147,49.66341018676758,0.0064,510000,18.99,-2.2663230895996094,3461,1413.8271484375,9067,-47155.828125,133620.07614756,127474
147,53.420799255371094,0.0064,520000,19.47,-1.8310519456863403,3535,1198.91845703125,9568,-49118.77734375,133407.9,129974
146,49.56678771972656,0.0064,530000,20.31,-0.24821221828460693,3607,966.3486938476562,10078,-51446.40625,133592.7036006,132474
146,65.884765625,0.0064,540000,18.91,0.1880149245262146,3680,1093.964111328125,10523,-54548.9296875,133621.56045369,134974
146,60.405372619628906,0.0064,550000,20.37,2.3339028358459473,3753,1119.721435546875,11028,-61956.46875,131486.10659722,137474
146,56.5817756652832,0.0064,560000,19.04,-1.1034274101257324,3826,978.831298828125,11539,-65204.515625,133516.2506898,139974
146,55.51488494873047,0.0064,570000,38.43,2.493119955062866,3899,711.5528564453125,11914,-64345.7578125,128585.54085846,142474
145,52.75201416015625,0.0064,580000,19.32,-0.14518973231315613,3972,745.288330078125,12394,-65011.25390625,133208.89694132,144974
145,53.844688415527344,0.0064,590000,19.79,-0.7936115860939026,4046,872.41650390625,12865,-60593.2578125,132084.97980566,147474
145,54.433692932128906,0.0064,600000,30.4,0.004346966743469238,4118,954.8618774414062,13277,-60920.984375,126771.50207954,149974
