time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,time/total_timesteps,train/n_updates,train/critic_loss
48,-3863869.51835373,193,51,251012.703125,1.8145816326141357,151.75,0.0003,-11.14427375793457,10000,2474,4580.134765625
73,-7162913.415934246,191,104,529437.875,3.6309871673583984,256.7260273972603,0.0003,-20.4404354095459,20000,4974,4001.31298828125
156,-4478134.30077217,190,157,786980.4375,5.175305366516113,157.06,0.0003,-6.027403831481934,30000,7474,4681.58447265625
173,-5508941.265549559,190,210,963965.0,11.063020706176758,199.27,0.0003,-16.18863296508789,40000,9974,7442.27587890625
193,-6307567.39812885,189,263,1107839.125,19.19269561767578,227.11,0.0003,-6.068176746368408,50000,12474,7265.66748046875
262,-7635975.311866269,189,316,1258600.125,26.69251823425293,285.79,0.0003,-7.75718879699707,60000,14974,10685.291015625
314,-3533745.5921369297,189,369,1345693.5,39.455360412597656,129.91,0.0003,0.578892707824707,70000,17474,11633.96484375
339,-6084975.747332521,189,422,1521781.5,38.40485382080078,217.05,0.0003,0.8576721549034119,80000,19974,8354.6083984375
372,-7900862.80249933,189,474,1634064.25,31.307716369628906,279.09,0.0003,1.7963229417800903,90000,22474,8423.056640625
391,-10385017.63137433,189,527,1770081.625,29.298744201660156,362.57,0.0003,3.586866617202759,100000,24974,11062.5634765625
409,-12423200.716666823,189,580,1859799.0,42.340999603271484,445.18,0.0003,1.7292909622192383,110000,27474,11154.0244140625
417,-12757641.908222029,189,633,1908640.625,37.94254684448242,467.94,0.0003,-2.7626235485076904,120000,29974,11405.5537109375
435,-13920175.747054303,189,686,1919703.25,31.39436912536621,515.05,0.0003,0.6825911402702332,130000,32474,11314.90625
449,-15132828.0765412,189,739,1985569.625,32.384239196777344,560.88,0.0003,0.3933013081550598,140000,34974,11507.8857421875
518,-7791552.118774381,189,793,2033275.625,41.535884857177734,291.51,0.0003,1.9803383350372314,150000,37474,7777.6806640625
626,-2395721.41434335,188,846,2096561.5,46.12397766113281,94.16,0.0003,-3.022243022918701,160000,39974,15440.6923828125
747,-1830245.4618132804,188,899,2097080.625,65.32901000976562,83.48,0.0003,-1.296187162399292,170000,42474,16040.1826171875
768,-3543249.166156629,188,952,2077773.25,75.319580078125,162.41,0.0003,-3.7640511989593506,180000,44974,12041.97265625
785,-5265858.422557919,189,1005,2034281.875,80.82649993896484,266.18,0.0003,1.6915252208709717,190000,47474,12433.4384765625
803,-6811478.15460827,189,1057,1991988.125,84.11502075195312,364.38,0.0003,-0.80095374584198,200000,49974,8088.59130859375
827,-7786386.381738781,189,1109,1923334.5,79.86126708984375,436.14,0.0003,-1.2160639762878418,210000,52474,7704.37841796875
898,-3197845.9741723007,189,1162,1868135.5,80.33452606201172,235.36,0.0003,-1.366360068321228,220000,54974,6916.11865234375
962,-1549288.2959677598,189,1216,1757549.375,96.068603515625,116.89,0.0003,0.9607673287391663,230000,57474,8568.6796875
1063,-1364794.3857895401,188,1270,1740164.375,99.39762878417969,107.01,0.0003,-0.6079716086387634,240000,59974,15150.509765625
1159,-1189870.40462053,188,1325,1697198.25,97.27674102783203,86.47,0.0003,-3.109226942062378,250000,62474,11517.5576171875
1215,-1864570.9473308101,188,1378,1629474.0,101.78097534179688,163.94,0.0003,-0.9913854598999023,260000,64974,8547.4755859375
1315,-933301.6536071501,188,1433,1560780.375,109.25916290283203,95.07,0.0003,0.8715534210205078,270000,67474,8281.3701171875
1425,-892714.6562503101,188,1487,1456265.25,113.92560577392578,85.9,0.0003,1.870265245437622,280000,69974,6981.3564453125
1623,-547324.3550807401,188,1542,1382297.625,114.03800201416016,49.19,0.0003,-1.757353663444519,290000,72474,8710.36328125
1697,-1231408.1718573503,187,1596,1295319.625,107.37611389160156,114.93,0.0003,1.2127786874771118,300000,74974,5144.48974609375
1842,-787123.2657766099,187,1651,1262097.25,100.1484603881836,69.71,0.0003,0.3585749864578247,310000,77474,7332.82421875
1962,-828443.2065355901,187,1707,1206486.5,98.31581115722656,78.01,0.0003,-1.2514169216156006,320000,79974,4979.19873046875
1973,-1589758.24835941,187,1762,1173467.25,88.48802947998047,154.4,0.0003,0.49086281657218933,330000,82474,4618.291015625
2005,-2438293.6491285698,186,1818,1125723.625,80.04903411865234,250.12,0.0003,0.5206824541091919,340000,84974,7637.318359375
2145,-548768.92665493,186,1873,1089494.625,79.10334777832031,69.69,0.0003,0.6685508489608765,350000,87474,10243.109375
2238,-949834.6063638398,186,1927,1071174.75,76.16753387451172,102.46,0.0003,1.5157777070999146,360000,89974,4278.50439453125
2333,-1070737.6194253901,186,1982,1055893.0,68.88237762451172,113.1,0.0003,-0.6357536315917969,370000,92474,10170.376953125
2439,-757719.5752752797,186,2037,1038194.5,70.34715270996094,93.18,0.0003,0.17879635095596313,380000,94974,5959.4208984375
2565,-747121.4366745698,186,2092,1024928.875,69.91655731201172,83.46,0.0003,-0.32572945952415466,390000,97474,6085.1376953125
2690,-703847.1638057199,186,2148,1040258.8125,69.9084243774414,79.1,0.0003,1.1075470447540283,400000,99974,9115.0830078125
2842,-510931.36632669,186,2203,1023355.5,72.77084350585938,64.63,0.0003,0.5144511461257935,410000,102474,6375.0166015625
2989,-525388.0177986801,185,2259,1003743.875,73.48651885986328,71.24,0.0003,2.7269954681396484,420000,104974,6958.53173828125
3116,-606766.25417662,185,2315,1007435.5625,77.07466888427734,80.17,0.0003,-0.41041743755340576,430000,107474,6320.3720703125
3170,-1166111.31339747,185,2373,1007441.5,78.08124542236328,143.62,0.0003,1.8552604913711548,440000,109974,7748.072265625
3208,-1796315.6118666702,185,2428,1003262.5625,77.1313247680664,207.7,0.0003,-1.3327243328094482,450000,112474,7850.59326171875
3311,-610826.3980352901,185,2484,994451.5,79.27190399169922,96.59,0.0003,-2.207556962966919,460000,114974,6430.12890625
3382,-739551.28193992,184,2541,966113.0625,81.90675354003906,130.49,0.0003,1.5187814235687256,470000,117474,6517.85546875
3475,-712213.9812282302,184,2598,970467.9375,83.4390640258789,111.2,0.0003,-3.7746036052703857,480000,119974,7755.65478515625
3585,-570229.92752297,184,2654,976818.75,83.40147399902344,87.48,0.0003,-1.3738254308700562,490000,122474,9079.1533203125
3750,-386441.09440043004,184,2711,966981.3125,86.03559112548828,54.97,0.0003,0.8136248588562012,500000,124974,8019.095703125
3996,-242298.67315132,184,2766,925050.9375,88.28627014160156,36.62,0.0003,-1.383143663406372,510000,127474,9828.5712890625
4303,-195371.97174608998,184,2820,924514.5625,94.97807312011719,34.23,0.0003,1.6445685625076294,520000,129974,7500.13720703125
4594,-188158.03955107997,184,2875,908320.625,97.82540130615234,32.77,0.0003,-1.316392183303833,530000,132474,9245.328125
4873,-168711.26858346,184,2930,889222.5,105.33391571044922,36.22,0.0003,0.814319372177124,540000,134974,8599.9072265625
5164,-160748.90343276,184,2985,862087.5,110.9859390258789,35.28,0.0003,0.8803252577781677,550000,137474,7170.47900390625
5427,-169260.38938205,184,3039,801504.1875,115.21906280517578,41.37,0.0003,2.2255425453186035,560000,139974,6711.77490234375
5658,-175070.38912364998,184,3095,764136.75,116.95662689208984,45.31,0.0003,0.7051888108253479,570000,142474,6923.8701171875
5879,-192048.93988843999,184,3150,757144.625,121.47515869140625,50.23,0.0003,-1.7112596035003662,580000,144974,8709.7666015625
5963,-322550.0223419,184,3205,742407.25,120.17987060546875,101.32,0.0003,-0.17297011613845825,590000,147474,7906.0888671875
5987,-473960.30005878,184,3259,694920.9375,120.0261001586914,175.42,0.0003,0.3215795159339905,600000,149974,9058.3193359375
6027,-752147.4688944201,184,3314,670651.375,118.38590240478516,264.83,0.0003,0.6724790334701538,610000,152474,11638.33984375
6121,-433613.07969002,184,3369,625994.125,115.03318786621094,112.83,0.0003,1.8997377157211304,620000,154974,6406.6201171875
6289,-173639.45331335,184,3423,592502.25,114.11051177978516,54.92,0.0003,-1.8078852891921997,630000,157474,4395.1103515625
6491,-147989.19117141998,183,3478,571402.5625,114.41142272949219,47.65,0.0003,-1.6862022876739502,640000,159974,5107.40966796875
6732,-113206.81235024,183,3533,548835.375,113.96575927734375,39.14,0.0003,0.029067903757095337,650000,162474,4892.08935546875
7007,-100309.27776141999,183,3587,507065.75,112.71468353271484,35.34,0.0003,-2.70963978767395,660000,164974,6096.75537109375
7292,-105906.38443483002,183,3642,478303.1875,112.04714965820312,33.7,0.0003,-0.4575173258781433,670000,167474,5966.51806640625
7607,-106701.74164837999,183,3698,450263.3125,114.54145050048828,30.91,0.0003,1.0756170749664307,680000,169974,4953.6025390625
7924,-107969.4823752,183,3752,423183.8125,114.26329040527344,30.31,0.0003,-1.707287311553955,690000,172474,4893.87158203125
8257,-103228.77585295001,183,3808,397833.3125,114.59968566894531,29.98,0.0003,-0.0548558235168457,700000,174974,4917.3828125
8596,-103790.57148372002,183,3862,376260.1875,117.01441955566406,29.55,0.0003,-0.45502781867980957,710000,177474,4351.80517578125
8929,-95587.83045179,183,3917,334125.78125,114.21355438232422,30.47,0.0003,-1.349387526512146,720000,179974,4616.20458984375
9243,-92180.76184487002,183,3971,313891.5,115.18160247802734,34.39,0.0003,1.664405107498169,730000,182474,5233.4765625
9535,-92023.49471813001,183,4026,312164.875,113.67755889892578,37.61,0.0003,0.4690525233745575,740000,184974,4329.12109375
9814,-92056.22615024002,183,4081,273213.21875,112.51739501953125,33.79,0.0003,0.554558515548706,750000,187474,3935.60009765625
10119,-91964.73183205999,183,4135,265771.125,110.09115600585938,34.55,0.0003,1.7508965730667114,760000,189974,4171.48828125
10381,-92807.00201495,183,4190,248659.0625,108.89959716796875,43.17,0.0003,0.4545348882675171,770000,192474,3519.51904296875
10642,-91941.59166092,183,4245,232725.921875,105.68060302734375,38.12,0.0003,-1.580412745475769,780000,194974,4015.820068359375
10861,-92150.91647976,183,4299,210259.515625,106.52465057373047,41.89,0.0003,1.8337531089782715,790000,197474,3363.428955078125
11116,-91897.51079636998,183,4354,207391.8125,103.14679718017578,41.4,0.0003,-0.7672075033187866,800000,199974,3330.104248046875
11315,-93032.61757134998,183,4408,191376.3125,99.07476806640625,52.74,0.0003,1.4340959787368774,810000,202474,3454.854248046875
11530,-91462.66622343998,183,4463,179991.0,94.75813293457031,39.59,0.0003,1.1615679264068604,820000,204974,2607.02392578125
11759,-91393.22937803,183,4517,179025.609375,91.02733612060547,43.67,0.0003,2.06662917137146,830000,207474,2859.18310546875
11915,-93785.29827008997,183,4571,172952.734375,89.38401794433594,72.91,0.0003,1.2965631484985352,840000,209974,2799.234619140625
