time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,time/total_timesteps,train/n_updates,train/critic_loss
12037,-98276.43818812998,183,4626,172745.84375,87.64163208007812,79.91,0.0003,1.7376668453216553,850000,212474,2565.716064453125
12211,-101258.35440546,183,4680,155831.578125,85.50244903564453,56.07,0.0003,1.6310551166534424,860000,214974,2425.44384765625
12397,-102926.62328871999,183,4734,161973.5,82.81694030761719,54.26,0.0003,-1.0495800971984863,870000,217474,3077.014892578125
12597,-101697.37759034999,183,4789,167024.75,80.5711441040039,49.77,0.0003,-2.424856424331665,880000,219974,3179.2080078125
12821,-93152.17458451,183,4843,158824.0625,79.3929214477539,46.09,0.0003,2.342393398284912,890000,222474,2860.8154296875
13022,-91180.81759489,183,4897,162770.40625,76.59504699707031,51.84,0.0003,-1.9516104459762573,900000,224974,2709.12109375
13202,-92344.72689558,183,4951,152711.328125,75.4101791381836,58.47,0.0003,-0.2856850028038025,910000,227474,3494.07763671875
13341,-93884.67893545002,183,5006,145761.6875,73.70174407958984,65.66,0.0003,-0.10885661840438843,920000,229974,2554.724853515625
13485,-95689.58787515001,183,5060,165455.890625,72.42681121826172,72.96,0.0003,-0.6381937265396118,930000,232474,2900.990966796875
13833,-91052.74385440002,183,5115,156281.859375,71.19379425048828,27.45,0.0003,-0.6133311986923218,940000,234974,2701.919921875
14195,-90919.06322811997,183,5173,135010.421875,68.49455261230469,28.71,0.0003,2.3148300647735596,950000,237474,2545.57275390625
14337,-94622.37586397999,183,5231,145240.4375,66.31388854980469,68.32,0.0003,-1.7063465118408203,960000,239974,2700.03271484375
14347,-102240.83797103,183,5289,139078.265625,64.35197448730469,165.24,0.0003,-1.600187063217163,970000,242474,2991.015869140625
14357,-109543.56766822001,183,5347,128048.6015625,66.12831115722656,261.97,0.0003,1.5518131256103516,980000,244974,3071.453369140625
14367,-116821.41114006,183,5404,135703.375,68.60064697265625,357.96,0.0003,-0.27194905281066895,990000,247474,2738.94677734375
14377,-126888.50819122,183,5462,126480.7265625,69.30052185058594,454.36,0.0003,0.8813026547431946,1000000,249974,3344.181640625
