train/is_line_search_success,train/n_updates,time/fps,train/std,train/explained_variance,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/kl_divergence_loss,train/policy_objective,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean
1.0,1,2041,0.9959690570831299,-1.1920928955078125e-07,56.76,10000,5773355264.0,0.005191235803067684,0.06391877681016922,4,0.0013,-266372.32597271004
1.0,2,2043,0.9942694902420044,0.0,40.51,20000,4406768465.6,0.004278002306818962,0.04423303157091141,9,0.0013,-179282.502461
1.0,3,2054,0.9898157119750977,-2.384185791015625e-07,37.71,30000,3869865338.8,0.0042631011456251144,0.0450734905898571,14,0.0013,-156509.08885457
1.0,4,2054,0.9770516157150269,0.0,39.3,40000,3498036431.6,0.005247884429991245,0.03745727241039276,19,0.0013,-157177.35736116
1.0,6,1964,0.9773503541946411,-1.1920928955078125e-07,41.97,50000,3342536126.8,0.005105295218527317,0.039051495492458344,25,0.0013,-152270.07287977
1.0,7,1987,0.9649549126625061,1.1920928955078125e-07,36.57,60000,3321271213.2,0.004520808346569538,0.0433834008872509,30,0.0013,-139706.99076048
1.0,8,2006,0.9637546539306641,0.0,36.69,70000,3031005383.6,0.0047021168284118176,0.0462484136223793,34,0.0013,-137772.44929361998
1.0,9,2019,0.9599042534828186,5.960464477539063e-08,45.08,80000,3363714600.4,0.0052011627703905106,0.04826110973954201,39,0.0013,-143647.84116674997
1.0,10,2030,0.9608872532844543,5.960464477539063e-08,43.15,90000,2868569351.0,0.004982935264706612,0.04446893930435181,44,0.0013,-141118.09117756
1.0,12,1990,0.9598678946495056,5.960464477539063e-08,43.11,100000,2881258870.0,0.00507234875112772,0.054909538477659225,50,0.0013,-137625.11284156
1.0,13,2001,0.9564586281776428,0.0,45.01,110000,2579393378.4,0.0048580290749669075,0.048508863896131516,54,0.0013,-141373.15554232
1.0,14,2009,0.9617173075675964,0.0,48.23,120000,2646433781.2,0.006230705883353949,0.05162394791841507,59,0.0013,-137528.42174255
1.0,15,2013,0.9611982703208923,-1.1920928955078125e-07,55.57,130000,2519694023.4,0.004983766004443169,0.04873231053352356,64,0.0013,-145095.52265636
1.0,17,1983,0.9674618244171143,0.0,57.48,140000,2181785960.8,0.005873273592442274,0.05982192978262901,70,0.0013,-146737.8386205
1.0,18,1992,0.9589159488677979,1.7881393432617188e-07,67.81,150000,1808952222.4,0.006526422221213579,0.05829588323831558,75,0.0013,-141445.79541981
1.0,19,2000,0.96586012840271,0.0,78.63,160000,1766305722.4,0.0064370459876954556,0.060452114790678024,79,0.0013,-145277.05598108
1.0,20,2008,0.9541417360305786,0.0,91.35,170000,1519840296.2,0.005860611796379089,0.050214733928442,84,0.0013,-132227.91639809
1.0,21,2015,0.9464824199676514,0.0,105.77,180000,1364462961.7,0.005881175864487886,0.05098888278007507,89,0.0013,-129935.28387246
1.0,23,1971,0.9471450448036194,0.0,111.44,190000,1066345227.1,0.006667726673185825,0.05973195284605026,96,0.0013,-99171.61338856
1.0,24,1961,0.9422076344490051,0.0,103.53,200000,1253558679.1,0.006816568318754435,0.058948080986738205,101,0.0013,-105035.95909352001
1.0,25,1956,0.9304724931716919,-1.1920928955078125e-07,111.38,210000,1146429011.6,0.006287355441600084,0.05443805456161499,107,0.0013,-64233.98091273
