time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/return_std,train/step_size,train/iterations,train/delta_std
10000,3,-29936273.2243075,1000.0,3030,,,,,
20000,6,-19958437.552192833,670.3333333333334,3028,,,,,
30000,9,-20912400.4339192,703.0,3033,,,,,
40000,13,-20724445.789523922,695.4615384615385,3033,,,,,
50000,16,-29954848.942114502,1000.0,3003,0.0018,14888675.0,1.511215805272137e-11,0,0.05
60000,19,-17350942.394125715,581.7142857142857,3001,,,,,
70000,23,-17635327.622650668,592.1666666666666,3006,,,,,
80000,26,-19409213.252967786,650.4285714285714,3011,,,,,
90000,29,-29896553.459966,1000.0,3015,0.0018,14850319.0,1.5151189330930848e-11,1,0.05
100000,33,-29904740.6079275,1000.0,3019,,,,,
110000,36,-26165313.661702,876.25,3021,,,,,
120000,39,-26931213.689310897,901.0,3023,,,,,
130000,42,-27629087.079167925,923.8461538461538,3026,,,,,
140000,46,-291062.950113,16.5,3028,0.0018,10178397.0,2.2105641969694112e-11,2,0.05
150000,49,-11272467.244146125,383.375,3030,,,,,
160000,52,-14992304.8005079,506.7,3032,,,,,
170000,56,-18455633.786213003,620.5384615384615,3033,,,,,
180000,59,-19978711.60837267,671.1333333333333,3035,,,,,
190000,62,-19856261.25489,669.6666666666666,3036,0.0018,14210717.0,1.5833119537678186e-11,3,0.05
200000,65,-19944527.805114664,672.0,3037,,,,,
210000,69,-20956392.2082263,703.8,3038,,,,,
220000,72,-22438617.964146417,753.1666666666666,3039,,,,,
230000,75,,,3040,0.0018,13233756.0,1.700197621579136e-11,4,0.05
240000,78,-29887168.014334,1000.0,3038,,,,,
250000,82,-21330163.370431285,717.0,3039,,,,,
260000,85,-19019230.437989,640.5454545454545,3040,,,,,
270000,88,-21382434.340484858,717.5714285714286,3040,,,,,
280000,92,-29972394.833446,1000.0,3030,0.0018,14203033.0,1.584168560220256e-11,5,0.05
290000,96,-24026756.3090634,801.2,3020,,,,,
300000,99,-20049843.282502554,671.4444444444445,3010,,,,,
310000,103,-20780631.427919075,697.3076923076923,2995,,,,,
320000,107,-22002507.722090267,737.6666666666666,2978,,,,,
330000,111,-29868453.130132,1000.0,2969,0.0018,13270293.0,1.695516296806865e-11,6,0.05
340000,114,-29964958.610019002,1000.0,2963,,,,,
350000,118,-25905943.183743004,869.2857142857143,2957,,,,,
360000,122,-27055519.267774798,908.5,2949,,,,,
370000,125,-25410882.693414535,853.3846153846154,2942,,,,,
380000,129,,,2931,0.0018,9907152.0,2.2710864439057232e-11,7,0.05
390000,133,-29710980.651293002,1000.0,2916,,,,,
400000,137,-29823564.097485196,1000.0,2905,,,,,
410000,141,-20988858.088451304,704.6,2895,,,,,
420000,146,-23061958.428933464,772.7692307692307,2873,,,,,
430000,150,-23970781.599745203,803.0666666666667,2866,,,,,
440000,153,-29397767.317511998,1000.0,2857,0.0018,11969584.0,1.8797643996926183e-11,8,0.05
450000,157,-29695750.385528747,1000.0,2851,,,,,
460000,161,-26038401.625884,881.125,2844,,,,,
470000,165,-26829431.089972198,904.9,2843,,,,,
480000,169,-27556004.209708843,926.8461538461538,2838,,,,,
490000,173,,,2830,0.0018,9988007.0,2.2527016710349734e-11,9,0.05
500000,177,-11376873.284007125,383.625,2813,,,,,
510000,182,-15072165.927077299,506.9,2799,,,,,
520000,186,-17138543.84855786,577.0,2788,,,,,
530000,190,,,2779,0.0018,14856059.0,1.5145336373922902e-11,10,0.05
540000,194,-30067635.37740567,1000.0,2778,,,,,
550000,198,-30037695.4233196,1000.0,2773,,,,,
560000,202,-29975377.804553747,1000.0,2766,,,,,
570000,206,-29715208.4130027,1000.0,2761,,,,,
580000,210,-27640321.04613614,930.0714285714286,2761,,,,,
590000,213,,,2761,0.0018,7418993.0,3.0327563377285927e-11,11,0.05
600000,217,-29959952.99505067,1000.0,2759,,,,,
610000,221,-18803679.3071475,629.625,2758,,,,,
620000,224,-21855506.722840182,730.6363636363636,2756,,,,,
630000,228,-21456944.173171073,717.4285714285714,2753,,,,,
640000,232,-29449139.105689,1000.0,2754,0.0018,14275417.0,1.5761359231647454e-11,12,0.05
650000,235,-17115689.59924286,583.1428571428571,2755,,,,,
660000,239,-20962527.587195598,708.2,2754,,,,,
670000,243,-22410089.20879375,756.8333333333334,2754,,,,,
680000,246,,,2755,0.0018,13192417.0,1.7055251308462083e-11,13,0.05
690000,250,-29893597.929487,1000.0,2757,,,,,
700000,254,-21417047.882567,719.1428571428571,2753,,,,,
710000,257,-23322324.286916666,781.5555555555555,2755,,,,,
720000,260,-21440980.32257322,719.2142857142857,2759,,,,,
730000,264,-109826.089426,8.0,2763,0.0018,13314462.0,1.6898918028807053e-11,14,0.05
740000,267,-18108718.047792204,604.2,2766,,,,,
750000,270,-21495564.949369144,717.2857142857143,2770,,,,,
760000,274,-21766041.52586527,729.8181818181819,2769,,,,,
770000,278,-23037877.87490715,771.3846153846154,2765,,,,,
780000,282,,,2765,0.0018,12006934.0,1.8739171672721433e-11,15,0.05
790000,286,-20121996.101617333,672.3333333333334,2760,,,,,
800000,290,-24006211.2588728,803.4,2755,,,,,
810000,293,-19075372.65397691,641.4545454545455,2757,,,,,
820000,297,-20661956.89887362,696.6153846153846,2756,,,,,
830000,301,-15466034.277133001,524.5,2755,0.0018,14178652.0,1.5868925964945824e-11,16,0.05
840000,304,-15250580.278388666,513.3333333333334,2757,,,,,
850000,308,-20144532.080499668,675.5555555555555,2753,,,,,
860000,312,-21912655.02520064,734.5454545454545,2749,,,,,
870000,316,-23635663.93190364,791.4285714285714,2748,,,,,
880000,320,,,2744,0.0018,11877659.0,1.8943126581238978e-11,17,0.05
890000,324,-17988013.8349094,604.4,2741,,,,,
900000,329,-21350882.674783856,717.4285714285714,2734,,,,,
910000,333,-21756297.32374418,731.4545454545455,2730,,,,,
920000,337,-21393087.241980642,719.0714285714286,2728,,,,,
930000,341,-12105911.059395202,410.0,2726,0.0018,14192201.0,1.5853776624830118e-11,18,0.05
940000,344,-15114286.78507775,508.375,2725,,,,,
950000,348,-16239398.385273155,545.7692307692307,2722,,,,,
960000,352,-18030415.135938067,606.3333333333334,2721,,,,,
970000,356,-20111435.987852003,695.6666666666666,2718,0.0018,14834591.0,1.5167252870318393e-11,19,0.05
