train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss
57.671730041503906,3320.21533203125,75.34,130,165,10000,-1756005.7666754199,76,0.0064,-2.6082255840301514,2474,168094.171875
40.83734130859375,2815.021484375,35.57,128,432,20000,-440338.1739868199,156,0.0064,0.7443392276763916,4974,153104.28125
25.680294036865234,2360.20703125,16.41,127,886,30000,-247210.32837762998,235,0.0064,1.9265862703323364,7474,149174.578125
32.00060272216797,2352.36181640625,13.12,127,1445,40000,-209138.84000800998,314,0.0064,1.1932679414749146,9974,145028.15625
38.96534729003906,2662.153076171875,7.89,127,2375,50000,-161329.83945527,393,0.0064,-1.766916275024414,12474,135185.546875
35.91782760620117,2019.0906982421875,7.12,126,3742,60000,-154352.09487275,472,0.0064,-3.9990506172180176,14974,129038.4453125
26.962806701660156,1448.597412109375,7.01,126,5091,70000,-152724.66882209,553,0.0064,-3.7342116832733154,17474,120538.21875
19.82999610900879,1162.951416015625,7.23,126,6484,80000,-153773.91213332,634,0.0064,1.9589205980300903,19974,111009.1953125
16.252405166625977,849.6546020507812,7.35,125,7847,90000,-155085.43816854,716,0.0064,2.9616832733154297,22474,110159.03125
14.150993347167969,682.89111328125,7.09,125,9183,100000,-152094.77379326,797,0.0064,-2.0269551277160645,24974,109182.3203125
11.14151382446289,409.0933837890625,7.01,125,10572,110000,-151098.92580911,877,0.0064,2.647890567779541,27474,107624.875
8.841094970703125,266.30120849609375,7.59,125,11961,120000,-155634.87397565998,957,0.0064,0.1655639410018921,29974,107093.0703125
8.672833442687988,367.4891662597656,7.49,125,13275,130000,-155221.15224865,1037,0.0064,0.8363072276115417,32474,107182.703125
7.660224437713623,248.10348510742188,7.44,125,14635,140000,-154117.545913,1117,0.0064,0.15122312307357788,34974,106880.578125
7.629459381103516,366.13421630859375,8.12,125,15948,150000,-161773.3839199,1197,0.0064,-0.24820441007614136,37474,107023.4609375
7.268420219421387,481.72235107421875,7.2,125,17291,160000,-152600.21284351998,1278,0.0064,0.990379273891449,39974,107239.5625
6.353067874908447,388.3328857421875,7.0,125,18670,170000,-150907.7543682,1359,0.0064,-1.329232096672058,42474,107226.28125
6.061321258544922,407.8658142089844,7.07,124,20060,180000,-151339.83780603,1441,0.0064,-0.5759068131446838,44974,106628.5703125
5.8895673751831055,306.7183837890625,7.0,124,21461,190000,-150884.83944463,1523,0.0064,0.8199663162231445,47474,106940.8828125
5.895827770233154,314.06988525390625,7.0,124,22867,200000,-150928.73829140997,1605,0.0064,1.2789605855941772,49974,106208.78125
5.363871097564697,282.88330078125,7.02,124,24248,210000,-151026.16267102002,1688,0.0064,1.4358758926391602,52474,106485.5078125
5.263271808624268,264.70001220703125,7.11,124,25654,220000,-152018.95967297,1771,0.0064,-0.675274133682251,54974,106912.9140625
4.54322624206543,161.393798828125,7.0,123,27073,230000,-150832.00877724,1855,0.0064,-1.4714956283569336,57474,106550.3359375
4.364786148071289,150.80540466308594,7.14,123,28488,240000,-152214.61705112,1939,0.0064,-0.1314990371465683,59974,106553.59375
4.821269512176514,170.74880981445312,7.09,123,29876,250000,-151637.53282693998,2023,0.0064,-0.6834642887115479,62474,106204.53125
4.820730209350586,226.79246520996094,7.19,123,31252,260000,-152779.44461462,2106,0.0064,-2.4313743114471436,64974,106873.0234375
4.911794662475586,192.00643920898438,7.17,123,32636,270000,-152873.47109255998,2191,0.0064,1.08608078956604,67474,106718.046875
4.934216499328613,214.3957977294922,7.23,123,33988,280000,-153146.93555084,2275,0.0064,-3.157726764678955,69974,107412.3984375
4.778863430023193,170.08485412597656,7.28,122,35366,290000,-154346.07081515,2360,0.0064,0.6156296730041504,72474,106415.8984375
4.973260402679443,242.9317169189453,7.08,122,36770,300000,-151423.14199190002,2448,0.0064,-1.5415624380111694,74974,105835.8203125
4.695842266082764,194.35150146484375,7.08,122,38167,310000,-151545.58821464,2537,0.0064,1.0697119235992432,77474,106494.6015625
4.496617317199707,230.70953369140625,7.0,121,39566,320000,-150825.19331583998,2627,0.0064,0.9236114025115967,79974,105816.625
4.606878280639648,255.5216064453125,7.0,121,40980,330000,-150770.69527585,2717,0.0064,-2.0805246829986572,82474,106484.0234375
4.620856761932373,147.5978240966797,7.22,121,42374,340000,-152809.82522164003,2807,0.0064,1.0886014699935913,84974,106546.9140625
5.1087212562561035,161.1000518798828,7.0,120,43769,350000,-150773.18705582002,2896,0.0064,1.0533090829849243,87474,105930.4765625
4.096811771392822,120.14850616455078,7.01,120,45181,360000,-150933.30133272999,2985,0.0064,1.1457245349884033,89974,106299.578125
6.083916664123535,224.6488037109375,7.0,120,46474,370000,-150895.41658185,3074,0.0064,-0.5333716869354248,92474,107030.8515625
7.492308139801025,256.1777038574219,7.01,120,47841,380000,-151122.26724174002,3164,0.0064,-0.743781328201294,94974,107440.71875
7.363521575927734,314.43695068359375,7.23,119,49159,390000,-153030.96729275997,3253,0.0064,-1.3866924047470093,97474,107659.4375
7.801167011260986,455.9085998535156,7.18,119,50507,400000,-152519.31883658,3342,0.0064,-6.464199066162109,99974,109074.7421875
8.275618553161621,361.8114929199219,7.74,119,51836,410000,-158662.90423740997,3432,0.0064,-3.397217273712158,102474,107896.46875
10.6408109664917,347.9925537109375,7.12,119,53229,420000,-151951.55921783,3522,0.0064,3.6089892387390137,104974,107085.5390625
9.944891929626465,428.48101806640625,7.21,119,54587,430000,-152627.82286337,3612,0.0064,1.2495440244674683,107474,107639.53125
8.745579719543457,302.5962219238281,7.02,118,55980,440000,-151063.77109342997,3701,0.0064,0.2319190800189972,109974,107656.4453125
8.475924491882324,401.8106384277344,7.02,118,57375,450000,-151016.8894903,3790,0.0064,-1.1942644119262695,112474,107870.0390625
7.31695032119751,298.69134521484375,7.04,118,58789,460000,-151197.66337201,3880,0.0064,-1.1727674007415771,114974,106973.8359375
6.9639105796813965,337.60308837890625,7.08,118,60204,470000,-151550.25985221998,3970,0.0064,-2.823042154312134,117474,107167.296875
6.471635818481445,227.45033264160156,7.08,118,61590,480000,-151496.68213233,4059,0.0064,0.3051927983760834,119974,106710.671875
7.644814491271973,196.44215393066406,8.97,118,62909,490000,-179127.44217894002,4148,0.0064,-1.9009833335876465,122474,106545.46875
8.679616928100586,222.16065979003906,9.82,117,64234,500000,-199875.3440176,4237,0.0064,1.429663896560669,124974,107340.4609375
8.462514877319336,612.7739868164062,7.39,117,65563,510000,-154863.12956657,4327,0.0064,-2.8432369232177734,127474,110051.7578125
8.650761604309082,299.48297119140625,7.12,117,66922,520000,-151832.01147626,4416,0.0064,5.640700817108154,129974,107138.4921875
8.043047904968262,356.1651611328125,7.02,117,68274,530000,-151048.64201999997,4506,0.0064,1.6368651390075684,132474,107774.296875
10.555061340332031,553.2011108398438,7.02,117,69672,540000,-151020.6318226,4596,0.0064,3.7130157947540283,134974,108073.671875
9.837388038635254,695.7954711914062,7.04,117,71053,550000,-151158.36675344,4686,0.0064,-0.744407594203949,137474,108306.890625
7.685705661773682,469.5050964355469,7.11,117,72454,560000,-152046.80764716002,4777,0.0064,-4.382627964019775,139974,107514.8515625
5.9524946212768555,301.6246337890625,7.09,117,73864,570000,-151366.44568514999,4869,0.0064,-3.0028743743896484,142474,107116.53125
5.7253570556640625,240.26541137695312,7.01,116,75267,580000,-150846.18474372,4960,0.0064,-3.5256612300872803,144974,107003.7890625
6.002407550811768,138.0515899658203,7.0,116,76677,590000,-150726.32457109,5051,0.0064,-1.1756293773651123,147474,106529.765625
5.003809928894043,157.88209533691406,7.0,116,78092,600000,-150720.32894287,5141,0.0064,0.1491464376449585,149974,106088.46875
7.915281295776367,137.8643035888672,9.18,116,79440,610000,-219181.97038088003,5232,0.0064,4.402570724487305,152474,106481.125
5.73078727722168,90.78609466552734,7.08,116,80859,620000,-151460.73591279003,5323,0.0064,2.6310007572174072,154974,105704.9765625
5.828126430511475,148.17344665527344,7.11,116,82241,630000,-151962.73504768,5414,0.0064,0.17068733274936676,157474,106898.1953125
6.297649383544922,166.46168518066406,7.12,116,83651,640000,-152007.99880624,5505,0.0064,0.31511637568473816,159974,106758.4375
5.840618133544922,170.55487060546875,7.0,116,85067,650000,-150764.46604431001,5596,0.0064,2.3152577877044678,162474,106044.1875
5.942521572113037,114.68453979492188,7.13,116,86469,660000,-152465.77229522,5687,0.0064,1.2537665367126465,164974,106111.8359375
6.78336763381958,160.5281219482422,7.09,115,87884,670000,-151664.82436851002,5778,0.0064,-1.9720935821533203,167474,106586.7265625
8.035429000854492,141.4467010498047,7.97,115,89240,680000,-174586.69567729003,5868,0.0064,5.197459697723389,169974,106369.6015625
7.235325336456299,230.11386108398438,7.34,115,90590,690000,-154519.59265671,5959,0.0064,0.7330214977264404,172474,107276.0859375
