rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/learning_rate,train/ent_coef_loss,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
25.72,-477271.22957289004,2474,135,0.0064,-3.5058579444885254,73,166149.015625,10000,62.49112319946289,295,7525.2548828125
23.2,-297690.11727742,4974,133,0.0064,-4.7448835372924805,149,159214.9375,20000,66.59734344482422,732,6140.03271484375
21.01,-170639.27385971003,7474,133,0.0064,-1.9264165163040161,224,129461.796875,30000,55.06644821166992,1335,4922.6552734375
28.99,-221507.57336557002,9974,133,0.0064,-5.231178283691406,300,106176.7734375,40000,50.23872756958008,1771,3981.7412109375
29.16,-248019.99367512,12474,132,0.0064,0.16616368293762207,376,88801.75,50000,45.971561431884766,2108,4059.982666015625
41.14,-381655.63934222,14974,132,0.0064,3.5980021953582764,453,77060.4375,60000,49.299556732177734,2340,3800.874267578125
22.92,-154603.55070832002,17474,131,0.0064,-0.9771792888641357,530,62487.796875,70000,45.174739837646484,2648,3913.494873046875
47.65,-325871.63928619993,19974,131,0.0064,2.142648935317993,608,47393.015625,80000,35.892513275146484,2878,4295.5263671875
44.47,-272977.14897921,22474,131,0.0064,-9.56592082977295,686,40768.59765625,90000,33.94770812988281,3128,5217.328125
34.88,-236792.42438362003,24974,130,0.0064,3.159597873687744,764,32410.876953125,100000,36.852046966552734,3380,5058.74169921875
46.12,-278010.66400329006,27474,130,0.0064,-2.0662944316864014,842,23760.919921875,110000,36.936710357666016,3567,5231.38916015625
48.5,-454145.82150647993,29974,130,0.0064,-1.442323923110962,920,16698.19140625,120000,37.22512435913086,3810,5256.52685546875
24.1,-113098.92406057999,32474,130,0.0064,-2.9907631874084473,998,7514.22705078125,130000,36.34730529785156,4034,5085.666015625
62.09,-330276.79582225,34974,129,0.0064,-3.658634901046753,1077,8399.6318359375,140000,34.01813888549805,4233,5263.01611328125
47.2,-158622.46964057002,37474,129,0.0064,-2.830657958984375,1155,3181.054931640625,150000,31.601110458374023,4409,4299.578125
71.01,-306911.01882168,39974,129,0.0064,4.393435478210449,1233,-1847.3131103515625,160000,31.96400260925293,4554,3678.703857421875
