rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/delta_std,train/step_size,rollout/return_std,train/iterations,train/learning_rate
404.0,-16126503.9053226,1924,5,10000,,,,,
503.75,-20125759.853620254,1911,10,20000,,,,,
541.6153846153846,-21660876.977834847,1906,15,30000,,,,,
602.7333333333333,-24126023.604238737,1907,20,40000,,,,,
411.0,-16394766.345220398,1865,26,50000,0.05,1.2518373837533403e-10,19970644.0,0,0.02
509.25,-20294717.515646376,1875,31,60000,,,,,
643.0909090909091,-25694004.45568273,1884,37,70000,,,,,
698.0,-27917264.97904823,1889,42,80000,,,,,
364.0,-14381087.432248333,1892,47,90000,0.05,1.3196424508699067e-10,18944524.0,1,0.02
517.6666666666666,-20626607.0494575,1894,52,100000,,,,,
611.1,-24433288.4477019,1884,58,110000,,,,,
257.75,-10222249.810657252,1884,63,120000,0.05,1.2293026319110112e-10,20336734.0,2,0.02
508.625,-20298876.009503625,1887,68,130000,,,,,
606.9,-24259703.0029168,1890,74,140000,,,,,
8.0,-197523.629423,1880,79,150000,0.05,1.2266253290871276e-10,20381122.0,3,0.02
235.55555555555554,-9329795.63548311,1883,84,160000,,,,,
297.57142857142856,-11820256.530767785,1886,90,170000,,,,,
338.0,-13478017.099377,1886,95,180000,0.05,1.262740884078184e-10,19798204.0,4,0.02
602.8,-24151673.2478214,1888,100,190000,,,,,
,,1890,105,200000,0.05,1.2498876933442205e-10,20001798.0,5,0.02
668.6666666666666,-26770509.364234,1892,110,210000,,,,,
388.2307692307692,-15498197.337609462,1894,116,220000,,,,,
469.8,-18773753.7870908,1896,121,230000,,,,,
337.3333333333333,-13484573.277133333,1896,126,240000,0.05,1.212761557844999e-10,20614110.0,6,0.02
503.0,-20135299.95785,1898,131,250000,,,,,
542.5384615384615,-21722328.018956542,1899,136,260000,,,,,
340.0,-13537936.341107666,1900,142,270000,0.05,1.2147484407254439e-10,20580392.0,7,0.02
448.22222222222223,-17938800.650103778,1901,147,280000,,,,,
432.2857142857143,-17293281.46554893,1902,152,290000,,,,,
505.5,-20196585.191053,1903,157,300000,0.05,1.2206918809098966e-10,20480188.0,8,0.02
337.75,-13503645.860160666,1904,162,310000,,,,,
470.2,-18832828.31329293,1905,167,320000,,,,,
258.0,-10267881.41915275,1905,173,330000,0.05,1.2100259683123227e-10,20660714.0,9,0.02
504.625,-20223216.97642725,1905,178,340000,,,,,
507.4166666666667,-20307375.007809166,1906,183,350000,,,,,
