rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/delta_std,train/step_size,rollout/return_std,train/iterations,train/learning_rate
254.0,-10143770.526607499,1907,188,360000,0.05,1.2159720452764589e-10,20559682.0,10,0.02
502.6666666666667,-20177108.684405,1907,193,370000,,,,,
461.6363636363636,-18475955.324393,1905,199,380000,,,,,
5.666666666666667,-146226.62679500002,1905,204,390000,0.05,1.2133503923816846e-10,20604104.0,11,0.02
171.08333333333334,-6817076.889005917,1905,209,400000,,,,,
336.8666666666667,-13483100.239866532,1904,215,410000,,,,,
172.0,-6810441.995536334,1905,220,420000,0.05,1.2493775458644052e-10,20009964.0,12,0.02
271.26666666666665,-10815336.088936869,1906,225,430000,,,,,
336.6666666666667,-13483384.391645,1907,230,440000,0.05,1.3054611558427354e-10,19150320.0,13,0.02
448.44444444444446,-17952777.49240611,1907,235,450000,,,,,
472.3076923076923,-18906971.161692385,1908,240,460000,,,,,
1000.0,-40251444.766836,1910,246,470000,0.05,1.2220259526518618e-10,20457830.0,14,0.02
378.0,-15152463.619619373,1910,251,480000,,,,,
5.0,-124317.819189,1911,256,490000,0.05,1.25216378932258e-10,19965438.0,15,0.02
138.13333333333333,-5487635.146564867,1910,261,500000,,,,,
505.0,-20237337.458728004,1910,266,510000,0.05,1.550174155706685e-10,16127220.0,16,0.02
503.625,-20180027.921196878,1910,272,520000,,,,,
4.0,-124799.19491166668,1911,277,530000,0.05,1.251192344176033e-10,19980942.0,17,0.02
,,1911,282,540000,0.05,1.551049566561602e-10,16118118.0,18,0.02
288.7142857142857,-11582361.220200429,1911,287,550000,,,,,
,,1911,292,560000,0.05,1.3039691548755172e-10,19172232.0,19,0.02
338.6666666666667,-13511627.189730167,1911,298,570000,,,,,
95.36363636363636,-3781398.2761355448,1911,303,580000,0.05,1.3990789082818367e-10,17868898.0,20,0.02
3.6666666666666665,-114507.55821166666,1911,308,590000,0.05,1.5479070802904005e-10,16150840.0,21,0.02
255.41666666666666,-10194445.788533166,1912,313,600000,,,,,
3.0,-111302.2062,1913,318,610000,0.05,1.3059331394060791e-10,19143398.0,22,0.02
217.35714285714286,-8702803.06620743,1913,323,620000,,,,,
9.0,-88250.0,1914,329,630000,0.05,1.3036735579952108e-10,19176580.0,23,0.02
336.8333333333333,-13481760.255253332,1913,334,640000,,,,,
419.25,-16825059.814057082,1913,339,650000,,,,,
3.3333333333333335,-118178.46928366668,1913,344,660000,0.05,2.494824347110125e-10,10020745.0,25,0.02
80.07692307692308,-3194554.8389773075,1913,350,670000,0.05,1.8273149660075205e-10,13681276.0,26,0.02
70.0,-2786728.668734868,1913,355,680000,0.05,1.8280878200105377e-10,13675491.0,27,0.02
145.57142857142858,-5837359.724913286,1913,360,690000,0.05,3.508356485326658e-07,7125.84326171875,30,0.02
127.625,-5122558.063052875,1914,365,700000,0.05,1.8268164758694638e-10,13685008.0,31,0.02
252.0,-10133420.997967,1914,370,710000,0.05,1.5518253349000588e-10,16110060.0,32,0.02
93.45454545454545,-3738365.69296,1914,376,720000,0.05,5.091669095236284e-07,4909.98095703125,34,0.02
2.0,-106425.668123,1914,381,730000,0.05,2.4950486121610993e-10,10019845.0,36,0.02
2.533333333333333,-109051.84752573335,1915,386,740000,0.05,2.495507966937538e-10,10018000.0,39,0.02
3.142857142857143,-114755.91185442857,1916,391,750000,0.05,2.499498941155309e-10,10002005.0,41,0.02
3.0,-111698.60773799999,1917,396,760000,0.05,2.492998585346129e-10,10028084.0,44,0.02
2.142857142857143,-104073.57559471429,1917,401,770000,0.05,2.4933918818526024e-10,10026502.0,46,0.02
2.111111111111111,-103049.88682144444,1915,407,780000,0.05,2.3409372715832433e-06,1067.9482421875,68,0.02
2.0,-102115.317135,1913,412,790000,0.05,2.6769839678308927e-06,933.8868408203125,93,0.02
2.0,-102115.317135,1911,418,800000,0.05,1.2392778396606445,0.0020171788055449724,120,0.02
2.0,-102115.31713499999,1905,424,810000,0.05,20000.0,0.0,175,0.02
2.0,-102115.317135,1898,431,820000,0.05,20000.0,0.0,253,0.02
2.0,-102115.317135,1891,438,830000,0.05,20000.0,0.0,331,0.02
2.0,-102115.317135,1885,445,840000,0.05,20000.0,0.0,394,0.02
2.0,-102115.317135,1880,452,850000,0.05,20000.0,0.0,456,0.02
2.0,-102115.317135,1873,458,860000,0.05,20000.0,0.0,534,0.02
2.0,-102115.317135,1867,465,870000,0.05,20000.0,0.0,612,0.02
2.0,-102115.31713499999,1861,472,880000,0.05,20000.0,0.0,690,0.02
,,1854,479,890000,0.05,20000.0,0.0,769,0.02
2.0,-102115.317135,1849,486,900000,0.05,20000.0,0.0,847,0.02
2.0,-102115.317135,1843,493,910000,0.05,20000.0,0.0,925,0.02
2.0,-102115.317135,1834,501,920000,0.05,20000.0,0.0,1003,0.02
2.0,-102115.317135,1825,509,930000,0.05,20000.0,0.0,1081,0.02
2.0,-102115.317135,1818,516,940000,0.05,20000.0,0.0,1128,0.02
2.0,-102115.317135,1809,524,950000,0.05,20000.0,0.0,1206,0.02
2.0,-102115.317135,1801,532,960000,0.05,20000.0,0.0,1284,0.02
2.0,-102115.31713499999,1792,541,970000,0.05,20000.0,0.0,1362,0.02
2.0,-102115.31713499998,1784,549,980000,0.05,20000.0,0.0,1440,0.02
2.0,-102115.317135,1776,557,990000,0.05,20000.0,0.0,1519,0.02
2.0,-102115.317135,1768,565,1000000,0.05,20000.0,0.0,1597,0.02
