train/value_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/explained_variance
40028408448.0,0.0002965641,0.2,33.75,-0.0011283443673164584,-21.28365338742733,0.999943196773529,0.0,0.0003,10000,852,-562734.38801106,11,10,20209618944.0,-5.960464477539062e-07
38400148464.0,0.0003390699,0.2,35.38,-0.001266379874505219,-21.28311095684767,0.9999290704727173,0.0,0.0003,20000,875,-575582.7758494499,22,20,18057240576.0,1.1920928955078125e-07
38198071432.0,0.000324333,0.2,39.23,-0.001183660642527684,-21.283779914677144,1.0000332593917847,0.0,0.0003,30000,881,-637980.7421087701,34,30,20289968128.0,0.0
38585824164.8,0.0002418824,0.2,33.23,-0.0009623845220630755,-21.28421531021595,0.9999843835830688,0.0,0.0003,40000,882,-542109.53579936,45,40,17826418688.0,1.1920928955078125e-07
35577018195.2,0.0004433775,0.2,31.04,-0.0015680647176850471,-21.284028668701648,1.0000156164169312,0.0,0.0003,50000,817,-505309.02266332,61,60,19398084608.0,0.0
37603778697.6,0.00023766089,0.2,36.5,-0.0008765968210354913,-21.28428980410099,1.0000087022781372,0.0,0.0003,60000,829,-594393.21931801,72,70,18329505792.0,1.7881393432617188e-07
37917036412.8,0.00019164782,0.2,34.72,-0.000773654252407141,-21.28426624983549,1.0000160932540894,0.0,0.0003,70000,839,-564166.5768802899,83,80,17316628480.0,0.0
37199099774.4,9.918207e-05,0.2,34.32,-0.0004873731746556587,-21.283946949243546,0.9999677538871765,0.0,0.0003,80000,846,-554548.21571086,94,90,18536638464.0,0.0
37591618761.6,0.00014520442,0.2,31.27,-0.0006534641895996173,-21.28325239121914,0.9999229311943054,0.0,0.0003,90000,853,-514888.8012737501,105,100,19929700352.0,0.0
36010022305.6,0.00014342429,0.2,29.83,-0.0006231683470105054,-21.281923289597035,0.9998384714126587,0.0,0.0003,100000,824,-492743.97683159006,121,120,16984249344.0,1.1920928955078125e-07
34646195188.8,0.00029080338,0.2,35.65,-0.001066607126085728,-21.28046118915081,0.9996812343597412,0.0,0.0003,110000,830,-586154.3073099,132,130,17670803456.0,1.1920928955078125e-07
36710460411.2,0.00021311548,0.2,26.93,-0.0008458422036710545,-21.279106031358243,0.9996538758277893,0.0,0.0003,120000,835,-455115.15710546984,143,140,16980323328.0,0.0
35336663747.2,0.00016430355,0.2,34.06,-0.0006501741274405504,-21.278684510290624,0.9996310472488403,0.0,0.0003,130000,839,-558834.6662978601,154,150,17879232512.0,0.0
37105206667.2,9.5808544e-05,0.2,29.91,-0.0004683631841544411,-21.27891708612442,0.9996492862701416,0.0,0.0003,140000,816,-485195.43157420005,171,170,17287061504.0,0.0
36343958308.8,0.000101217054,0.2,27.14,-0.0004589666228639544,-21.27833028137684,0.9995827078819275,0.0,0.0003,150000,820,-455840.34922612,182,180,16483153920.0,-1.1920928955078125e-07
35847918574.4,0.00010170357,0.2,27.42,-0.0005699285909940954,-21.277896766364574,0.9995920658111572,0.0,0.0003,160000,823,-450994.7558956099,194,190,18459734016.0,0.0
33781078448.0,0.00030018575,0.2,31.96,-0.001079340237629367,-21.27787150144577,0.9995835423469543,0.0,0.0003,170000,825,-521333.0185606299,205,200,16606144512.0,1.1920928955078125e-07
36452002958.4,9.9774494e-05,0.2,30.84,-0.0004907055941657745,-21.27709032446146,0.9994820952415466,0.0,0.0003,180000,828,-501982.33420862,217,210,17206075392.0,0.0
37202410996.8,7.0119975e-05,0.2,31.18,-0.0003399286892090458,-21.277356213331224,0.9995622634887695,0.0,0.0003,190000,814,-512105.31786685996,233,230,17958062080.0,0.0
37477769588.8,4.67387e-05,0.2,29.36,-0.0003078160461882362,-21.277325896918775,0.9995400309562683,0.0,0.0003,200000,817,-480121.32334023,244,240,20141801472.0,5.960464477539063e-08
37220290486.4,7.516535e-05,0.2,24.36,-0.0004396767904836452,-21.27747126817703,0.9995793700218201,0.0,0.0003,210000,820,-413132.48908948986,256,250,17749413888.0,1.7881393432617188e-07
35762233347.2,0.00015172224,0.2,29.45,-0.0006464724621764617,-21.27789325863123,0.9996001124382019,0.0,0.0003,220000,822,-476841.7659943601,267,260,16660926464.0,0.0
34776621118.4,9.600329e-05,0.2,27.82,-0.0004479120418181992,-21.277464972436427,0.9995302557945251,0.0,0.0003,230000,811,-453468.7817515701,283,280,17193316352.0,0.0
34668389105.6,7.748416e-05,0.2,26.4,-0.0004336059424076666,-21.277523800730705,0.9995960593223572,0.0,0.0003,240000,814,-434356.00193810003,294,290,16741660672.0,1.1920928955078125e-07
33317790912.0,0.000117321986,0.2,25.7,-0.0005104189625853905,-21.278247945010662,0.9996253848075867,0.0,0.0003,250000,817,-431988.56615737994,305,300,17749129216.0,0.0
34312919054.4,0.00013286108,0.2,24.48,-0.0006318905199805159,-21.278976686298847,0.9996961951255798,0.0,0.0003,260000,818,-411237.75617693,317,310,16845270016.0,-2.384185791015625e-07
33652143718.4,0.00014954575,0.2,28.2,-0.0006839148421931895,-21.279165452718736,0.9996499419212341,0.0,0.0003,270000,819,-463040.59101697,329,320,16894322688.0,-1.1920928955078125e-07
34948171193.6,0.00017090811,0.2,24.2,-0.000680324132554233,-21.279210740327834,0.9996944665908813,0.0,0.0003,280000,808,-401280.43615856,346,340,17639213056.0,5.960464477539063e-08
32839302953.6,6.7618326e-05,0.2,23.17,-0.0003856985014863312,-21.279320439696313,0.9996736645698547,0.0,0.0003,290000,810,-386845.6223079499,358,350,15908500480.0,-1.1920928955078125e-07
33542185499.2,0.00016593417,0.2,29.33,-0.0006813935136051441,-21.278348234295844,0.9995679259300232,0.0,0.0003,300000,809,-478828.17047483,370,360,16412270592.0,-1.1920928955078125e-07
36173571760.0,0.0001982229,0.2,26.67,-0.0008250611979747191,-21.277244132757186,0.9995190501213074,0.0,0.0003,310000,810,-442093.53729072004,382,370,17983623168.0,0.0
36363396176.0,0.0001393238,0.2,29.63,-0.0006348271712340647,-21.27553921788931,0.9994156360626221,0.0,0.0003,320000,800,-488688.6298559,399,390,19007201280.0,0.0
32557535025.6,7.998493e-05,0.2,26.13,-0.00044440417768782937,-21.2756287753582,0.9994588494300842,0.0,0.0003,330000,802,-431994.1741488701,411,400,14831990784.0,-1.1920928955078125e-07
34236110977.6,9.3826486e-05,0.2,27.12,-0.0004789999004060519,-21.275449787080287,0.9993888139724731,0.0,0.0003,340000,804,-444613.11198412,422,410,16627312640.0,-1.1920928955078125e-07
35754019969.6,0.00010514638,0.2,27.01,-0.0005276751526253065,-21.274900697171688,0.9993904829025269,0.0,0.0003,350000,806,-450496.35474890994,434,420,14930753536.0,0.0
37077177851.2,5.4155782e-05,0.2,25.52,-0.00038041548505134414,-21.274314427375792,0.999311089515686,0.0,0.0003,360000,807,-423704.6786108,445,430,21143953408.0,-1.1920928955078125e-07
34784446923.2,0.000104513725,0.2,27.75,-0.0005294939350278582,-21.273695984482764,0.9992943406105042,0.0,0.0003,370000,801,-459909.53141868,461,450,17214820352.0,0.0
34140910316.8,6.7989364e-05,0.2,29.98,-0.0004465572108529159,-21.273390278220177,0.9992853403091431,0.0,0.0003,380000,802,-484603.35702957,473,460,17435838464.0,1.1920928955078125e-07
33743844995.2,0.0001736842,0.2,29.54,-0.0007361845353443641,-21.27305761575699,0.9992460608482361,0.0,0.0003,390000,803,-476701.6041796299,485,470,17722685440.0,0.0
33812151310.4,9.419167e-05,0.2,28.05,-0.00047895328207232525,-21.27206977456808,0.9991553425788879,0.0,0.0003,400000,804,-458735.43618558,497,480,18695135232.0,1.1920928955078125e-07
34783919252.8,0.0001482287,0.2,28.73,-0.0006578046923095826,-21.271426843106745,0.9991865158081055,0.0,0.0003,410000,796,-471893.80841868004,514,500,16658173952.0,1.1920928955078125e-07
33836358950.4,0.00011122976,0.2,30.95,-0.000552824745500402,-21.272056207060814,0.9992108941078186,0.0,0.0003,420000,797,-505145.7770859499,526,510,17561649152.0,1.7881393432617188e-07
34031700424.0,8.1669685e-05,0.2,25.75,-0.0004612273299244407,-21.27227775901556,0.9992162585258484,0.0,0.0003,430000,798,-433375.87593081995,538,520,18001563648.0,0.0
36320043222.4,9.637216e-05,0.2,30.16,-0.0005572418247538735,-21.272482289373876,0.9992396235466003,0.0,0.0003,440000,799,-495912.5351504,550,530,15605214208.0,0.0
36912308851.2,8.010554e-05,0.2,27.4,-0.0004253409235388972,-21.272338773310185,0.9991962313652039,0.0,0.0003,450000,800,-450054.33227123,562,540,16354620416.0,-1.1920928955078125e-07
32726653004.8,7.348184e-05,0.2,24.02,-0.0003659428779428708,-21.272530800104143,0.9992634654045105,0.0,0.0003,460000,794,-401608.86681671,579,560,15968307200.0,0.0
32514080110.4,0.00011704204,0.2,29.13,-0.0005445679784315871,-21.272615110874177,0.9992114901542664,0.0,0.0003,470000,795,-476828.83243550005,590,570,15342538752.0,-1.1920928955078125e-07
34061023675.2,0.00013675512,0.2,26.04,-0.0005945033200987382,-21.272420367598535,0.9992359280586243,0.0,0.0003,480000,796,-428418.4424684099,602,580,17114873856.0,0.0
32756566572.8,9.896913e-05,0.2,27.69,-0.00048266368030454033,-21.272973322868346,0.9992821216583252,0.0,0.0003,490000,798,-448741.77536428004,613,590,18064558080.0,-1.1920928955078125e-07
33716205532.8,9.704779e-05,0.2,31.47,-0.0005202368574828142,-21.272785478830336,0.9991929531097412,0.0,0.0003,500000,793,-506965.1203244301,630,610,17944803328.0,1.1920928955078125e-07
34244304680.0,0.00018531334,0.2,22.86,-0.0008102961098302331,-21.27254369854927,0.9992722868919373,0.0,0.0003,510000,794,-382076.38418570004,641,620,14532481024.0,1.1920928955078125e-07
32934883852.8,5.2388925e-05,0.2,30.59,-0.00030782549220020883,-21.27355596870184,0.9993240237236023,0.0,0.0003,520000,796,-499520.8715854901,653,630,17890881536.0,1.1920928955078125e-07
33824586880.0,0.000110302826,0.2,24.44,-0.000503454663521552,-21.273933839797973,0.9993302822113037,0.0,0.0003,530000,798,-403019.31339360995,664,640,15634110464.0,0.0
