rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,train/actor_loss
-171726.85898037002,2474,66,10000,649,150,76.80853271484375,0.0064,6.0,-1.3394368886947632,9755.9892578125,251285.21875
-516146.24037994986,4974,134,20000,1627,149,77.1702880859375,0.0064,13.71,0.44372645020484924,9334.1875,348442.65625
-160254.93131493998,7474,202,30000,3356,148,90.95665740966797,0.0064,5.0,-5.318105697631836,12857.0390625,309042.21875
-158563.14745044,9974,271,40000,5048,147,74.49292755126953,0.0064,5.0,-2.924114227294922,13121.6630859375,308759.90625
-164823.22408589,12474,339,50000,6951,147,75.83209991455078,0.0064,5.26,-1.9328806400299072,9637.1806640625,255862.875
-157837.44484455,14974,408,60000,8947,146,58.91499328613281,0.0064,5.0,-0.8483991622924805,9795.84375,276359.34375
-610530.14007401,17474,478,70000,10467,146,69.97222137451172,0.0064,18.86,-6.131400108337402,8192.216796875,224427.125
-145604.23333946,19974,547,80000,11376,146,64.53176879882812,0.0064,5.51,-0.9033847451210022,5893.5283203125,236655.015625
-135677.80589073003,22474,619,90000,13692,145,58.62609100341797,0.0064,4.35,-2.482335090637207,5923.72412109375,182440.125
-129385.27760609999,24974,689,100000,15916,145,42.32380294799805,0.0064,4.16,2.479308605194092,3288.0302734375,146785.71875
-125769.75196247999,27474,757,110000,18365,145,33.93179702758789,0.0064,4.01,-6.279609680175781,3958.66650390625,156105.125
-125396.84835292002,29974,827,120000,20793,144,30.32154655456543,0.0064,4.05,0.6598036289215088,3242.115478515625,145213.578125
-1498109.37502537,32474,897,130000,22079,144,36.17736053466797,0.0064,33.04,2.5112738609313965,3401.325927734375,177578.796875
-132407.67738233003,34974,965,140000,23436,144,36.21881103515625,0.0064,4.28,-7.566779613494873,4184.43212890625,199118.171875
-124826.41018683997,37474,1035,150000,25927,144,27.805635452270508,0.0064,4.0,-4.876616954803467,4579.6064453125,176811.125
-124655.96838644001,39974,1107,160000,28422,144,26.92343521118164,0.0064,4.0,-3.363168954849243,2417.1240234375,176686.828125
-128239.97612635,42474,1176,170000,30753,144,24.65638542175293,0.0064,4.46,-4.573166847229004,1618.6544189453125,169760.109375
-125244.86025984997,44974,1245,180000,33163,144,26.143430709838867,0.0064,4.13,7.588664531707764,1080.5718994140625,149163.859375
-127086.11339938999,47474,1314,190000,35507,144,25.50847053527832,0.0064,4.43,-1.0101884603500366,3065.037353515625,156911.484375
-127452.20399881998,49974,1386,200000,37712,144,19.235326766967773,0.0064,4.63,-4.103250026702881,849.3201293945312,125200.3046875
-128578.60540131999,52474,1456,210000,39761,144,15.156360626220703,0.0064,5.0,2.3851261138916016,349.0563049316406,102623.2109375
-298099.17770605994,54974,1528,220000,41590,143,16.26250648498535,0.0064,9.12,-1.5632878541946411,496.0635986328125,102963.921875
-128629.26668632003,57474,1598,230000,43045,143,21.808279037475586,0.0064,5.02,-2.1126420497894287,1276.3052978515625,123587.25
-131730.65556421,59974,1671,240000,44435,143,28.994495391845703,0.0064,5.2,4.631339073181152,2621.29736328125,130501.359375
-132638.74753406,62474,1744,250000,46195,143,27.751670837402344,0.0064,5.22,11.672422409057617,1835.8226318359375,129337.421875
