train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/time_elapsed
10542.6142578125,170.0222222222222,2474,10000,23.013050079345703,1276.9898681640625,0.3951190114021301,157,-623925.9542090667,45,0.0064,63
4597.8681640625,287.875,4974,20000,9.929783821105957,690.4524536132812,-0.9884846806526184,154,-558830.2415403036,56,0.0064,129
2408.6142578125,413.54411764705884,7474,30000,4.330798149108887,526.5388793945312,0.6906237602233887,154,-547070.3538102353,68,0.0064,194
1819.140380859375,475.2763157894737,9974,40000,1.608726143836975,317.4123229980469,-0.5512828230857849,154,-493547.1487216974,76,0.0064,259
999.6724853515625,541.8539325842696,12474,50000,1.4613615274429321,189.50799560546875,0.16066019237041473,154,-426192.9522438764,89,0.0064,324
923.4570922851562,571.2828282828283,14974,60000,1.5031375885009766,246.43763732910156,-0.032197512686252594,154,-422960.0739814646,99,0.0064,389
765.9945068359375,659.04,17474,70000,1.1236391067504883,233.64157104492188,0.025620074942708015,153,-209026.15264484996,116,0.0064,454
796.3502197265625,722.53,19974,80000,1.2849270105361938,386.59588623046875,0.08005322515964508,153,-223248.77270128994,141,0.0064,520
463.8634948730469,674.37,22474,90000,1.306840181350708,156.43130493164062,0.295897901058197,153,-199814.00538902002,161,0.0064,585
237.19688415527344,488.52,24974,100000,1.6288659572601318,191.19619750976562,0.29492735862731934,153,-157871.58037826,191,0.0064,651
162.86460876464844,418.17,27474,110000,4.743409633636475,334.6266174316406,-0.7106382846832275,153,-128448.54674674998,212,0.0064,717
30.448062896728516,485.76,29974,120000,5.288315773010254,432.09716796875,0.6765829920768738,153,-111229.08184144,225,0.0064,782
-364.85595703125,521.54,32474,130000,3.2261886596679688,200.19805908203125,-0.5628505349159241,153,-110832.26920429998,234,0.0064,847
74.66474151611328,585.08,34974,140000,2.6446220874786377,186.95045471191406,-0.005174100399017334,153,-89407.27791951997,245,0.0064,912
44.52861404418945,637.3,37474,150000,2.2405478954315186,173.3423614501953,-0.02894863486289978,153,-94520.23079738999,255,0.0064,978
-2.038027763366699,676.87,39974,160000,3.1470305919647217,262.8575439453125,0.9998756051063538,153,-102963.55009974,266,0.0064,1044
343.28192138671875,726.35,42474,170000,2.009786605834961,160.1168670654297,0.21985302865505219,153,-143546.25920744,276,0.0064,1109
923.7318115234375,801.65,44974,180000,1.6776927709579468,253.78616333007812,-0.26114290952682495,153,-140488.88877178,286,0.0064,1175
865.9544677734375,877.74,47474,190000,0.8073332905769348,207.4036102294922,0.039806824177503586,152,-131967.12928611,296,0.0064,1242
112.1576156616211,950.84,49974,200000,0.6194953918457031,92.94828796386719,0.27050578594207764,152,-124236.92417399,306,0.0064,1308
339.85772705078125,954.8,52474,210000,0.4598808288574219,97.2203140258789,1.2241188287734985,152,-117240.69428764,317,0.0064,1374
194.1314239501953,917.6,54974,220000,0.6005091071128845,98.9654769897461,-0.5820062160491943,152,-117861.96566364,333,0.0064,1441
44.805137634277344,848.53,57474,230000,0.4163475036621094,88.29044342041016,0.1263868808746338,152,-119959.13216618,350,0.0064,1508
115.20978546142578,840.45,59974,240000,0.6782736778259277,61.112586975097656,0.1385919749736786,152,-114962.48033223001,361,0.0064,1576
-145.50502014160156,848.02,62474,250000,0.7605563998222351,275.1539001464844,-0.10737553983926773,151,-59661.443873619995,372,0.0064,1644
-50.542510986328125,831.78,64974,260000,0.5422378778457642,73.29167175292969,-0.28933262825012207,151,-51537.78636731001,383,0.0064,1715
-178.30023193359375,804.55,67474,270000,0.7041991353034973,55.82544708251953,-0.4358147382736206,151,-44558.71759344,396,0.0064,1785
-19.256235122680664,798.77,69974,280000,0.48807045817375183,51.3989372253418,-0.22947829961776733,150,-43156.42712693,406,0.0064,1856
17.519393920898438,793.33,72474,290000,0.4357205927371979,53.62911605834961,1.0889756679534912,150,-33563.19970115999,418,0.0064,1927
-84.03877258300781,838.82,74974,300000,0.35432344675064087,37.76817321777344,-0.0016304031014442444,149,-27913.518050050003,427,0.0064,2000
