train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/actor_loss
44996356.0,25.931039810180664,134974,0.0055,29281,22.04,163,540000,54077.70237745,281.5393371582031,3306,-60228.92578125
68158224.0,14.66335391998291,137474,0.0055,29631,13.33,163,550000,133280.07530984,106.87178802490234,3366,-40417.921875
18781612.0,3.6069445610046387,139974,0.0055,30377,12.77,163,560000,133595.23177439,71.68309783935547,3425,-60883.296875
14603013.0,16.219993591308594,142474,0.0055,31029,13.11,163,570000,133291.10806607,108.8968505859375,3487,-60102.171875
80206896.0,22.432231903076172,144974,0.0055,31723,23.63,163,580000,-174344.20236243002,298.0379333496094,3551,-39513.4921875
26454434.0,10.543298721313477,147474,0.0055,32471,11.58,163,590000,133340.59578257,80.05270385742188,3612,-66305.625
17326910.0,13.68978214263916,149974,0.0055,32983,42.57,163,600000,-97311.04115490003,156.97537231445312,3680,-55439.953125
7221084.0,4.908682823181152,152474,0.0055,33840,11.32,162,610000,133641.48859733998,53.520835876464844,3747,-70997.9375
2350036.0,3.2833645343780518,154974,0.0055,34682,11.01,162,620000,133552.6,44.87643814086914,3816,-78608.8125
84068880.0,-34.784698486328125,157474,0.0055,35474,15.0,162,630000,30155.32371178,177.28509521484375,3884,-60090.6640625
7366763.5,-1.280901312828064,159974,0.0055,36257,10.97,162,640000,133639.32895615,40.98124694824219,3946,-85844.4296875
4039636.75,4.680696487426758,162474,0.0055,37128,11.95,162,650000,132208.2,62.49580383300781,4010,-84385.3984375
2645529.25,0.5524487495422363,164974,0.0055,38032,11.19,161,660000,133237.05513256,41.75069808959961,4074,-87191.53125
37510344.0,29.79642105102539,167474,0.0055,38692,25.67,162,670000,-33142.38211169999,613.3236694335938,4134,-43988.390625
189052704.0,-32.58479309082031,169974,0.0055,39304,23.83,162,680000,-114344.0547802,602.9483642578125,4195,5281.76123046875
26596996.0,16.663570404052734,172474,0.0055,39975,12.47,161,690000,133496.59950808,102.47150421142578,4265,-76984.671875
10918500.0,11.439762115478516,174974,0.0055,40684,11.94,161,700000,133517.38813155,92.89030456542969,4334,-75371.234375
15826134.0,6.6455230712890625,177474,0.0055,41427,12.38,161,710000,133599.73579577,73.04176330566406,4400,-78522.5625
5994803.0,5.228507041931152,179974,0.0055,42161,11.18,161,720000,133652.9,46.43918228149414,4461,-75114.546875
65919112.0,-168.03811645507812,182474,0.0055,42902,18.0,161,730000,11772.120819609994,234.1184539794922,4523,-24046.40234375
30257348.0,12.480871200561523,184974,0.0055,43302,14.79,161,740000,124665.35084149,299.32513427734375,4591,-28113.994140625
15804450.0,3.0605626106262207,187474,0.0055,43981,13.16,161,750000,133482.59963446,239.02650451660156,4655,-58487.6015625
18835018.0,3.164658546447754,189974,0.0055,44688,13.42,161,760000,132763.94835159,227.5762939453125,4716,-61139.0234375
32164248.0,44.198387145996094,192474,0.0055,45240,17.39,161,770000,67965.57386116,256.58990478515625,4777,-66009.765625
119046856.0,-6.565656661987305,194974,0.0055,45777,25.55,161,780000,-135208.38508394998,395.88299560546875,4840,-10331.572265625
59125584.0,11.398662567138672,197474,0.0055,46203,40.5,160,790000,-128118.67091146,378.8226013183594,4910,-27042.484375
7983869.0,1.3153557777404785,199974,0.0055,46936,11.17,160,800000,133559.32515663,55.620765686035156,4975,-57467.60546875
8850118.0,2.693359613418579,202474,0.0055,47679,11.11,160,810000,133355.9,57.02476501464844,5037,-72861.953125
4358792.0,5.465071678161621,204974,0.0055,48341,11.32,160,820000,133544.03903219,73.0826644897461,5105,-68914.515625
38586752.0,55.210304260253906,207474,0.0055,48760,16.87,160,830000,102078.39976371,593.6784057617188,5169,-31871.37890625
12385301.0,8.801782608032227,209974,0.0055,49452,11.88,160,840000,133630.1,77.95795440673828,5234,-65048.71875
8750116.0,-0.4840773940086365,212474,0.0055,50271,12.01,160,850000,133530.51088856,59.33201217651367,5294,-71056.53125
31181194.0,12.869579315185547,214974,0.0055,51046,12.61,160,860000,133579.39446591,95.88873291015625,5357,-77806.6875
104243200.0,24.834924697875977,217474,0.0055,51464,42.57,160,870000,-194293.24931798,667.465087890625,5424,-16137.447265625
11973060.0,5.028966426849365,219974,0.0055,52114,12.08,160,880000,133622.3,69.6235580444336,5487,-71421.65625
19963464.0,-6.283233642578125,222474,0.0055,52894,15.94,160,890000,128323.4446296,77.21342468261719,5555,-65841.0234375
10392012.0,0.5762571096420288,224974,0.0055,53745,11.48,160,900000,133622.10145443,56.257972717285156,5624,-82720.25
12313116.0,23.997272491455078,227474,0.0055,54336,16.0,159,910000,80438.34012249,121.0011215209961,5691,-77665.03125
12592213.0,8.596144676208496,229974,0.0055,55091,14.27,159,920000,123546.73428146001,86.02922821044922,5754,-72524.1640625
15203063.0,38.45586395263672,232474,0.0055,55475,15.12,159,930000,132791.19156014,266.2461242675781,5815,-57203.72265625
10953124.0,1.670925259590149,234974,0.0055,56274,11.03,159,940000,133354.7,62.99869918823242,5880,-70886.6875
5641840.5,2.882066011428833,237474,0.0055,57097,11.28,159,950000,132831.54810588,64.63900756835938,5943,-77806.078125
137069856.0,-189.35751342773438,239974,0.0055,57765,15.24,159,960000,55437.86293826,404.884765625,6009,-38860.21484375
16705343488.0,31.549516677856445,242474,0.0055,58026,50.3,159,970000,-653253.52064661,13603.671875,6073,518596.1875
5246983168.0,10.698417663574219,244974,0.0055,59104,4.14,159,980000,-104090.43104202,5312.31787109375,6137,386609.625
730523904.0,7.052631855010986,247474,0.0055,61778,3.62,159,990000,-102481.04587732999,2468.347412109375,6202,223271.90625
98008488.0,9.051980018615723,249974,0.0055,62918,30.1,159,1000000,-39244.20865321,221.67771911621094,6266,82988.96875
