train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/actor_loss
46945744.0,-50.91328811645508,2474,0.0055,231,39.74,168,10000,-255407.04907214997,44.23202133178711,59,27648.185546875
23690910.0,3.2795543670654297,4974,0.0055,309,77.14,169,20000,-115055.77270546001,63.2291374206543,117,16957.158203125
40338876.0,6.133424282073975,7474,0.0055,331,175.57,171,30000,-125533.59023138,48.90313720703125,174,7266.5546875
13931289.0,8.332581520080566,9974,0.0055,356,264.62,172,40000,-133074.22644524003,27.83992576599121,231,9011.671875
12625764.0,-9.820938110351562,12474,0.0055,387,353.96,171,50000,-227432.75872172,17.229063034057617,290,5354.43310546875
19555314.0,-2.9924631118774414,14974,0.0055,449,237.4,171,60000,-362209.14018224,20.31612205505371,348,5106.67822265625
16332742.0,4.085479736328125,17474,0.0055,536,154.7,172,70000,-144068.24721393,33.68938064575195,406,-13142.62890625
18909700.0,12.262809753417969,19974,0.0055,717,41.07,171,80000,40329.205788290004,87.82046508789062,466,-8936.853515625
22646436.0,-2.7047784328460693,22474,0.0055,1335,15.47,170,90000,128352.2,51.43666458129883,527,-53588.15234375
46761176.0,-0.6790528297424316,24974,0.0055,1962,14.69,170,100000,131929.37634708,65.51793670654297,585,-62637.9140625
11019459.0,-1.0190212726593018,27474,0.0055,2563,23.41,171,110000,115321.53753814001,63.728755950927734,643,-78602.9296875
59959568.0,-0.13795483112335205,29974,0.0055,3303,13.76,170,120000,132664.44371309,62.70101547241211,703,-67480.484375
191853280.0,-39.89836883544922,32474,0.0055,3952,16.94,170,130000,16496.23406042,370.5572814941406,763,-125855.2734375
13349053.0,1.371388554573059,34974,0.0055,4460,12.23,170,140000,130696.89012150001,78.32154846191406,819,-65683.375
13052810.0,3.643777847290039,37474,0.0055,5241,12.65,170,150000,133600.68095655,69.79877471923828,881,-67695.359375
8065825.0,-1.0606566667556763,39974,0.0055,6056,11.92,169,160000,133617.17585568,67.17362213134766,942,-76036.046875
46451928.0,-0.864262580871582,42474,0.0055,6880,14.95,169,170000,86145.44724772,90.83184051513672,1003,-93407.625
5675304.0,4.710428237915039,44974,0.0055,7531,11.76,169,180000,133336.91226441,51.22393035888672,1061,-76185.234375
7145505.5,-8.370864868164062,47474,0.0055,8369,12.62,168,190000,130584.16861724999,67.7635498046875,1124,-76193.765625
37095744.0,16.691768646240234,49974,0.0055,9016,19.43,168,200000,64852.54314286,134.17214965820312,1187,-71693.6796875
50507400.0,6.635220527648926,52474,0.0055,9454,39.73,168,210000,61422.66685897,158.2959747314453,1246,-54780.59375
22554372.0,2.7139205932617188,54974,0.0055,9895,56.99,168,220000,41280.43704194001,51.58901596069336,1304,-57429.97265625
37507448.0,5.70870304107666,57474,0.0055,10583,14.53,168,230000,129467.39564855,107.66743469238281,1363,-58414.84375
6375405.0,0.6045342087745667,59974,0.0055,11203,12.74,168,240000,131578.85492851,67.94224548339844,1422,-69900.015625
49245232.0,11.163368225097656,62474,0.0055,11916,14.28,168,250000,116318.36279772999,86.12400817871094,1479,-59450.578125
18783724.0,1.7493683099746704,64974,0.0055,12464,18.16,169,260000,99122.93987638,149.84616088867188,1537,-57790.30078125
23483454.0,-0.615486741065979,67474,0.0055,13114,15.63,168,270000,89959.74593789,166.0301971435547,1598,-65275.0625
21983930.0,2.950674295425415,69974,0.0055,13687,11.97,168,280000,130998.30872111,70.27597045898438,1660,-55534.98046875
12241830.0,2.691556453704834,72474,0.0055,14470,12.11,168,290000,132510.32133574,64.5487289428711,1721,-61017.9140625
22266664.0,10.620979309082031,74974,0.0055,15239,12.48,168,300000,133604.71403680998,109.77386474609375,1783,-58833.765625
26699092.0,-21.610553741455078,77474,0.0055,16023,15.34,168,310000,87889.49286198002,84.74867248535156,1842,-60193.453125
654017024.0,-6.571310997009277,79974,0.0055,16538,31.06,168,320000,-110477.62380496999,732.0934448242188,1900,-23455.3671875
14860280.0,-10.315162658691406,82474,0.0055,17046,12.4,168,330000,131587.5,86.37883758544922,1959,-62021.1015625
98498272.0,6.762596130371094,84974,0.0055,17634,14.98,168,340000,118605.33004852998,108.27386474609375,2017,-41212.640625
16702261.0,5.867881774902344,87474,0.0055,18326,12.18,168,350000,133204.75393705,84.32650756835938,2078,-72080.140625
118785808.0,-6.5780816078186035,89974,0.0055,19066,17.94,168,360000,13806.437388000002,346.2184143066406,2138,-126360.6015625
10733198.0,-15.682275772094727,92474,0.0055,19444,11.84,168,370000,133628.31152944,83.17985534667969,2198,-58088.6015625
90375248.0,-66.027587890625,94974,0.0055,20220,13.64,168,380000,103569.29948106,152.10511779785156,2260,-30327.310546875
28904338.0,8.71182632446289,97474,0.0055,20437,13.18,168,390000,131851.97760847,113.0740737915039,2321,-32248.67578125
16780958.0,8.881441116333008,99974,0.0055,21022,23.77,167,400000,128888.38230542,102.60968017578125,2382,-52682.4609375
11626472.0,3.140292167663574,102474,0.0055,21823,13.28,167,410000,122851.17574368,67.35798645019531,2452,-50004.05078125
17601272.0,2.030400037765503,104974,0.0055,22594,19.81,166,420000,5777.375596580001,111.65380859375,2521,-62966.23046875
40897880.0,39.00359344482422,107474,0.0055,22876,39.38,166,430000,-250784.87827157,290.546142578125,2589,-49454.64453125
22502672.0,8.154792785644531,109974,0.0055,23369,42.4,165,440000,117862.70934584,94.50985717773438,2659,-45114.265625
40441668.0,-5.5704779624938965,112474,0.0055,24155,11.77,164,450000,133634.3,59.0794792175293,2728,-50593.69140625
52277120.0,8.966644287109375,114974,0.0055,24923,13.24,164,460000,133177.264997,78.73298645019531,2798,-53863.11328125
54116640.0,43.88471221923828,117474,0.0055,25235,32.17,163,470000,-190570.92195515998,251.701416015625,2867,-41729.4609375
51225028.0,-5.793657302856445,119974,0.0055,25915,13.4,163,480000,132761.87406229,57.53516387939453,2933,-40421.609375
193466528.0,-62.07569122314453,122474,0.0055,26412,39.9,163,490000,-132521.69600733,745.3411254882812,2996,-8413.5400390625
78432288.0,0.27016687393188477,124974,0.0055,26739,15.4,163,500000,124655.07756687999,265.0813293457031,3058,-8804.2333984375
68919224.0,8.086798667907715,127474,0.0055,27382,14.14,163,510000,128119.62641237,305.92926025390625,3122,-30404.42578125
62092036.0,0.2183905839920044,129974,0.0055,28105,13.64,163,520000,133168.3,240.67605590820312,3184,-51576.80078125
23060808.0,13.124338150024414,132474,0.0055,28725,14.31,163,530000,133534.56387893,88.34741973876953,3246,-70421.109375
