rollout/ep_rew_mean,time/total_timesteps,time/fps,train/policy_loss,train/std,train/n_updates,train/entropy_loss,train/value_loss,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/explained_variance
-73770.74580909,10000,1340,-13885.3408203125,1.0081324577331543,499,-12.841867446899414,1566798464.0,7,11.33,0.0007,0.0
-65593.02075066,20000,1316,272627.25,1.0083853006362915,999,-12.83906364440918,2660384256.0,15,13.5,0.0007,1.1920928955078125e-07
-28285.849772899997,30000,1311,-128903.546875,1.0186160802841187,1499,-12.932878494262695,2533773056.0,22,13.14,0.0007,0.0
-7977.932116760002,40000,1306,-159735.203125,1.0139586925506592,1999,-12.888326644897461,3595155456.0,30,10.23,0.0007,0.0
-49902.75651184999,50000,1305,-517611.6875,1.0158302783966064,2499,-12.905126571655273,6233972224.0,38,11.46,0.0007,0.0
-35944.47188142999,60000,1307,-479044.9375,1.0211656093597412,2999,-12.946840286254883,4590551040.0,45,11.14,0.0007,0.0
-134069.79430632002,70000,1310,-126647.3125,1.0210236310958862,3499,-12.941625595092773,2454350336.0,53,16.22,0.0007,0.0
-100295.26408609001,80000,1313,-372838.03125,1.0144126415252686,3999,-12.882837295532227,1253144960.0,60,15.34,0.0007,-1.1920928955078125e-07
-39061.421080629996,90000,1312,170446.28125,1.0169272422790527,4499,-12.902956008911133,5379300352.0,68,10.23,0.0007,0.0
-46268.16062857,100000,1311,-466006.8125,1.0155272483825684,4999,-12.887048721313477,1928050688.0,76,12.44,0.0007,-1.1920928955078125e-07
-75032.14878111001,110000,1311,-163756.375,1.0173746347427368,5499,-12.90496826171875,1338790400.0,83,11.71,0.0007,-1.1920928955078125e-07
-60549.896264350005,120000,1311,-671024.875,1.0099272727966309,5999,-12.840375900268555,3877309696.0,91,12.47,0.0007,-1.1920928955078125e-07
-82756.80957602,130000,1312,-240207.953125,1.0172655582427979,6499,-12.904661178588867,4600122880.0,99,13.49,0.0007,0.0
53590.386549070005,140000,1311,272990.34375,1.0124361515045166,6999,-12.863031387329102,1349891840.0,106,8.36,0.0007,-1.1920928955078125e-07
-43734.757614409995,150000,1311,223428.25,1.0179898738861084,7499,-12.912469863891602,4404257792.0,114,11.65,0.0007,0.0
13421.327041349998,160000,1311,79810.984375,1.0096545219421387,7999,-12.833206176757812,2326760704.0,121,10.72,0.0007,0.0
-43617.41918994,170000,1312,-225919.375,1.0093327760696411,8499,-12.823915481567383,2256910592.0,129,12.97,0.0007,0.0
-24214.66618956,180000,1312,-6878.11865234375,1.0124812126159668,8999,-12.841339111328125,3099619072.0,137,11.24,0.0007,0.0
