time/time_elapsed,train/loss,train/value_loss,time/total_timesteps,train/entropy_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/clip_fraction,time/fps
6,4183187968.0,8487752095.6,10000,-12.769897291064263,0.9998801350593567,-0.0026714092944530423,-3.5762786865234375e-07,10,0.0019545502,0.0003,-130685.62486448,14.6,0.2,0.0002197265625,1630
12,3713626624.0,7641463563.2,20000,-12.769154638797044,0.9998171329498291,-0.0026767214587380293,-1.1920928955078125e-07,20,0.0021218248,0.0003,-139250.66404248998,14.8,0.2,0.00037841796875,1644
18,4080701952.0,7908148038.4,30000,-12.768366012722254,0.9997103810310364,-0.0011695998096911352,0.0,30,0.0008883952,0.0003,-128276.61601497,13.76,0.2,0.0,1649
24,3644188672.0,7541273622.8,40000,-12.768588858097791,0.9998761415481567,-0.0015206046900857473,-1.1920928955078125e-07,40,0.0012149122,0.0003,-123938.23661378,13.36,0.2,4.8828125e-05,1650
33,3577916416.0,7769260454.4,50000,-12.767625368386508,0.9995397925376892,-0.0008428252812336723,-1.1920928955078125e-07,60,0.0006501026,0.0003,-108913.47800324,11.16,0.2,0.0,1513
39,3971397632.0,7884161242.0,60000,-12.765603999048471,0.9993768334388733,-0.0013629247206154104,-1.1920928955078125e-07,70,0.0010193256,0.0003,-141247.22625635995,14.99,0.2,3.662109375e-05,1534
45,3898842112.0,7756546901.2,70000,-12.76403387337923,0.9992020726203918,-0.0023171570250269725,5.960464477539063e-08,80,0.0018848456,0.0003,-120463.46354370001,12.05,0.2,0.0001953125,1549
51,3317834240.0,7412084666.8,80000,-12.76195353269577,0.9989115595817566,-0.002324675156887679,0.0,90,0.0018773137,0.0003,-123741.81496284995,14.6,0.2,0.00020751953125,1561
57,4170654720.0,7955750149.2,90000,-12.760236509889364,0.9988254904747009,-0.001638543164517614,0.0,100,0.0013895023,0.0003,-119142.12949045001,12.49,0.2,1.220703125e-05,1569
66,3832581632.0,7318374596.4,100000,-12.757544230669737,0.9985985159873962,-0.00129575057007969,0.0,120,0.0011133172,0.0003,-115381.98332997998,11.8,0.2,0.0,1510
72,4225522432.0,7515711489.6,110000,-12.757553026825189,0.998553991317749,-0.0012746261319989572,0.0,130,0.0010628403,0.0003,-119215.06274847001,13.23,0.2,0.0,1521
78,4164751616.0,7821876692.8,120000,-12.755094011873007,0.9980561137199402,-0.0008893586389604024,5.960464477539063e-08,140,0.00068351085,0.0003,-111966.81515502998,12.01,0.2,0.0,1530
84,4224343808.0,7441596500.4,130000,-12.751872503757477,0.9978474378585815,-0.0008383795859117527,5.960464477539063e-08,150,0.00069526426,0.0003,-110051.42598104003,13.04,0.2,0.0,1537
93,3360916992.0,7184018620.4,140000,-12.750758738070726,0.99782794713974,-0.0006597077679543872,-1.1920928955078125e-07,170,0.00055253506,0.0003,-118380.94926019998,12.43,0.2,0.0,1498
99,3334699520.0,7067806963.2,150000,-12.74977404922247,0.9976038336753845,-0.0004382687431643717,0.0,180,0.00038373342,0.0003,-105978.26707328,12.7,0.2,0.0,1506
105,3537031168.0,6928336724.4,160000,-12.748504389822482,0.9975507259368896,-0.0012361299584881635,0.0,190,0.0012002694,0.0003,-117974.96711145001,11.9,0.2,0.0,1513
111,4332621312.0,7475461016.4,170000,-12.747669500112533,0.9974020719528198,-0.0005811961426843481,0.0,200,0.00052411674,0.0003,-114254.48416139,12.93,0.2,0.0,1519
118,3433383936.0,7197566914.0,180000,-12.746531377732754,0.9973218441009521,-0.0010261001625622157,-1.1920928955078125e-07,210,0.000981078,0.0003,-108359.71783738998,12.31,0.2,1.220703125e-05,1525
126,3981705728.0,7243603082.8,190000,-12.740644071251154,0.996526837348938,-0.0018292471783752263,0.0,230,0.0017227973,0.0003,-106834.38185499999,13.0,0.2,0.0001220703125,1496
133,3875688960.0,7049901523.2,200000,-12.738131482899188,0.9963374733924866,-0.0007534065440268023,1.1920928955078125e-07,240,0.00073350937,0.0003,-115559.13078827999,11.69,0.2,0.0,1502
139,3718933504.0,7171235028.4,210000,-12.73686596751213,0.9962471723556519,-0.00039237611072167055,-1.1920928955078125e-07,250,0.00032757234,0.0003,-98668.90207774998,11.3,0.2,0.0,1507
145,3552689920.0,6915041140.4,220000,-12.73621400296688,0.9961914420127869,-0.0017101418614402064,0.0,260,0.001694526,0.0003,-98781.86823148999,11.33,0.2,6.103515625e-05,1512
154,2915497728.0,7188826157.2,230000,-12.734204755723477,0.995894730091095,-0.0012513397399743554,0.0,280,0.0012274231,0.0003,-115900.43697108001,13.62,0.2,2.44140625e-05,1489
160,3372706816.0,6655849630.4,240000,-12.733036406338215,0.9958449602127075,-0.001022896645918081,0.0,290,0.001190742,0.0003,-95676.80583314998,12.55,0.2,1.220703125e-05,1494
166,3455617024.0,6650686464.4,250000,-12.733801639825106,0.9960666298866272,-0.0008620094875368522,0.0,300,0.00090044166,0.0003,-101699.17527086998,12.03,0.2,0.0,1498
173,4358516736.0,7173209521.2,260000,-12.734088882803917,0.9958994388580322,-0.0015030181091788108,0.0,310,0.0016677249,0.0003,-105274.31777637999,12.28,0.2,7.32421875e-05,1502
179,4102374912.0,6914466371.2,270000,-12.732995077222586,0.9958193302154541,-0.0014543063216478913,0.0,320,0.0017208525,0.0003,-92852.72201529998,12.11,0.2,0.0001220703125,1506
188,3068623616.0,7185978920.8,280000,-12.730879441648721,0.9955448508262634,-0.0009399728935932216,0.0,340,0.0010160219,0.0003,-87517.79872524999,14.23,0.2,0.0,1487
194,3658303744.0,6821987249.2,290000,-12.729442568868398,0.995408296585083,-0.0009997333781939233,0.0,350,0.0012833275,0.0003,-97517.9347425,13.15,0.2,6.103515625e-05,1491
200,3251431168.0,7029420430.0,300000,-12.727667229622602,0.995143473148346,-0.0015914441926724975,0.0,360,0.001856613,0.0003,-102158.35300179,13.0,0.2,0.0001708984375,1495
206,3569006848.0,7003258809.6,310000,-12.725277727097273,0.9948899745941162,-0.0012803303308828618,0.0,370,0.0015427885,0.0003,-96616.07294876,14.6,0.2,1.220703125e-05,1498
215,3745932288.0,6919012583.6,320000,-12.721620295941829,0.9944693446159363,-0.0021274537470162614,0.0,390,0.0027176403,0.0003,-96453.90243919,12.07,0.2,0.0010986328125,1482
222,3538974464.0,7261478888.4,330000,-12.717609377205372,0.9938481450080872,-0.0015771454520290718,0.0,400,0.002010258,0.0003,-87286.53910534998,13.13,0.2,0.00028076171875,1486
228,4072640000.0,6804802420.4,340000,-12.714077857136726,0.9936776757240295,-0.0030102414872089866,0.0,410,0.003864178,0.0003,-82662.53462651,13.84,0.2,0.00487060546875,1489
234,2911721728.0,6719613818.0,350000,-12.711017642915248,0.9931769967079163,-0.0021756407420980397,0.0,420,0.0031766691,0.0003,-80441.4918697,13.1,0.2,0.002734375,1492
240,3308444928.0,7010891815.2,360000,-12.710645062476397,0.9936177730560303,-0.001722557723405771,0.0,430,0.0025404794,0.0003,-77322.26416417999,13.35,0.2,0.0010498046875,1495
249,4166612224.0,7562697537.6,370000,-12.711219106614589,0.9934971928596497,-0.0009219811943694367,0.0,450,0.0010665435,0.0003,-87633.17160284,12.97,0.2,0.0,1481
256,3521239040.0,7170164261.6,380000,-12.709119056910277,0.9929654598236084,-0.00124611088031088,1.1920928955078125e-07,460,0.0017248867,0.0003,-77542.55399346001,12.7,0.2,9.765625e-05,1484
262,3580996608.0,7529341854.8,390000,-12.704380046576262,0.9924433827400208,-0.0025045610051165567,0.0,470,0.003456572,0.0003,-78523.50535542,12.2,0.2,0.0033203125,1486
268,3353796096.0,6837373214.0,400000,-12.70119329765439,0.9922399520874023,-0.002268690236087423,0.0,480,0.0033800013,0.0003,-75796.26352161,13.05,0.2,0.00360107421875,1489
277,3839117312.0,7508018137.2,410000,-12.702795732021332,0.9926331043243408,-0.0012062499046805897,0.0,500,0.0018211112,0.0003,-84616.61536931,15.27,0.2,9.765625e-05,1476
283,3253595904.0,7924981282.4,420000,-12.701273050904273,0.9920753836631775,-0.0013699276063562139,0.0,510,0.0020361375,0.0003,-54862.737147679996,13.99,0.2,0.0003173828125,1479
290,2778695680.0,6736628630.2,430000,-12.695965702831746,0.9914633631706238,-0.001353998995546135,-1.1920928955078125e-07,520,0.0022528805,0.0003,-78834.14253927999,13.8,0.2,0.000634765625,1482
296,4505156096.0,7677059770.4,440000,-12.691280676424503,0.9910346269607544,-0.0019969765500718493,0.0,530,0.0033257287,0.0003,-47152.35029863,13.72,0.2,0.00263671875,1484
302,3913578752.0,7322895650.4,450000,-12.685806599259376,0.9902852177619934,-0.003320566689944826,0.0,540,0.00442419,0.0003,-70845.9625561,12.12,0.2,0.00980224609375,1486
311,3581488128.0,6880393856.0,460000,-12.678542909026145,0.9897260665893555,-0.0022835868399852187,0.0,560,0.0034725708,0.0003,-69912.90477545,14.74,0.2,0.00465087890625,1475
318,4708650496.0,7971240548.8,470000,-12.67335965782404,0.9888379573822021,-0.0014958812646000297,0.0,570,0.0025301056,0.0003,-83780.99061806001,12.86,0.2,0.00079345703125,1477
324,3716423168.0,8255569544.0,480000,-12.668367925286294,0.9886223673820496,-0.0018236717663967284,0.0,580,0.0031798766,0.0003,-42989.911150930006,12.17,0.2,0.00377197265625,1479
330,3724253184.0,7945373994.0,490000,-12.66666494384408,0.9884625673294067,-0.001798702945234254,0.0,590,0.002806842,0.0003,-62533.49829871999,14.32,0.2,0.00196533203125,1482
339,2943754496.0,7779529217.2,500000,-12.653321901708841,0.9866244792938232,-0.00162800996677106,-1.1920928955078125e-07,610,0.004707423,0.0003,-62475.266389619996,13.27,0.2,0.0066650390625,1472
345,4659089408.0,9197130532.8,510000,-12.647195026278496,0.9862164258956909,-0.0011911518104170682,1.1920928955078125e-07,620,0.0016553181,0.0003,-78392.93990894,14.85,0.2,4.8828125e-05,1474
352,4377970688.0,9426017946.8,520000,-12.644136624783277,0.9859187006950378,-0.001463448223512387,0.0,630,0.0022833399,0.0003,-41169.324428830005,11.81,0.2,0.00057373046875,1476
358,2660987648.0,6938836750.4,530000,-12.636317871510983,0.9846375584602356,-0.003826713024136552,0.0,640,0.0051240837,0.0003,-36577.6442278,12.13,0.2,0.03802490234375,1478
364,5493357568.0,8457031086.4,540000,-12.62394609004259,0.9828627109527588,-0.0024474672025462498,-1.1920928955078125e-07,650,0.0047035604,0.0003,-47696.81646377999,12.95,0.2,0.015771484375,1479
373,3700035584.0,7048417414.8,550000,-12.593673446774483,0.9791987538337708,0.0020069642952876164,0.0,670,0.0037380217,0.0003,-45200.22041395999,14.01,0.2,0.09105224609375,1470
380,4033433600.0,8944392796.8,560000,-12.57830304428935,0.9785992503166199,-0.0017418361023374019,0.0,680,0.0034223343,0.0003,-41218.18924723001,13.23,0.2,0.00325927734375,1472
386,3535792640.0,7671680726.0,570000,-12.560305602103472,0.9759471416473389,0.0019235175157518824,0.0,690,0.008149349,0.0003,-16431.05171332,13.79,0.2,0.1409423828125,1474
392,4514607104.0,7847894066.8,580000,-12.540126908570528,0.9739187955856323,0.03357164697154076,0.0,700,0.00726346,0.0003,-13239.46615054,12.37,0.2,0.34818115234375,1476
402,3560863232.0,6900538072.4,590000,-12.525103520601988,0.9732216596603394,0.0018764596949040423,0.0,720,0.0101493,0.0003,-33152.51567756,12.67,0.2,0.13360595703125,1467
408,3944401152.0,7243252333.6,600000,-12.522304513305425,0.9719027280807495,0.00027525408440851604,0.0,730,0.0064507956,0.0003,-9538.55084003,12.09,0.2,0.097900390625,1469
414,4141334272.0,6885582670.8,610000,-12.485903622955083,0.9665951132774353,0.03728399692154198,0.0,740,0.010697825,0.0003,-12448.052895230001,12.9,0.2,0.32596435546875,1471
421,3356302592.0,6671885836.2,620000,-12.453771052509547,0.9626997709274292,0.002270727261748107,0.0,750,0.0123515725,0.0003,-23229.524220959996,11.44,0.2,0.1050048828125,1472
427,3837067264.0,6750161770.8,630000,-12.421273805946111,0.9607105255126953,0.09391495669515279,0.0,760,0.014026897,0.0003,-12805.334113919998,11.43,0.2,0.51383056640625,1474
436,2926379776.0,6588504120.6,640000,-12.372148429602385,0.9561476111412048,0.013635841616633115,5.960464477539063e-08,780,0.0149032995,0.0003,4709.8202785,12.03,0.2,0.2083740234375,1466
442,3305771264.0,6819785266.2,650000,-12.36488227546215,0.9558014273643494,0.09262312803548411,5.960464477539063e-08,790,0.46435183,0.0003,-87839.43841279001,9.43,0.2,0.48687744140625,1467
449,4062344192.0,7368557004.8,660000,-12.361997374147176,0.9558535814285278,0.0008747651201701956,0.0,800,0.00023403023,0.0003,-97944.87775385,9.2,0.2,0.0,1469
455,4028781568.0,7579772877.2,670000,-12.362099753320217,0.9558563232421875,-0.0002771086010397994,0.0,810,4.724895e-05,0.0003,-95448.8216368,9.2,0.2,0.0,1471
464,4037337600.0,7361971146.4,680000,-12.362637710571288,0.955942690372467,-0.0012296640419663164,0.0,830,0.0005971457,0.0003,-99766.01906623002,9.47,0.2,0.0,1464
470,3267774464.0,7103054195.2,690000,-12.362873946130275,0.9559324979782104,-0.001426249570431537,0.0,840,0.0010016549,0.0003,-91998.70663829999,9.33,0.2,1.220703125e-05,1466
476,3336751360.0,7120252730.0,700000,-12.360939782857894,0.9555135369300842,-0.0024116106496876455,0.0,850,0.002888621,0.0003,-95144.68813779,10.49,0.2,0.003466796875,1468
483,3274899456.0,7148189676.8,710000,-12.357914838194848,0.9553075432777405,-0.0016725010360460145,0.0,860,0.0012683936,0.0003,-84171.89897781001,12.08,0.2,8.544921875e-05,1469
489,3548120832.0,6938331118.8,720000,-12.356959350407124,0.9553147554397583,-0.001969621865873705,0.0,870,0.0033761945,0.0003,-100297.54369537,10.69,0.2,0.010546875,1471
498,3390112768.0,6606679628.8,730000,-12.354642660170793,0.9549840092658997,-0.004381832067701907,0.0,890,0.0056013167,0.0003,-80884.75200213,10.7,0.2,0.040478515625,1464
504,3166037248.0,6899554799.6,740000,-12.35091430619359,0.9543631672859192,-0.005289780785824405,0.0,900,0.005599776,0.0003,-77497.08357396,12.11,0.2,0.0449951171875,1466
510,4155043328.0,6621165373.2,750000,-12.346390363574027,0.9540271759033203,-0.00434765796562715,0.0,910,0.0049237274,0.0003,-53954.94209951,11.28,0.2,0.0319580078125,1467
517,3634534400.0,6621988450.0,760000,-12.340930685400963,0.9532104134559631,-0.0032599861471680923,0.0,920,0.0036298654,0.0003,-53081.69906883001,11.53,0.2,0.02225341796875,1469
523,3041454080.0,6315014011.2,770000,-12.33639307320118,0.9530202150344849,-0.0036856068756605962,0.0,930,0.0040073264,0.0003,-66800.88379522,12.14,0.2,0.01864013671875,1470
532,3359951616.0,6261242540.4,780000,-12.329060768336058,0.9521270394325256,-0.0036205046744726133,1.1920928955078125e-07,950,0.004108864,0.0003,-67480.71563863,12.41,0.2,0.0296630859375,1464
538,2723536384.0,6431236789.2,790000,-12.324826177954673,0.95166015625,-0.004080266131859389,-1.1920928955078125e-07,960,0.0042585437,0.0003,-50227.46953984001,15.24,0.2,0.0218017578125,1466
545,3785852416.0,5945816695.4,800000,-12.319492223113775,0.9508679509162903,-0.005077996496038395,0.0,970,0.0052908193,0.0003,-43688.9311124,15.13,0.2,0.0413330078125,1467
551,3173550592.0,5982163425.4,810000,-12.305605085939169,0.9502516984939575,-0.003608395496121375,1.1920928955078125e-07,980,0.016005382,0.0003,-31101.4162361,13.77,0.2,0.0653076171875,1469
560,3185869312.0,5446355399.8,820000,-12.264679438620806,0.9442391991615295,0.012767912404524396,1.1920928955078125e-07,1000,0.017796922,0.0003,-32546.095022209993,13.9,0.2,0.22755126953125,1463
566,2710162432.0,5347978441.0,830000,-12.23915281817317,0.941796064376831,0.0022922793410543817,0.0,1010,0.054258764,0.0003,-28711.089610979998,13.98,0.2,0.14066162109375,1464
573,2355312384.0,5279572031.4,840000,-12.21178450807929,0.9403073191642761,0.011124522423961026,0.0,1020,0.010771121,0.0003,-10623.706156049999,15.16,0.2,0.2248779296875,1465
579,3009612032.0,5404169367.2,850000,-12.2174894079566,0.9419269561767578,0.08359946061646042,0.0,1030,0.05755099,0.0003,-24119.89882058,14.07,0.2,0.5150634765625,1467
585,3444505856.0,5322969763.0,860000,-12.221213204413653,0.9393225908279419,0.016322426426631863,-1.1920928955078125e-07,1040,0.20988849,0.0003,-18915.360135519997,13.2,0.2,0.17742919921875,1468
594,2189430784.0,5455409965.0,870000,-12.135995297878981,0.9325411915779114,0.020442491126595998,0.0,1060,0.008799471,0.0003,4501.793148070001,12.15,0.2,0.2490234375,1462
601,2127665408.0,5221878140.8,880000,-12.121710540354252,0.9313592910766602,0.024758450601439108,0.0,1070,0.91107786,0.0003,-91436.16121913001,11.8,0.2,0.175,1464
607,3038847488.0,6896198129.2,890000,-12.122548116743564,0.931376576423645,-0.000525878177722916,0.0,1080,0.00015467055,0.0003,-85857.71885844,11.55,0.2,0.0,1465
613,3486391808.0,6835104311.2,900000,-12.122414834797382,0.9313519597053528,-0.00044965077795495746,0.0,1090,6.886505e-05,0.0003,-102283.82116734,11.85,0.2,0.0,1466
622,3297780480.0,7201164166.8,910000,-12.121736460924149,0.9312748312950134,-0.0009027979931488517,-1.1920928955078125e-07,1110,0.00052557467,0.0003,-95205.74716639999,11.92,0.2,0.0,1461
628,3287820288.0,7012471595.2,920000,-12.120917600393295,0.9311406016349792,-0.0016955799592324183,0.0,1120,0.0008737638,0.0003,-84616.63989430999,11.51,0.2,0.0,1462
635,3344298240.0,6632080822.4,930000,-12.120663154125214,0.9312321543693542,-0.003006524244847242,0.0,1130,0.002868509,0.0003,-95759.93251529001,13.98,0.2,0.00130615234375,1464
641,3243196672.0,6667439984.8,940000,-12.120523480325938,0.9311133623123169,-0.001944120953521633,5.960464477539063e-08,1140,0.0020116195,0.0003,-89294.85601413,11.91,0.2,0.00035400390625,1465
647,3084711936.0,6516562118.0,950000,-12.11874014288187,0.9308358430862427,-0.003255988644377794,0.0,1150,0.0037987856,0.0003,-92007.76601109002,11.38,0.2,0.00745849609375,1466
656,3665241088.0,6510232700.8,960000,-12.112431174516678,0.9301887154579163,-0.003192482250233297,1.1920928955078125e-07,1170,0.0044662463,0.0003,-70980.53039765,10.54,0.2,0.013671875,1461
662,3243747840.0,6071264835.4,970000,-12.10780372917652,0.9295403361320496,-0.0042914945661323145,0.0,1180,0.0048298948,0.0003,-54434.921721169994,12.01,0.2,0.01982421875,1463
669,3627200256.0,6194921721.2,980000,-12.103616009652615,0.9293282628059387,-0.004992059231699386,0.0,1190,0.0050859456,0.0003,-54688.91078959,11.13,0.2,0.03211669921875,1464
