time/fps,train/std,time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_len_mean,train/entropy_loss
1287,1.0136706829071045,10000,-347222.75,-174369.50828854006,7,-1.1920928955078125e-07,0.0007,475535104.0,499,18.8,-17.189367294311523
1290,1.0240912437438965,20000,-714256.8125,-196122.78553396996,15,0.0,0.0007,3501511168.0,999,17.89,-17.308761596679688
1286,1.0283281803131104,30000,-326223.6875,-134525.99577562,23,0.0,0.0007,496712000.0,1499,16.74,-17.361190795898438
1283,1.0315028429031372,40000,-168421.125,-132384.9448641,31,-2.384185791015625e-07,0.0007,601648576.0,1999,14.58,-17.391019821166992
1276,1.028769612312317,50000,-500626.34375,-136884.56871858996,39,0.0,0.0007,3243268352.0,2499,15.47,-17.35856819152832
1270,1.0456161499023438,60000,-874211.5,-125710.06732001001,47,0.0,0.0007,4296595456.0,2999,14.84,-17.553680419921875
1267,1.04381263256073,70000,-588364.375,-147941.64428635,55,1.1920928955078125e-07,0.0007,2244441600.0,3499,19.2,-17.53416633605957
1262,1.0579928159713745,80000,-289108.9375,-134493.28264264,63,4.172325134277344e-07,0.0007,1100160640.0,3999,16.54,-17.693355560302734
1256,1.057655930519104,90000,-680126.1875,-168119.63546512,71,1.1920928955078125e-07,0.0007,2306311424.0,4499,18.72,-17.693571090698242
1250,1.0657025575637817,100000,-585057.625,-139219.51244380002,79,0.0,0.0007,3236174592.0,4999,15.52,-17.781068801879883
1246,1.0635501146316528,110000,-412059.1875,-121959.08483121998,88,0.0,0.0007,1699627264.0,5499,13.2,-17.757904052734375
1241,1.073548674583435,120000,-874388.375,-117656.53760574,96,0.0,0.0007,4476471808.0,5999,12.79,-17.86577033996582
1236,1.0815082788467407,130000,-763077.125,-152511.30811075,105,0.0,0.0007,4611499520.0,6499,18.33,-17.956300735473633
1232,1.088864803314209,140000,-649889.625,-196242.46303393997,113,0.0,0.0007,3208417280.0,6999,15.58,-18.037538528442383
1228,1.1038753986358643,150000,-847671.8125,-211604.28287953002,122,5.960464477539063e-08,0.0007,3207680512.0,7499,17.09,-18.193620681762695
1225,1.1073663234710693,160000,-859309.8125,-230789.60933818002,130,0.0,0.0007,4694011904.0,7999,19.78,-18.228734970092773
1225,1.117274284362793,170000,-167352.4375,-191000.48340579998,138,1.1920928955078125e-07,0.0007,1367417728.0,8499,18.97,-18.339994430541992
