time/fps,train/std,time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_len_mean,train/entropy_loss
1227,1.125078558921814,180000,-380724.875,-135264.74768903,146,0.0,0.0007,2091732992.0,8999,14.03,-18.42674446105957
1228,1.1287472248077393,190000,-254117.25,-136890.37074440002,154,-1.1920928955078125e-07,0.0007,548268352.0,9499,16.01,-18.467546463012695
1229,1.1282929182052612,200000,-352710.9375,-111085.50725352,162,0.0,0.0007,861180928.0,9999,15.3,-18.459138870239258
1229,1.1290695667266846,210000,71392.484375,-119826.89265874,170,0.0,0.0007,1056927104.0,10499,13.58,-18.467405319213867
1230,1.1320093870162964,220000,-847540.875,-126337.93812156002,178,-1.1920928955078125e-07,0.0007,3949613824.0,10999,14.05,-18.50018882751465
1231,1.135449767112732,230000,-981205.875,-121736.12387979997,186,0.0,0.0007,5320515072.0,11499,15.2,-18.535799026489258
1231,1.141856074333191,240000,-376157.6875,-206171.54441707997,194,1.1920928955078125e-07,0.0007,1369742592.0,11999,18.01,-18.599018096923828
1232,1.1525720357894897,250000,-525378.1875,-133056.14666386,202,-1.1920928955078125e-07,0.0007,1614318976.0,12499,13.51,-18.708955764770508
1233,1.1593981981277466,260000,-337505.75,-127516.11128234999,210,0.0,0.0007,1777112832.0,12999,15.06,-18.773378372192383
1233,1.162415623664856,270000,-306573.65625,-124990.27693775,218,-2.384185791015625e-07,0.0007,1594090752.0,13499,15.13,-18.806713104248047
1233,1.1706551313400269,280000,-666931.625,-167330.44615218,227,1.1920928955078125e-07,0.0007,3432131328.0,13999,16.97,-18.894559860229492
1232,1.1798502206802368,290000,-75277.6015625,-127961.16178996001,235,0.0,0.0007,1016111424.0,14499,13.79,-18.989547729492188
1233,1.18699312210083,300000,-582302.375,-164883.68902299003,243,0.0,0.0007,2620376576.0,14999,21.63,-19.056549072265625
1233,1.1957218647003174,310000,-615386.0625,-323606.93949618,251,1.1920928955078125e-07,0.0007,1543811712.0,15499,28.32,-19.13628578186035
1234,1.1961382627487183,320000,-718341.625,-119773.35174131002,259,1.1920928955078125e-07,0.0007,4262957056.0,15999,12.04,-19.136415481567383
1234,1.198519229888916,330000,-475893.40625,-162418.04992422,267,0.0,0.0007,3296008192.0,16499,15.61,-19.164220809936523
1235,1.2046104669570923,340000,-944317.875,-178207.88508741002,275,0.0,0.0007,3998300160.0,16999,17.42,-19.224451065063477
1235,1.2133663892745972,350000,-982526.0,-229540.60320328,283,-1.1920928955078125e-07,0.0007,3855406336.0,17499,17.38,-19.31224250793457
1235,1.2221790552139282,360000,-740994.625,-119888.27110582002,291,0.0,0.0007,2805465344.0,17999,15.85,-19.399791717529297
1235,1.2285453081130981,370000,-545742.625,-177903.01459320995,299,5.960464477539063e-08,0.0007,1131824640.0,18499,18.55,-19.45302963256836
1236,1.244390845298767,380000,-617700.125,-148660.04822446,307,0.0,0.0007,3073105408.0,18999,15.71,-19.597763061523438
1237,1.258097529411316,390000,-519421.90625,-163627.51457404002,315,0.0,0.0007,2992091904.0,19499,19.03,-19.716611862182617
1238,1.2686437368392944,400000,-1002967.375,-380024.56574975007,322,-1.1920928955078125e-07,0.0007,4323124736.0,19999,25.34,-19.817989349365234
1238,1.279736876487732,410000,-575658.25,-205268.62800354,330,-1.1920928955078125e-07,0.0007,3040546816.0,20499,17.36,-19.92542839050293
1239,1.2864323854446411,420000,-919076.625,-121767.41011730001,338,0.0,0.0007,3039633408.0,20999,14.2,-19.9825496673584
1240,1.2911816835403442,430000,-481620.0625,-138518.53107574,346,0.0,0.0007,1003368576.0,21499,13.98,-20.006637573242188
1241,1.2928353548049927,440000,-715428.3125,-128704.18028305,354,5.960464477539063e-08,0.0007,3043729920.0,21999,14.67,-20.02794075012207
1242,1.2940140962600708,450000,-652665.3125,-234600.03074871,362,-1.1920928955078125e-07,0.0007,1915742464.0,22499,24.38,-20.044757843017578
1244,1.296242356300354,460000,-685924.625,-260746.57874284004,369,0.0,0.0007,3473120512.0,22999,24.56,-20.059293746948242
1245,1.300331711769104,470000,-532623.5625,-122252.13003650999,377,-1.1920928955078125e-07,0.0007,2305392896.0,23499,13.64,-20.089109420776367
1245,1.326933741569519,480000,-275229.96875,-101572.98547182,385,0.0,0.0007,1991101440.0,23999,14.99,-20.336227416992188
1245,1.3293763399124146,490000,-595360.6875,-132711.88116022001,393,0.0,0.0007,2696209920.0,24499,15.47,-20.359024047851562
1245,1.343451976776123,500000,-639980.0,-240433.53872821995,401,0.0,0.0007,1698523392.0,24999,25.83,-20.490524291992188
1245,1.3551584482192993,510000,-642813.1875,-163379.90411936998,409,0.0,0.0007,2148259840.0,25499,19.26,-20.589704513549805
1246,1.3480418920516968,520000,-100431.046875,-146665.57100270002,417,0.0,0.0007,154618208.0,25999,19.91,-20.516754150390625
1246,1.3678412437438965,530000,-864328.625,-191212.64790388997,425,1.1920928955078125e-07,0.0007,2503087104.0,26499,20.6,-20.68431282043457
1247,1.3713551759719849,540000,-854098.5,-238091.64727716,433,-1.1920928955078125e-07,0.0007,3302434304.0,26999,19.29,-20.71796989440918
1246,1.385980248451233,550000,-693208.875,-208468.83918578003,441,-3.5762786865234375e-07,0.0007,2015250048.0,27499,19.58,-20.851167678833008
1246,1.4045854806900024,560000,-1233374.25,-133028.38942273997,449,0.0,0.0007,6383253504.0,27999,15.46,-21.011499404907227
1246,1.4158188104629517,570000,-722327.1875,-110382.83430405,457,0.0,0.0007,1927268736.0,28499,14.72,-21.107662200927734
1245,1.4113825559616089,580000,-485004.8125,-109307.69284630001,465,0.0,0.0007,4621102080.0,28999,15.78,-21.060300827026367
1244,1.426620364189148,590000,-577291.8125,-162148.08305775,474,0.0,0.0007,2738900480.0,29499,14.25,-21.18934440612793
1243,1.4398220777511597,600000,-391431.40625,-153948.34506459002,482,5.960464477539063e-08,0.0007,739486912.0,29999,15.13,-21.278650283813477
1242,1.4524587392807007,610000,-920539.5,-123327.49618216,490,-1.1920928955078125e-07,0.0007,3606081024.0,30499,14.44,-21.391910552978516
1242,1.4645147323608398,620000,-1656554.75,-156677.16868324002,499,0.0,0.0007,8052661248.0,30999,14.41,-21.486955642700195
1241,1.4615259170532227,630000,-519180.40625,-177547.95711149005,507,0.0,0.0007,4033299200.0,31499,16.13,-21.468597412109375
1241,1.4827858209609985,640000,-853131.0,-170802.67437532998,515,0.0,0.0007,3120590080.0,31999,18.27,-21.63755989074707
1241,1.4928674697875977,650000,-625477.8125,-155146.82475904,523,-1.1920928955078125e-07,0.0007,2696931840.0,32499,17.36,-21.70850944519043
1241,1.5072077512741089,660000,-557856.875,-170537.87191302996,531,5.960464477539063e-08,0.0007,2218625280.0,32999,17.96,-21.825498580932617
1241,1.5223642587661743,670000,-1290979.125,-156090.66662796002,539,1.1920928955078125e-07,0.0007,5874612224.0,33499,16.88,-21.937633514404297
1241,1.5341078042984009,680000,-356767.65625,-159597.29009966,547,0.0,0.0007,875493504.0,33999,16.22,-22.030805587768555
1242,1.5485882759094238,690000,-435353.25,-137439.72421545,555,-1.1920928955078125e-07,0.0007,2430659072.0,34499,15.36,-22.144527435302734
1242,1.5606626272201538,700000,-770695.0,-134944.00913053998,563,5.960464477539063e-08,0.0007,2893008384.0,34999,15.1,-22.232831954956055
1243,1.57689368724823,710000,-461427.25,-146160.66552364003,571,0.0,0.0007,2167801344.0,35499,15.1,-22.3480281829834
1244,1.590391755104065,720000,-439106.1875,-136266.46323514,578,0.0,0.0007,2439056896.0,35999,12.49,-22.45708656311035
1244,1.5939010381698608,730000,-902544.625,-130122.38489026997,586,-1.1920928955078125e-07,0.0007,2862724608.0,36499,12.92,-22.480194091796875
1245,1.6150418519973755,740000,-391775.0,-118805.68555275997,594,0.0,0.0007,3840528896.0,36999,13.81,-22.625993728637695
1245,1.6265195608139038,750000,-471481.8125,-146078.91041355,602,0.0,0.0007,1678878720.0,37499,16.86,-22.721006393432617
1245,1.6422010660171509,760000,-988359.625,-138345.86799340998,610,0.0,0.0007,4137228800.0,37999,16.59,-22.823196411132812
1245,1.6601651906967163,770000,-1414317.5,-142461.213185,617,0.0,0.0007,6272346624.0,38499,17.31,-22.945905685424805
1245,1.667540431022644,780000,12372.927734375,-104476.14563182999,626,5.960464477539063e-08,0.0007,978931584.0,38999,12.77,-23.000686645507812
1245,1.6878933906555176,790000,-700469.3125,-136503.17459465002,634,0.0,0.0007,5364344320.0,39499,18.78,-23.146711349487305
1245,1.6981301307678223,800000,-450049.59375,-164413.43740164,642,-2.384185791015625e-07,0.0007,462332256.0,39999,16.71,-23.207151412963867
1245,1.7133346796035767,810000,-495449.40625,-143482.81561426,650,0.0,0.0007,969881216.0,40499,15.84,-23.320781707763672
1244,1.730648159980774,820000,-388903.75,-134533.50449628,658,0.0,0.0007,1040502656.0,40999,19.25,-23.44748306274414
1245,1.7427302598953247,830000,-1001865.5,-145841.08002872,666,0.0,0.0007,4603902976.0,41499,20.19,-23.54355239868164
1245,1.7578696012496948,840000,-186080.75,-150919.33139636,674,0.0,0.0007,257840560.0,41999,17.1,-23.645124435424805
1245,1.774767279624939,850000,-578841.4375,-196439.40755805,682,0.0,0.0007,1093471488.0,42499,19.97,-23.752714157104492
1245,1.7873536348342896,860000,-575368.6875,-116267.11153092001,690,0.0,0.0007,2272137728.0,42999,14.21,-23.835298538208008
1246,1.8053711652755737,870000,-662483.0,-129726.93497617001,698,0.0,0.0007,3066609152.0,43499,14.83,-23.958160400390625
1246,1.8027697801589966,880000,-368386.3125,-144470.17503412,706,-2.384185791015625e-07,0.0007,472247968.0,43999,17.18,-23.938318252563477
1246,1.8155059814453125,890000,-159808.953125,-129967.74518175,714,0.0,0.0007,592915584.0,44499,17.56,-24.007234573364258
1246,1.8222969770431519,900000,-983537.1875,-160320.95247239002,722,0.0,0.0007,3624023552.0,44999,19.2,-24.054386138916016
1246,1.8329097032546997,910000,-859851.125,-141109.24998142,730,0.0,0.0007,2979141120.0,45499,17.62,-24.131711959838867
1246,1.8414220809936523,920000,-145628.625,-133864.58116865996,738,0.0,0.0007,163585760.0,45999,14.57,-24.163619995117188
1246,1.8467968702316284,930000,-1141159.25,-195677.13853091002,746,0.0,0.0007,3798480384.0,46499,17.6,-24.192869186401367
1246,1.8737072944641113,940000,-354924.75,-141060.51335249,754,1.7881393432617188e-07,0.0007,463557536.0,46999,16.45,-24.35906410217285
1246,1.8820050954818726,950000,-750171.0,-158417.57223877002,762,0.0,0.0007,1366381312.0,47499,16.4,-24.414226531982422
1246,1.8977537155151367,960000,-518213.75,-125930.04483918,770,0.0,0.0007,1726879744.0,47999,13.78,-24.5157413482666
1246,1.9100993871688843,970000,-697858.75,-134093.07052154996,778,-1.1920928955078125e-07,0.0007,2753242624.0,48499,16.66,-24.593414306640625
1246,1.9283570051193237,980000,-909725.8125,-165741.90100227,786,0.0,0.0007,2316817152.0,48999,18.42,-24.700927734375
1245,1.918212890625,990000,-760860.6875,-121667.95614329001,794,-1.1920928955078125e-07,0.0007,5202996224.0,49499,15.92,-24.63972282409668
1245,1.9482210874557495,1000000,-512287.3125,-176860.05573325002,802,2.384185791015625e-07,0.0007,757757312.0,49999,17.18,-24.827930450439453
