train/explained_variance,train/policy_loss,train/std,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/fps,time/time_elapsed,train/value_loss
-2.384185791015625e-07,-834364.125,1.0039843320846558,-429573.50831366994,0.0007,-17.075075149536133,21.99,10000,499,1350,7,2811223552.0
1.1920928955078125e-07,-1495591.375,1.0120830535888672,-291008.34569583,0.0007,-17.16712760925293,13.82,20000,999,1353,14,9923149824.0
0.0,-916490.125,1.0143769979476929,-168044.61290484003,0.0007,-17.199047088623047,11.24,30000,1499,1334,22,3470106112.0
0.0,-975299.1875,1.0196661949157715,-226295.28849280998,0.0007,-17.251863479614258,10.24,40000,1999,1326,30,4966753792.0
0.0,-806264.8125,1.019174575805664,-368501.50714783,0.0007,-17.245800018310547,19.47,50000,2499,1323,37,3042359808.0
0.0,89755.4140625,1.0322052240371704,-205232.28679576996,0.0007,-17.39006233215332,12.87,60000,2999,1317,45,4919557632.0
0.0,-525196.1875,1.0231462717056274,-130715.55755695,0.0007,-17.291810989379883,10.18,70000,3499,1311,53,3594453504.0
0.0,-520365.0,1.030263066291809,-132414.79528786,0.0007,-17.366344451904297,9.14,80000,3999,1306,61,3432165120.0
5.960464477539063e-08,-1287805.75,1.0343652963638306,-194890.1794735,0.0007,-17.41798210144043,11.64,90000,4499,1302,69,6312548352.0
5.960464477539063e-08,-1000326.1875,1.035845160484314,-226752.71219562995,0.0007,-17.42613410949707,12.95,100000,4999,1299,76,5017735680.0
0.0,-1025702.0,1.0376572608947754,-211096.84246010002,0.0007,-17.450695037841797,11.82,110000,5499,1297,84,4755428352.0
-1.1920928955078125e-07,-956120.3125,1.0478073358535767,-164497.29207296,0.0007,-17.565610885620117,11.81,120000,5999,1294,92,5791822848.0
0.0,-584611.0,1.0565704107284546,-191203.65904435999,0.0007,-17.666074752807617,12.05,130000,6499,1291,100,5866413568.0
0.0,-499169.4375,1.0559048652648926,-137214.44119076,0.0007,-17.659456253051758,12.05,140000,6999,1290,108,1264374400.0
0.0,-584148.625,1.0617741346359253,-197112.76552239002,0.0007,-17.724149703979492,12.54,150000,7499,1289,116,1887675136.0
0.0,-672349.5625,1.0604753494262695,-207035.30332518998,0.0007,-17.706575393676758,12.2,160000,7999,1288,124,2812882432.0
0.0,-849475.5,1.0657087564468384,-240768.60726013005,0.0007,-17.764326095581055,11.4,170000,8499,1286,132,7629250560.0
0.0,-1369297.5,1.0647335052490234,-243560.130799,0.0007,-17.755949020385742,14.55,180000,8999,1285,140,6430895616.0
0.0,-839472.6875,1.0603612661361694,-195250.9570097,0.0007,-17.697526931762695,13.41,190000,9499,1284,147,5725959680.0
0.0,-791610.4375,1.0633832216262817,-108141.01821717,0.0007,-17.72943115234375,9.07,200000,9999,1282,155,4950069248.0
0.0,-914892.5,1.0696536302566528,-176061.96772409,0.0007,-17.79924964904785,11.29,210000,10499,1281,163,4593679360.0
0.0,-467070.1875,1.0730096101760864,-242111.70725562,0.0007,-17.829816818237305,13.43,220000,10999,1280,171,3520535040.0
0.0,-647117.5,1.0751373767852783,-182141.85553581998,0.0007,-17.857873916625977,10.6,230000,11499,1280,179,6672718848.0
0.0,-667896.625,1.0859829187393188,-145409.28378835,0.0007,-17.975234985351562,11.37,240000,11999,1279,187,4758593536.0
0.0,-1364184.25,1.0937968492507935,-303357.08606087,0.0007,-18.064973831176758,13.89,250000,12499,1278,195,7882988032.0
-1.1920928955078125e-07,-936986.3125,1.0996123552322388,-131051.61912646,0.0007,-18.118789672851562,10.4,260000,12999,1278,203,4636869632.0
-1.1920928955078125e-07,-284802.875,1.103732705116272,-125089.29012518999,0.0007,-18.171571731567383,9.26,270000,13499,1277,211,4632382464.0
1.1920928955078125e-07,-892900.6875,1.1163625717163086,-306284.6985541,0.0007,-18.306591033935547,15.55,280000,13999,1277,219,3193044224.0
1.1920928955078125e-07,168810.40625,1.1170145273208618,-140621.96316165,0.0007,-18.318157196044922,11.2,290000,14499,1276,227,1380201472.0
0.0,-1026974.0,1.110731840133667,-93125.45048043,0.0007,-18.255311965942383,10.39,300000,14999,1276,235,8176674304.0
0.0,-1256829.0,1.1204882860183716,-247454.02258905998,0.0007,-18.359167098999023,14.03,310000,15499,1275,243,6519259648.0
-1.1920928955078125e-07,-1530861.0,1.1221290826797485,-176884.75414339,0.0007,-18.37736701965332,11.47,320000,15999,1275,250,8365740032.0
0.0,-1119782.25,1.1327005624771118,-306004.89861279,0.0007,-18.481901168823242,14.22,330000,16499,1274,258,7471618560.0
0.0,-1681938.75,1.1445952653884888,-320959.56266061997,0.0007,-18.61121940612793,15.3,340000,16999,1274,266,9724838912.0
2.384185791015625e-07,-1476729.375,1.1655515432357788,-333584.91930258,0.0007,-18.82646369934082,15.55,350000,17499,1274,274,7896495104.0
1.7881393432617188e-07,-476372.59375,1.1807230710983276,-171615.33461795002,0.0007,-18.97515296936035,11.55,360000,17999,1274,282,4788250112.0
0.0,-1363725.375,1.183034062385559,-343141.85922143,0.0007,-19.001476287841797,17.38,370000,18499,1274,290,6399629824.0
0.0,-1504270.25,1.1939815282821655,-192716.59415920998,0.0007,-19.107667922973633,11.87,380000,18999,1274,298,7043792896.0
1.1920928955078125e-07,430067.09375,1.2035350799560547,-118613.69408438001,0.0007,-19.190555572509766,10.35,390000,19499,1274,306,2980961536.0
0.0,-984017.0,1.217038631439209,-174620.44081812003,0.0007,-19.329391479492188,9.72,400000,19999,1274,313,5742406144.0
-1.1920928955078125e-07,-399359.78125,1.226136326789856,-164392.84835159,0.0007,-19.41240119934082,10.99,410000,20499,1273,321,5277097984.0
0.0,-347020.15625,1.2282991409301758,-183685.67508964005,0.0007,-19.421398162841797,11.68,420000,20999,1273,329,3679024640.0
0.0,51614.9453125,1.2220691442489624,-175174.52928235,0.0007,-19.36123275756836,11.78,430000,21499,1274,337,2802101248.0
0.0,-1640096.625,1.2218598127365112,-252457.60549190003,0.0007,-19.347965240478516,14.21,440000,21999,1274,345,10100639744.0
0.0,-556880.625,1.2329648733139038,-166000.99908500002,0.0007,-19.465301513671875,12.74,450000,22499,1274,353,2780606976.0
1.1920928955078125e-07,-606520.375,1.2421413660049438,-272869.93435174006,0.0007,-19.548006057739258,14.88,460000,22999,1275,360,3752155136.0
0.0,-866294.5,1.2459439039230347,-201291.77224427,0.0007,-19.5804443359375,14.22,470000,23499,1275,368,3689273344.0
5.960464477539063e-08,-1232947.25,1.256239414215088,-190441.46615834,0.0007,-19.68246078491211,14.29,480000,23999,1275,376,5010037760.0
0.0,-712513.1875,1.2613998651504517,-210359.49090107996,0.0007,-19.7390079498291,12.76,490000,24499,1276,383,4069591552.0
5.960464477539063e-08,-1533727.75,1.2680292129516602,-223247.26606975,0.0007,-19.798786163330078,12.71,500000,24999,1276,391,7646316032.0
0.0,-1095952.0,1.2791078090667725,-159034.74702097,0.0007,-19.895618438720703,11.12,510000,25499,1277,399,5245339136.0
-1.1920928955078125e-07,-913962.375,1.269126057624817,-212496.13753677,0.0007,-19.811519622802734,13.61,520000,25999,1277,407,6313250816.0
0.0,27340.89453125,1.2774690389633179,-160154.37630722002,0.0007,-19.88725471496582,10.73,530000,26499,1277,414,4144897280.0
-1.1920928955078125e-07,-1145842.5,1.2798268795013428,-171775.99840888998,0.0007,-19.900102615356445,9.28,540000,26999,1277,422,4675862528.0
0.0,-415710.625,1.283414363861084,-208442.85430573003,0.0007,-19.93340492248535,13.46,550000,27499,1277,430,2678494720.0
0.0,-257318.09375,1.3022984266281128,-190482.22465059996,0.0007,-20.11402702331543,12.78,560000,27999,1278,437,2642179584.0
1.7881393432617188e-07,-1056624.75,1.2983425855636597,-217687.81712055003,0.0007,-20.087827682495117,14.11,570000,28499,1279,445,2851664384.0
0.0,-662627.0625,1.2915431261062622,-191031.00098649,0.0007,-20.016969680786133,12.22,580000,28999,1280,452,2897388032.0
0.0,-1164991.625,1.2904207706451416,-158619.77764820002,0.0007,-20.01167106628418,11.6,590000,29499,1280,460,4456145920.0
0.0,-870696.5,1.2988694906234741,-210376.86128548,0.0007,-20.083553314208984,13.43,600000,29999,1281,468,4102385664.0
0.0,-415852.25,1.302512288093567,-137698.66225149998,0.0007,-20.130233764648438,10.59,610000,30499,1281,475,2787381248.0
1.1920928955078125e-07,-1697485.625,1.309934377670288,-188406.17254954003,0.0007,-20.1849365234375,9.78,620000,30999,1282,483,11833834496.0
0.0,-1207802.625,1.3107537031173706,-155241.91454945997,0.0007,-20.18885612487793,9.6,630000,31499,1282,491,6521330688.0
0.0,-661336.9375,1.3228353261947632,-231730.84347726003,0.0007,-20.29991340637207,14.46,640000,31999,1283,498,6547170304.0
1.7881393432617188e-07,-549398.0625,1.3310822248458862,-201584.83635789005,0.0007,-20.370956420898438,11.76,650000,32499,1284,506,3820604928.0
0.0,-291324.4375,1.346289038658142,-168316.83141333997,0.0007,-20.507022857666016,11.51,660000,32999,1284,513,2291469312.0
1.1920928955078125e-07,-976080.1875,1.3474756479263306,-160622.33388989003,0.0007,-20.514890670776367,12.2,670000,33499,1284,521,7582800384.0
0.0,-439387.59375,1.356408715248108,-225585.21631493003,0.0007,-20.597614288330078,13.02,680000,33999,1285,528,2327353600.0
0.0,-301007.5,1.376516342163086,-235269.63600724,0.0007,-20.756912231445312,11.79,690000,34499,1286,536,4366158848.0
1.7881393432617188e-07,-948754.875,1.3893917798995972,-147475.38209883,0.0007,-20.864103317260742,11.62,700000,34999,1286,543,5204956672.0
0.0,-373230.0625,1.3949460983276367,-140583.46824662,0.0007,-20.918004989624023,10.31,710000,35499,1287,551,4549259264.0
-1.1920928955078125e-07,-1193944.0,1.3977932929992676,-187546.12156845,0.0007,-20.932567596435547,12.69,720000,35999,1288,558,5082530304.0
1.1920928955078125e-07,-1850274.25,1.4144171476364136,-599558.4038118401,0.0007,-21.06297492980957,22.89,730000,36499,1288,566,9852524544.0
0.0,-1278178.75,1.425212025642395,-140691.86420080002,0.0007,-21.145936965942383,10.95,740000,36999,1289,573,4884188672.0
0.0,-1480544.25,1.439610481262207,-168025.15429859,0.0007,-21.25189208984375,10.24,750000,37499,1290,581,6752712704.0
0.0,-951091.375,1.4465255737304688,-278201.80181419,0.0007,-21.313901901245117,17.11,760000,37999,1290,588,4472172032.0
0.0,-902903.3125,1.4592565298080444,-231925.33900308996,0.0007,-21.39640998840332,12.91,770000,38499,1290,596,2682792704.0
0.0,-772207.3125,1.4580446481704712,-109457.14942684,0.0007,-21.39311408996582,10.12,780000,38999,1291,603,3773632512.0
0.0,-1110709.0,1.4637874364852905,-115171.93065041,0.0007,-21.43714714050293,10.23,790000,39499,1291,611,4723547648.0
0.0,-354282.40625,1.4708647727966309,-176322.59462964002,0.0007,-21.48725700378418,10.82,800000,39999,1292,619,2406162176.0
0.0,-1226953.875,1.4889394044876099,-160595.44615759,0.0007,-21.642866134643555,11.13,810000,40499,1292,626,5051592704.0
0.0,-876755.125,1.5093398094177246,-166817.89893449997,0.0007,-21.810461044311523,9.45,820000,40999,1292,634,4869800448.0
-1.1920928955078125e-07,-530501.5625,1.5191541910171509,-213976.90584934998,0.0007,-21.887447357177734,13.25,830000,41499,1293,641,2790663680.0
0.0,-1406103.125,1.5128861665725708,-122738.50972167999,0.0007,-21.837617874145508,10.67,840000,41999,1293,649,6190286336.0
-1.1920928955078125e-07,-364836.09375,1.5167115926742554,-120219.03212559002,0.0007,-21.8779296875,10.35,850000,42499,1294,656,2397945600.0
0.0,-636212.5625,1.5183467864990234,-112351.65260565,0.0007,-21.878751754760742,10.19,860000,42999,1294,664,5373298176.0
