train/explained_variance,train/n_updates,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/std,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/loss,time/total_timesteps,time/fps,train/policy_gradient_loss,train/approx_kl
-5.960464477539062e-07,10,0.2,5894695972.4,-200894.40767170006,1.0066028833389282,8,0.0017,26.45,-12.801813364773988,0.04970703125,2814395136.0,10000,1124,-0.007113794654833328,0.006329935
0.0,20,0.2,5778657090.4,-193755.94628079,1.0126829147338867,17,0.0017,27.82,-12.858644802868366,0.02745361328125,3140438528.0,20000,1136,-0.004425857996830018,0.00523167
0.0,30,0.2,5667592791.6,-210339.74512281,1.019661545753479,26,0.0017,32.2,-12.916702001541854,0.0263427734375,2678916352.0,30000,1139,-0.004342959469977359,0.005187527
0.0,40,0.2,5538925439.8,-180267.53488704,1.027430772781372,35,0.0017,25.54,-12.98088027536869,0.0068115234375,2913089280.0,40000,1141,-0.002002369100227952,0.0031395142
0.0,60,0.2,4870494526.2,-156412.6781516,1.04414701461792,47,0.0017,23.48,-13.127813651412726,0.0134765625,2555907328.0,50000,1041,-0.002447069524987455,0.0041343514
0.0,70,0.2,5188979647.8,-169647.57616116,1.0509530305862427,56,0.0017,23.15,-13.190060140937566,0.011328125,2770385920.0,60000,1062,-0.0024182930417737227,0.0038908734
1.7881393432617188e-07,80,0.2,5204326217.4,-179676.84275029,1.0591968297958374,64,0.0017,25.65,-13.25477205067873,0.01605224609375,2694275072.0,70000,1078,-0.003357703715482785,0.0045900885
0.0,90,0.2,5220370488.8,-162339.46982343,1.0651848316192627,73,0.0017,23.76,-13.31430050805211,0.0263916015625,2513920768.0,80000,1091,-0.003971641571479267,0.0054197568
5.960464477539063e-08,100,0.2,5064570056.6,-163009.77691017,1.0725957155227661,81,0.0017,21.52,-13.37099735736847,0.00843505859375,2351846656.0,90000,1100,-0.0027785496202341166,0.003490426
0.0,120,0.2,4800300631.6,-176968.50872631007,1.0874195098876953,94,0.0017,25.59,-13.494714659452438,0.01683349609375,2622464768.0,100000,1056,-0.0032755925560195463,0.004321466
0.0,130,0.2,5060838818.4,-167003.39504429002,1.0948480367660522,103,0.0017,27.43,-13.55548138320446,0.02314453125,2706278144.0,110000,1064,-0.0037618769258187966,0.004577847
-1.1920928955078125e-07,140,0.2,4595572326.6,-168963.0785385,1.103976845741272,111,0.0017,24.9,-13.623978009819984,0.01243896484375,2031580800.0,120000,1073,-0.0026953555356158177,0.0036118445
5.960464477539063e-08,150,0.2,4971189419.0,-161668.27623283997,1.11247980594635,120,0.0017,23.23,-13.695181335508824,0.00643310546875,2279599104.0,130000,1078,-0.0018587434808068793,0.0031549698
0.0,170,0.2,4890912059.2,-169873.85252828998,1.1269234418869019,134,0.0017,24.28,-13.814279875904322,0.02308349609375,2483520256.0,140000,1042,-0.0035338367717486106,0.0051376144
1.1920928955078125e-07,180,0.2,4684924038.2,-158663.50819498,1.13486647605896,143,0.0017,22.44,-13.877920802682638,0.01324462890625,2161679872.0,150000,1048,-0.0026041998906293886,0.004087961
0.0,190,0.2,4506482954.6,-156301.72923234,1.1424102783203125,152,0.0017,26.74,-13.939190356433391,0.011181640625,2282203392.0,160000,1048,-0.0022921829291590256,0.0039598006
0.0,200,0.2,4680661622.2,-158411.76780195,1.1515511274337769,162,0.0017,21.84,-14.005021221190692,0.0234130859375,2209754880.0,170000,1045,-0.0037270442700901183,0.004984051
0.0,210,0.2,4558217461.0,-167421.68831416,1.1593759059906006,172,0.0017,25.09,-14.070438557863236,0.01043701171875,2359771648.0,180000,1046,-0.0026934567700664046,0.0041670213
0.0,230,0.2,4646075087.2,-163811.68642614997,1.1785988807678223,185,0.0017,25.32,-14.213549100607633,0.0126708984375,2396781824.0,190000,1024,-0.0030912807766071636,0.0040520425
0.0,240,0.2,4304690787.2,-158578.24471163,1.187590479850769,194,0.0017,23.94,-14.282078049331904,0.02694091796875,2167548160.0,200000,1028,-0.004205201509648759,0.005210612
0.0,250,0.2,4624747635.6,-154633.5228294,1.196866512298584,203,0.0017,23.85,-14.351162262260914,0.0115966796875,2063477120.0,210000,1030,-0.003110246370124514,0.004048126
