time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/learning_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss
26,-714800.7949918845,10000,2474,1969.30712890625,0.001,186,333.88461538461536,53,11883210.0,2.259643077850342,-7.734963893890381
68,-419400.20711869124,20000,4974,2442.260986328125,0.001,184,280.77941176470586,108,5482088.0,5.109067440032959,-11.92812442779541
95,-359416.4844199053,30000,7474,1144.025634765625,0.001,184,295.57894736842104,162,8176772.0,9.932231903076172,-12.280574798583984
117,-217574.64048238995,40000,9974,-1324.2249755859375,0.001,183,329.99,217,12212199.0,17.39707374572754,-11.241737365722656
146,-163034.68591314004,50000,12474,-700.7033081054688,0.001,183,342.26,272,7638258.5,26.147289276123047,-5.159341812133789
168,-158494.87428917,60000,14974,-1131.27099609375,0.001,183,399.46,327,33717696.0,33.978641510009766,-2.7388439178466797
182,-138212.74381166,70000,17474,384.6036376953125,0.001,183,434.79,382,7559216.0,36.931396484375,0.6220827698707581
194,-127005.69363612,80000,19974,-18.8607177734375,0.001,183,495.03,436,6410072.5,35.90085983276367,0.6407251358032227
210,-125946.23311651999,90000,22474,-1522.0294189453125,0.001,183,535.85,490,2456632.5,30.845609664916992,1.8825494050979614
223,-123088.93676281,100000,24974,-2410.2353515625,0.001,183,565.07,545,3929571.5,27.47344970703125,-0.913799524307251
236,-117932.71128809999,110000,27474,-1731.625732421875,0.001,183,617.14,599,3676635.5,26.12938690185547,-1.0990352630615234
250,-114558.4477489,120000,29974,-3409.999755859375,0.001,183,684.09,652,2041212.5,23.360815048217773,-0.3467426598072052
259,-106048.11748458,130000,32474,-5090.0009765625,0.001,183,713.56,707,4539734.0,24.279813766479492,-0.030224010348320007
272,-107619.08978725,140000,34974,-5401.80908203125,0.001,183,775.46,761,29380280.0,19.084943771362305,1.0883967876434326
283,-125267.84325399002,150000,37474,-3893.37744140625,0.001,183,792.53,815,1491464.0,18.061370849609375,-0.05006718635559082
294,-120591.88416489998,160000,39974,-5467.7001953125,0.001,183,798.91,870,2201642.5,16.84930419921875,1.1240513324737549
312,-134673.92616429002,170000,42474,-4712.2255859375,0.001,183,793.13,925,1788682.25,18.78597640991211,0.3498755097389221
